orch_id,season_from,season_to,flip,magnitude,distance
00530000000000001ea9,2018_2019,2019_2020,0,Small,0.4401045938133642
00530000000000001ea9,2019_2020,2020_2021,0,Small,0.6711691356420995
00530000000000001ea9,2020_2021,2021_2022,0,Small,0.7148842749585742
00530000000000001ea9,2021_2022,2022_2023,0,Small,0.3443426158292027
00530000000000001ea9,2022_2023,2023_2024,0,Small,0.5030405259487764
00530000000000001eab,2018_2019,2019_2020,0,Small,0.591151777154915
00530000000000001eab,2019_2020,2020_2021,0,Medium,0.773406666055985
00530000000000001eab,2020_2021,2021_2022,0,Large,4.53976428402613
00530000000000001eab,2021_2022,2022_2023,0,Large,2.8442942853277877
00530000000000001eab,2022_2023,2023_2024,1,Large,2.2082791908076573
00530000000000001ead,2018_2019,2019_2020,0,Small,0.6853957386552052
00530000000000001ead,2019_2020,2020_2021,0,Small,0.5374245437267264
00530000000000001ead,2020_2021,2021_2022,0,Small,0.5447504193629827
00530000000000001ead,2021_2022,2022_2023,0,Large,1.5126450859865659
00530000000000001ead,2022_2023,2023_2024,0,Medium,0.9176367307838215
00530000000000001eae,2018_2019,2019_2020,0,Medium,0.7673127535446751
00530000000000001eae,2019_2020,2020_2021,0,Small,0.5522100008043691
00530000000000001eae,2020_2021,2021_2022,0,Small,0.7199928840660202
00530000000000001eae,2021_2022,2022_2023,0,Medium,0.7862669296139885
00530000000000001eae,2022_2023,2023_2024,0,Large,1.6005017280957954
00530000000000001eaf,2018_2019,2019_2020,0,Small,0.5129374813431203
00530000000000001eaf,2019_2020,2020_2021,0,Medium,0.9442105443033795
00530000000000001eaf,2020_2021,2021_2022,0,Small,0.7196861327376007
00530000000000001eaf,2021_2022,2022_2023,0,Large,2.2660277354763947
00530000000000001eaf,2022_2023,2023_2024,0,Large,1.7071965232284252
00530000000000001eb0,2018_2019,2019_2020,0,Small,0.46360324722125196
00530000000000001eb0,2019_2020,2020_2021,0,Small,0.7063867933657116
00530000000000001eb0,2020_2021,2021_2022,1,Medium,0.9677548291433319
00530000000000001eb0,2021_2022,2022_2023,1,Large,1.7237660384045994
00530000000000001eb0,2022_2023,2023_2024,1,Large,1.7555168424114516
00530000000000001eb1,2018_2019,2019_2020,1,Large,3.005269964615739
00530000000000001eb1,2019_2020,2020_2021,0,Large,1.5897106009010231
00530000000000001eb1,2020_2021,2021_2022,0,Large,2.444945651835823
00530000000000001eb1,2021_2022,2022_2023,0,Large,2.3240844992316214
00530000000000001eb1,2022_2023,2023_2024,0,Large,1.876355293261817
00530000000000001eb2,2018_2019,2019_2020,1,Large,2.4732878624294954
00530000000000001eb2,2019_2020,2020_2021,0,Medium,0.8666459584515172
00530000000000001eb2,2020_2021,2021_2022,0,Large,1.5581484938354868
00530000000000001eb2,2021_2022,2022_2023,1,Large,2.2996443842464984
00530000000000001eb2,2022_2023,2023_2024,1,Medium,1.0451088703928733
00530000000000001eb4,2018_2019,2019_2020,1,Large,2.0826998719639356
00530000000000001eb4,2019_2020,2020_2021,0,Small,0.4666310403926612
00530000000000001eb4,2020_2021,2021_2022,0,Large,1.3460186735541353
00530000000000001eb4,2021_2022,2022_2023,0,Small,0.6033458165914646
00530000000000001eb4,2022_2023,2023_2024,1,Small,0.36203441978616197
00530000000000001eb5,2018_2019,2019_2020,1,Large,1.6495248913529423
00530000000000001eb5,2019_2020,2020_2021,0,Small,0.2472086554896166
00530000000000001eb5,2020_2021,2021_2022,1,Medium,1.1379599588704572
00530000000000001eb5,2021_2022,2022_2023,0,Small,0.23918298921127545
00530000000000001eb5,2022_2023,2023_2024,0,Small,0.15946992387435818
00530000000000001eb7,2018_2019,2019_2020,1,Medium,1.0961643034364874
00530000000000001eb7,2019_2020,2020_2021,0,Medium,1.0413564491057221
00530000000000001eb7,2020_2021,2021_2022,0,Small,0.40399733868509846
00530000000000001eb7,2021_2022,2022_2023,0,Small,0.2770161335018274
00530000000000001eb7,2022_2023,2023_2024,0,Small,0.7383655547528488
00530000000000001eb8,2018_2019,2019_2020,0,Medium,1.0854718089736208
00530000000000001eb8,2019_2020,2020_2021,0,Small,0.6234451169153656
00530000000000001eb8,2020_2021,2021_2022,0,Small,0.28473445056831076
00530000000000001eb8,2021_2022,2022_2023,0,Small,0.45488993496760316
00530000000000001eb8,2022_2023,2023_2024,0,Small,0.6883306574731716
00530000000000001eb9,2018_2019,2019_2020,0,Small,0.2979027157741139
00530000000000001eb9,2019_2020,2020_2021,0,Small,0.6342932108873757
00530000000000001eb9,2020_2021,2021_2022,0,Medium,0.7514639441036776
00530000000000001eb9,2021_2022,2022_2023,0,Medium,1.2148943907785514
00530000000000001eb9,2022_2023,2023_2024,0,Small,0.6351847116764429
00530000000000001eba,2018_2019,2019_2020,0,Small,0.6422525776080512
00530000000000001eba,2019_2020,2020_2021,0,Small,0.45759724565025806
00530000000000001eba,2020_2021,2021_2022,0,Small,0.6892741364420463
00530000000000001eba,2021_2022,2022_2023,0,Small,0.46587123069415226
00530000000000001eba,2022_2023,2023_2024,0,Medium,0.7680453065380399
00530000000000001ebb,2018_2019,2019_2020,1,Large,2.184470201764792
00530000000000001ebb,2019_2020,2020_2021,0,Small,0.4217739304914005
00530000000000001ebb,2020_2021,2021_2022,0,Medium,0.9923750092427984
00530000000000001ebb,2021_2022,2022_2023,0,Small,0.28467354561250136
00530000000000001ebb,2022_2023,2023_2024,0,Small,0.7217412992481587
00530000000000001ebc,2018_2019,2019_2020,0,Large,2.518764700817202
00530000000000001ebc,2019_2020,2020_2021,0,Small,0.18239888008768823
00530000000000001ebc,2020_2021,2021_2022,0,Medium,0.8852474600509279
00530000000000001ebc,2021_2022,2022_2023,0,Small,0.4109703508204809
00530000000000001ebc,2022_2023,2023_2024,0,Medium,1.017830616573554
00530000000000001ebd,2018_2019,2019_2020,0,Large,3.0314975333536136
00530000000000001ebd,2019_2020,2020_2021,1,Large,1.4365189654785195
00530000000000001ebd,2020_2021,2021_2022,0,Medium,1.1495328184323903
00530000000000001ebd,2021_2022,2022_2023,1,Large,2.2126636178106445
00530000000000001ebd,2022_2023,2023_2024,1,Large,1.9262066811304288
00530000000000001ebe,2018_2019,2019_2020,1,Large,3.521501477833408
00530000000000001ebe,2019_2020,2020_2021,0,Small,0.3644307662445954
00530000000000001ebe,2020_2021,2021_2022,0,Medium,0.7755810008120961
00530000000000001ebe,2021_2022,2022_2023,0,Small,0.6529778180627657
00530000000000001ebe,2022_2023,2023_2024,0,Small,0.46140083859761605
00530000000000001ec0,2018_2019,2019_2020,0,Large,1.3601385686709988
00530000000000001ec0,2019_2020,2020_2021,1,Large,2.2394323814834944
00530000000000001ec0,2020_2021,2021_2022,1,Medium,0.9700022731771336
00530000000000001ec0,2021_2022,2022_2023,1,Small,0.6784310176141595
00530000000000001ec0,2022_2023,2023_2024,1,Medium,0.9234602243513375
00530000000000001ec1,2018_2019,2019_2020,0,Medium,0.8187517182388416
00530000000000001ec1,2019_2020,2020_2021,0,Small,0.23113872570216634
00530000000000001ec1,2020_2021,2021_2022,1,Large,1.4291249828544437
00530000000000001ec1,2021_2022,2022_2023,0,Medium,0.7936010163415921
00530000000000001ec1,2022_2023,2023_2024,1,Large,1.4842574709112446
00530000000000001ec3,2018_2019,2019_2020,0,Large,2.2628265150977382
00530000000000001ec3,2019_2020,2020_2021,0,Large,3.075570030804576
00530000000000001ec3,2020_2021,2021_2022,0,Medium,1.0053651549951168
00530000000000001ec3,2021_2022,2022_2023,1,Large,2.9459864062543635
00530000000000001ec3,2022_2023,2023_2024,1,Large,2.5411476447617782
00530000000000001ec4,2018_2019,2019_2020,0,Small,0.6408288617714748
00530000000000001ec4,2019_2020,2020_2021,0,Small,0.15683602453159404
00530000000000001ec4,2020_2021,2021_2022,0,Medium,0.9453983798687717
00530000000000001ec4,2021_2022,2022_2023,0,Medium,0.9560050617964153
00530000000000001ec4,2022_2023,2023_2024,0,Small,0.5659976029995412
00530000000000001ec8,2018_2019,2019_2020,1,Large,2.967754219553712
00530000000000001ec8,2019_2020,2020_2021,1,Large,3.4854981816819492
00530000000000001ec8,2020_2021,2021_2022,1,Large,1.980083271764257
00530000000000001ec8,2021_2022,2022_2023,0,Large,1.860466940095115
00530000000000001ec8,2022_2023,2023_2024,0,Medium,1.1283430536866816
005300000000000022e1,2018_2019,2019_2020,0,Large,1.803868442275865
005300000000000022e1,2019_2020,2020_2021,0,Small,0.3583870055108909
005300000000000022e1,2020_2021,2021_2022,0,Small,0.5956355723232908
005300000000000022e1,2021_2022,2022_2023,0,Small,0.5266312615835298
005300000000000022e1,2022_2023,2023_2024,0,Medium,1.0759416789988718
005300000000000022e2,2018_2019,2019_2020,0,Medium,0.8955705426680847
005300000000000022e2,2019_2020,2020_2021,0,Medium,0.7503167497800415
005300000000000022e2,2020_2021,2021_2022,0,Small,0.28391840834648524
005300000000000022e2,2021_2022,2022_2023,0,Small,0.47135922640296957
005300000000000022e2,2022_2023,2023_2024,0,Medium,1.0618691615140312
005300000000000022e3,2018_2019,2019_2020,1,Medium,0.9744344115210442
005300000000000022e3,2019_2020,2020_2021,0,Medium,0.9316043181026353
005300000000000022e3,2020_2021,2021_2022,1,Large,2.1371546789882805
005300000000000022e3,2021_2022,2022_2023,1,Small,0.553316148332323
005300000000000022e3,2022_2023,2023_2024,0,Large,1.3775236614340316
005300000000000022e4,2018_2019,2019_2020,0,Medium,0.959195656725939
005300000000000022e4,2019_2020,2020_2021,0,Small,0.14788596366517226
005300000000000022e4,2020_2021,2021_2022,1,Medium,1.086119730848508
005300000000000022e4,2021_2022,2022_2023,0,Medium,0.9721218506835225
005300000000000022e4,2022_2023,2023_2024,1,Large,1.7309815448789474
00530000000000002410,2018_2019,2019_2020,1,Medium,0.7978393005444454
00530000000000002410,2019_2020,2020_2021,0,Large,1.5140377867378694
00530000000000002410,2020_2021,2021_2022,1,Large,1.2660717862969895
00530000000000002410,2021_2022,2022_2023,1,Medium,1.1062892595914386
00530000000000002410,2022_2023,2023_2024,0,Medium,1.119652817579871
00530000000000002414,2018_2019,2019_2020,1,Large,1.6116438063818723
00530000000000002414,2019_2020,2020_2021,1,Large,3.220871471984514
00530000000000002414,2020_2021,2021_2022,0,Medium,1.0665321319844054
00530000000000002414,2021_2022,2022_2023,0,Small,0.562108709148607
00530000000000002414,2022_2023,2023_2024,1,Medium,0.9299304851149862
00530000000000002416,2018_2019,2019_2020,0,Small,0.6863175561741517
00530000000000002416,2019_2020,2020_2021,0,Small,0.40815263249449335
00530000000000002416,2020_2021,2021_2022,0,Small,0.43966534585737704
00530000000000002416,2021_2022,2022_2023,0,Medium,0.8978736120998485
00530000000000002416,2022_2023,2023_2024,0,Small,0.08938818632616745
00530000000000002417,2018_2019,2019_2020,0,Small,0.3474598275567746
00530000000000002417,2019_2020,2020_2021,0,Small,0.6114232536764627
00530000000000002417,2020_2021,2021_2022,0,Medium,0.7959413424670124
00530000000000002417,2021_2022,2022_2023,0,Small,0.5534637007690789
00530000000000002417,2022_2023,2023_2024,0,Small,0.4053492655744597
00530000000000002418,2018_2019,2019_2020,0,Medium,0.8548678045105003
00530000000000002418,2019_2020,2020_2021,0,Medium,0.7734665282483242
00530000000000002418,2020_2021,2021_2022,0,Medium,1.1469332695237382
00530000000000002418,2021_2022,2022_2023,0,Medium,0.8039153853253771
00530000000000002418,2022_2023,2023_2024,0,Small,0.3290839009795327
00530000000000002419,2018_2019,2019_2020,0,Small,0.24854820232866504
00530000000000002419,2019_2020,2020_2021,0,Small,0.20836222252900402
00530000000000002419,2020_2021,2021_2022,0,Medium,1.1052974425718023
00530000000000002419,2021_2022,2022_2023,0,Medium,0.893781712081327
00530000000000002419,2022_2023,2023_2024,1,Medium,0.9021094745315914
0053000000000000241a,2018_2019,2019_2020,0,Small,0.3504585483814749
0053000000000000241a,2019_2020,2020_2021,0,Small,0.7172613412055029
0053000000000000241a,2020_2021,2021_2022,0,Small,0.5358018258680879
0053000000000000241a,2021_2022,2022_2023,1,Large,1.5810631813801896
0053000000000000241a,2022_2023,2023_2024,0,Medium,0.9678027155976565
0053000000000000241b,2018_2019,2019_2020,0,Large,2.17467483304936
0053000000000000241b,2019_2020,2020_2021,0,Large,2.4456132777717468
0053000000000000241b,2020_2021,2021_2022,1,Large,1.2951388222173457
0053000000000000241b,2021_2022,2022_2023,1,Medium,0.8559723350017481
0053000000000000241b,2022_2023,2023_2024,1,Large,3.4157158342082052
0053000000000000241c,2018_2019,2019_2020,0,Small,0.20833253243267044
0053000000000000241c,2019_2020,2020_2021,0,Small,0.5865972590294323
0053000000000000241c,2020_2021,2021_2022,0,Small,0.5624061766228735
0053000000000000241c,2021_2022,2022_2023,0,Small,0.09326445600923478
0053000000000000241c,2022_2023,2023_2024,0,Small,0.24308745781897756
0053000000000000241d,2018_2019,2019_2020,0,Large,1.7840135068781668
0053000000000000241d,2019_2020,2020_2021,1,Large,2.2619512105164437
0053000000000000241d,2020_2021,2021_2022,1,Large,1.544996143490594
0053000000000000241d,2021_2022,2022_2023,1,Medium,1.1261350662231044
0053000000000000241d,2022_2023,2023_2024,1,Large,2.4785534308260444
0053000000000000241f,2018_2019,2019_2020,1,Small,0.47466837649045224
0053000000000000241f,2019_2020,2020_2021,0,Small,0.6672847927170996
0053000000000000241f,2020_2021,2021_2022,0,Medium,1.2171331496861815
0053000000000000241f,2021_2022,2022_2023,1,Large,2.546607870518434
0053000000000000241f,2022_2023,2023_2024,1,Large,2.0911626687089298
00530000000000002420,2018_2019,2019_2020,0,Small,0.5733457814780543
00530000000000002420,2019_2020,2020_2021,0,Medium,0.7765961545281019
00530000000000002420,2020_2021,2021_2022,1,Large,1.7021854647005363
00530000000000002420,2021_2022,2022_2023,1,Large,2.706156212443457
00530000000000002420,2022_2023,2023_2024,1,Large,2.560009962035545
00530000000000002424,2018_2019,2019_2020,1,Medium,1.0806247378399345
