orch_id,n_seasons,majority_cover_label,flip_count,uncertain_rate
00530000000000001ea9,6,NoCover,1,0.0
00530000000000001eab,6,NoCover,2,0.5
00530000000000001ead,6,NoCover,1,0.16666666666666666
00530000000000001eae,6,NoCover,1,0.16666666666666666
00530000000000001eaf,6,NoCover,1,0.16666666666666666
00530000000000001eb0,6,NoCover,4,0.16666666666666666
00530000000000001eb1,6,Cover,2,0.6666666666666666
00530000000000001eb2,6,Cover,4,0.8333333333333334
00530000000000001eb4,6,Cover,3,0.3333333333333333
00530000000000001eb5,6,NoCover,3,0.16666666666666666
00530000000000001eb7,6,NoCover,2,0.3333333333333333
00530000000000001eb8,6,NoCover,1,0.3333333333333333
00530000000000001eb9,6,NoCover,1,0.0
00530000000000001eba,6,NoCover,1,0.0
00530000000000001ebb,6,NoCover,2,0.5
00530000000000001ebc,6,NoCover,1,0.5
00530000000000001ebd,6,Cover,4,0.6666666666666666
00530000000000001ebe,6,NoCover,2,0.16666666666666666
00530000000000001ec0,6,NoCover,5,0.5
00530000000000001ec1,6,Cover,3,0.3333333333333333
00530000000000001ec3,6,NoCover,3,0.5
00530000000000001ec4,6,NoCover,1,0.0
00530000000000001ec8,6,NoCover,4,0.3333333333333333
005300000000000022e1,6,NoCover,1,0.16666666666666666
005300000000000022e2,6,NoCover,1,0.16666666666666666
005300000000000022e3,6,Cover,4,0.5
005300000000000022e4,6,Cover,3,0.0
00530000000000002410,6,Cover,4,0.3333333333333333
00530000000000002414,6,NoCover,4,0.0
00530000000000002416,6,NoCover,1,0.5
00530000000000002417,6,NoCover,1,0.0
00530000000000002418,6,NoCover,1,0.0
00530000000000002419,6,NoCover,2,0.16666666666666666
0053000000000000241a,6,NoCover,2,0.16666666666666666
0053000000000000241b,6,Cover,4,0.8333333333333334
0053000000000000241c,6,NoCover,1,0.0
0053000000000000241d,6,NoCover,5,0.6666666666666666
0053000000000000241f,6,Cover,4,0.3333333333333333
00530000000000002420,6,NoCover,4,0.16666666666666666
00530000000000002424,6,NoCover,6,0.3333333333333333
0053000000000000242b,6,NoCover,2,0.16666666666666666
0053000000000000242f,6,NoCover,1,0.16666666666666666
00530000000000002432,6,Cover,1,0.16666666666666666
00530000000000002435,6,NoCover,2,0.0
0053000000000000243d,6,NoCover,1,0.0
0053000000000000243f,6,NoCover,3,0.16666666666666666
00530000000000002440,6,NoCover,3,0.3333333333333333
00530000000000002442,6,NoCover,2,0.0
00530000000000002443,6,NoCover,3,0.5
00530000000000002445,6,NoCover,2,0.0
00530000000000002446,6,NoCover,1,0.3333333333333333
00530000000000002448,6,NoCover,1,0.16666666666666666
00530000000000002449,6,NoCover,3,0.16666666666666666
0053000000000000244b,6,NoCover,1,0.0
0053000000000000244c,6,Cover,4,0.5
0053000000000000244d,6,NoCover,3,0.3333333333333333
0053000000000000244e,6,NoCover,2,0.3333333333333333
00530000000000002453,6,NoCover,2,0.16666666666666666
00530000000000002456,6,NoCover,1,0.0
00530000000000002457,6,NoCover,1,0.16666666666666666
00530000000000002458,6,NoCover,3,0.8333333333333334
0053000000000000245a,6,Cover,3,1.0
0053000000000000245c,6,NoCover,1,0.16666666666666666
0053000000000000245d,6,NoCover,1,0.3333333333333333
0053000000000000245e,6,NoCover,1,0.16666666666666666
00530000000000002460,6,NoCover,1,0.16666666666666666
00530000000000002461,6,Cover,2,1.0
00530000000000002462,6,NoCover,3,0.6666666666666666
00530000000000002463,6,Cover,3,1.0
