orch_id,mask,longest,years_active,ever_cover,never_cover
00530000000000001eab,32,1,1,True,False
00530000000000001eb0,40,1,2,True,False
00530000000000001eb1,62,5,5,True,False
00530000000000001eb2,12,2,2,True,False
00530000000000001eb4,22,2,3,True,False
00530000000000001eb5,4,1,1,True,False
00530000000000001ebe,1,1,1,True,False
00530000000000001ec0,20,1,2,True,False
00530000000000001ec1,39,3,4,True,False
00530000000000001ec3,16,1,1,True,False
00530000000000001ec8,5,1,2,True,False
005300000000000022e3,38,2,3,True,False
005300000000000022e4,39,3,4,True,False
00530000000000002410,48,2,2,True,False
00530000000000002414,34,1,2,True,False
0053000000000000241a,32,1,1,True,False
0053000000000000241b,2,1,1,True,False
0053000000000000241f,42,1,3,True,False
00530000000000002420,40,1,2,True,False
00530000000000002424,10,1,2,True,False
0053000000000000242b,48,2,2,True,False
00530000000000002432,55,3,5,True,False
00530000000000002435,32,1,1,True,False
0053000000000000243f,14,3,3,True,False
00530000000000002440,6,2,2,True,False
00530000000000002442,32,1,1,True,False
00530000000000002443,2,1,1,True,False
00530000000000002445,32,1,1,True,False
00530000000000002449,6,2,2,True,False
0053000000000000244c,1,1,1,True,False
0053000000000000244d,2,1,1,True,False
00530000000000002458,12,2,2,True,False
0053000000000000245a,12,2,2,True,False
00530000000000002461,28,3,3,True,False
00530000000000002462,12,2,2,True,False
00530000000000002463,12,2,2,True,False
00530000000000002464,28,3,3,True,False
0053000000000000246a,36,1,2,True,False
0053000000000000246c,2,1,1,True,False
00530000000000002481,20,1,2,True,False
00530000000000002483,62,5,5,True,False
005300000000000024b4,32,1,1,True,False
005300000000000024b9,2,1,1,True,False
005300000000000024ba,2,1,1,True,False
005300000000000024c1,2,1,1,True,False
005300000000000024c6,48,2,2,True,False
005300000000000024e4,24,2,2,True,False
00530000000000003790,58,3,4,True,False
00530000000000003796,1,1,1,True,False
00530000000000003798,63,6,6,True,False
00530000000000004359,1,1,1,True,False
00530000000000004bc1,32,1,1,True,False
00530000000000004bc7,2,1,1,True,False
00530000000000004c31,4,1,1,True,False
00530000000000004c35,62,5,5,True,False
00530000000000004c3c,1,1,1,True,False
00530000000000004c47,60,4,4,True,False
00530000000000004c4a,16,1,1,True,False
00530000000000004c4d,4,1,1,True,False
00530000000000004c51,24,2,2,True,False
00530000000000004c53,26,2,3,True,False
00530000000000004c55,8,1,1,True,False
00530000000000004c56,26,2,3,True,False
00530000000000004c5d,2,1,1,True,False
00530000000000004c74,19,2,3,True,False
00530000000000004c86,7,3,3,True,False
00530000000000004c88,2,1,1,True,False
00530000000000004c8c,62,5,5,True,False
00530000000000004cb1,20,1,2,True,False
00530000000000004cc9,2,1,1,True,False
00530000000000004cfc,20,1,2,True,False
00530000000000004cfd,2,1,1,True,False
00530000000000004d00,1,1,1,True,False
00530000000000004ecb,16,1,1,True,False
00530000000000004f20,35,2,3,True,False
00530000000000004f8a,50,2,3,True,False
00530000000000004f8d,16,1,1,True,False
00530000000000004f8f,63,6,6,True,False
00530000000000004f90,60,4,4,True,False
00530000000000004f92,56,3,3,True,False
00530000000000004f93,56,3,3,True,False
00530000000000004f94,16,1,1,True,False
00530000000000004f95,16,1,1,True,False
00530000000000004f99,2,1,1,True,False
00530000000000004f9b,24,2,2,True,False
00530000000000004f9d,6,2,2,True,False
00530000000000004fa1,12,2,2,True,False
00530000000000004fa3,32,1,1,True,False
00530000000000004fa4,21,1,3,True,False
00530000000000004fa5,32,1,1,True,False
00530000000000004fa7,40,1,2,True,False
00530000000000004fa9,4,1,1,True,False
00530000000000004fad,48,2,2,True,False
00530000000000004fb3,24,2,2,True,False
00530000000000004fb6,24,2,2,True,False
00530000000000004fbb,26,2,3,True,False
00530000000000004fc3,22,2,3,True,False
00530000000000004fc4,16,1,1,True,False
00530000000000004fc8,8,1,1,True,False
00530000000000004fcc,16,1,1,True,False
00530000000000004fd7,52,2,3,True,False
00530000000000004fe1,8,1,1,True,False
00530000000000004fe4,20,1,2,True,False
00530000000000004fe9,39,3,4,True,False
00530000000000004fea,32,1,1,True,False
00530000000000004fee,1,1,1,True,False
00530000000000004ff0,3,2,2,True,False
00530000000000004ff8,1,1,1,True,False
00530000000000004fff,1,1,1,True,False
00530000000000005005,1,1,1,True,False
0053000000000000500f,32,1,1,True,False
00530000000000005017,33,1,2,True,False
0053000000000000501a,55,3,5,True,False
0053000000000000501c,31,5,5,True,False
0053000000000000501e,1,1,1,True,False
00530000000000005038,1,1,1,True,False
0053000000000000503d,1,1,1,True,False
00530000000000005040,16,1,1,True,False
00530000000000005045,16,1,1,True,False
00530000000000005068,10,1,2,True,False
0053000000000000506a,11,2,3,True,False
00530000000000005075,1,1,1,True,False
00530000000000005081,1,1,1,True,False
00530000000000005109,1,1,1,True,False
0053000000000000510a,1,1,1,True,False
005300000000000052d1,11,2,3,True,False
00530000000000005347,60,4,4,True,False
00590000000000009b37,38,2,3,True,False
