orch_id,season_from,season_to,flip,magnitude,distance
0053000000000000485d,2018_2019,2019_2020,1,Small,0.4665194164883533
0053000000000000485d,2019_2020,2020_2021,0,Small,0.2082789830298705
0053000000000000485d,2020_2021,2021_2022,0,Small,0.5335760011090745
0053000000000000485d,2021_2022,2022_2023,1,Small,0.5222711726223088
0053000000000000485d,2022_2023,2023_2024,1,Small,0.6542090368281039
0053000000000000487a,2018_2019,2019_2020,0,Small,0.3385713179130966
0053000000000000487a,2019_2020,2020_2021,1,Large,1.9761532194651272
0053000000000000487a,2020_2021,2021_2022,1,Large,1.7331451221682261
0053000000000000487a,2021_2022,2022_2023,1,Medium,1.2211184698427398
0053000000000000487a,2022_2023,2023_2024,0,Medium,1.0100020826941807
005300000000000048fd,2018_2019,2019_2020,0,Medium,0.8255284469072223
005300000000000048fd,2019_2020,2020_2021,0,Small,0.22617211572252852
005300000000000048fd,2020_2021,2021_2022,0,Small,0.49595534026865895
005300000000000048fd,2021_2022,2022_2023,0,Small,0.30294094749532136
005300000000000048fd,2022_2023,2023_2024,0,Small,0.35591865074242834
005300000000000048ff,2018_2019,2019_2020,0,Large,1.8655525547317524
005300000000000048ff,2019_2020,2020_2021,0,Large,1.9039466916396157
005300000000000048ff,2020_2021,2021_2022,0,Small,0.6055824606557585
005300000000000048ff,2021_2022,2022_2023,0,Medium,0.8845125117427454
005300000000000048ff,2022_2023,2023_2024,0,Small,0.45958987166475246
0053000000000000490e,2018_2019,2019_2020,1,Large,3.0181525196051155
0053000000000000490e,2019_2020,2020_2021,0,Medium,1.0086487862709934
0053000000000000490e,2020_2021,2021_2022,0,Large,1.4852665196126515
0053000000000000490e,2021_2022,2022_2023,0,Small,0.3062774630839651
0053000000000000490e,2022_2023,2023_2024,0,Medium,0.8963613369406392
00530000000000004910,2018_2019,2019_2020,1,Medium,0.900406889732097
00530000000000004910,2019_2020,2020_2021,0,Medium,1.0389151869266053
00530000000000004910,2020_2021,2021_2022,1,Large,1.2866595577420628
00530000000000004910,2021_2022,2022_2023,0,Medium,1.1805658092180211
00530000000000004910,2022_2023,2023_2024,0,Large,2.537862902424269
00530000000000004911,2018_2019,2019_2020,0,Large,1.7184827294582379
00530000000000004911,2019_2020,2020_2021,0,Large,1.335658686098244
00530000000000004911,2020_2021,2021_2022,0,Large,1.7285047284626982
00530000000000004911,2021_2022,2022_2023,0,Small,0.5547274251787773
00530000000000004911,2022_2023,2023_2024,0,Large,1.7387105111261767
00530000000000004912,2018_2019,2019_2020,0,Large,1.768576408955013
00530000000000004912,2019_2020,2020_2021,0,Medium,1.1268731587034155
00530000000000004912,2020_2021,2021_2022,0,Small,0.5346980531171837
00530000000000004912,2021_2022,2022_2023,0,Large,1.3572408793319648
00530000000000004912,2022_2023,2023_2024,0,Small,0.5388697659671953
0053000000000000492c,2018_2019,2019_2020,0,Small,0.7248417272395845
0053000000000000492c,2019_2020,2020_2021,0,Large,1.6417528746022099
0053000000000000492c,2020_2021,2021_2022,0,Medium,0.876376350475451
0053000000000000492c,2021_2022,2022_2023,1,Medium,0.7741730804011414
0053000000000000492c,2022_2023,2023_2024,0,Medium,0.771979905538564
00530000000000004932,2018_2019,2019_2020,0,Small,0.45380356980865005
00530000000000004932,2019_2020,2020_2021,0,Medium,1.0447021790165218
00530000000000004932,2020_2021,2021_2022,0,Small,0.718165846432037
00530000000000004932,2021_2022,2022_2023,1,Small,0.5380148706266362
00530000000000004932,2022_2023,2023_2024,1,Small,0.6068706162491235
00530000000000004942,2018_2019,2019_2020,1,Medium,1.1262684167699044
00530000000000004942,2019_2020,2020_2021,1,Medium,0.9950781518068784
00530000000000004942,2020_2021,2021_2022,1,Medium,1.0801566106165061
00530000000000004942,2021_2022,2022_2023,0,Small,0.039186122626085736
00530000000000004942,2022_2023,2023_2024,1,Large,1.532543869491791
00530000000000004943,2018_2019,2019_2020,1,Large,1.7229978521347145
00530000000000004943,2019_2020,2020_2021,1,Medium,1.0846818870032866
00530000000000004943,2020_2021,2021_2022,1,Medium,1.2106597926561506
00530000000000004943,2021_2022,2022_2023,0,Small,0.1931099364266959
00530000000000004943,2022_2023,2023_2024,1,Large,1.4448995726856115
005300000000000049f1,2018_2019,2019_2020,0,Medium,0.7721041556880462
005300000000000049f1,2019_2020,2020_2021,0,Medium,0.8937338713690544
005300000000000049f1,2020_2021,2021_2022,0,Medium,1.1644900727751388
005300000000000049f1,2021_2022,2022_2023,0,Medium,0.8528578355189816
005300000000000049f1,2022_2023,2023_2024,0,Small,0.6345717049825935
005300000000000049f2,2018_2019,2019_2020,1,Large,1.4340827358339288
005300000000000049f2,2019_2020,2020_2021,0,Medium,0.8865656433354352
005300000000000049f2,2020_2021,2021_2022,1,Large,1.5891972646956234
005300000000000049f2,2021_2022,2022_2023,1,Large,1.3887659596061428
005300000000000049f2,2022_2023,2023_2024,0,Small,0.7473996887543436
005300000000000049f3,2018_2019,2019_2020,1,Medium,1.0468964647698231
005300000000000049f3,2019_2020,2020_2021,0,Large,1.2813739929553178
005300000000000049f3,2020_2021,2021_2022,1,Large,1.6575609604562498
005300000000000049f3,2021_2022,2022_2023,1,Large,1.4553974603562936
005300000000000049f3,2022_2023,2023_2024,0,Medium,0.8738529253968077
005300000000000049fb,2018_2019,2019_2020,0,Medium,0.8951678497300981
005300000000000049fb,2019_2020,2020_2021,0,Medium,0.7553332856213892
005300000000000049fb,2020_2021,2021_2022,0,Small,0.7143648951066408
005300000000000049fb,2021_2022,2022_2023,0,Medium,0.9779157798150907
005300000000000049fb,2022_2023,2023_2024,1,Large,1.7706700181295632
00530000000000004a01,2018_2019,2019_2020,1,Medium,0.7535097632039474
00530000000000004a01,2019_2020,2020_2021,0,Large,1.500766622611133
00530000000000004a01,2020_2021,2021_2022,0,Large,1.4513290496607842
00530000000000004a01,2021_2022,2022_2023,1,Medium,0.8618221982315857
00530000000000004a01,2022_2023,2023_2024,0,Medium,0.7586234727452059
