orch_id,mask,longest,years_active,ever_cover,never_cover
0053000000000000487a,1,1,1,True,False
0053000000000000492c,16,1,1,True,False
00530000000000004942,37,1,3,True,False
00530000000000004943,37,1,3,True,False
005300000000000049f2,1,1,1,True,False
005300000000000049f3,1,1,1,True,False
00530000000000004a01,12,2,2,True,False
00530000000000004a02,6,2,2,True,False
00530000000000004a0f,32,1,1,True,False
00530000000000004b2d,43,2,4,True,False
00530000000000004c25,16,1,1,True,False
00530000000000004c2b,24,2,2,True,False
00530000000000004d5f,1,1,1,True,False
00530000000000004d65,24,2,2,True,False
00530000000000004d6f,8,1,1,True,False
00530000000000004d70,8,1,1,True,False
00530000000000004d74,8,1,1,True,False
00530000000000004d7c,24,2,2,True,False
00530000000000004d8f,51,2,4,True,False
00530000000000004d90,7,3,3,True,False
00530000000000004d92,24,2,2,True,False
00530000000000004d93,16,1,1,True,False
00530000000000004da3,4,1,1,True,False
00530000000000004da9,8,1,1,True,False
00530000000000004daa,26,2,3,True,False
00530000000000004dab,30,4,4,True,False
00530000000000004dac,14,3,3,True,False
00530000000000004dad,22,2,3,True,False
00530000000000004dae,62,5,5,True,False
00530000000000004daf,30,4,4,True,False
00530000000000004df6,1,1,1,True,False
00530000000000004e00,4,1,1,True,False
00530000000000004e03,4,1,1,True,False
00530000000000004e0f,1,1,1,True,False
00530000000000004e1a,23,3,4,True,False
00530000000000004e1b,13,2,3,True,False
00530000000000004e1e,1,1,1,True,False
00530000000000004e26,6,2,2,True,False
00530000000000004e28,31,5,5,True,False
00530000000000004e2a,36,1,2,True,False
00530000000000004e34,7,3,3,True,False
00530000000000004e40,32,1,1,True,False
00530000000000004e41,43,2,4,True,False
00530000000000004e44,32,1,1,True,False
00530000000000004e4d,22,2,3,True,False
00530000000000004e72,12,2,2,True,False
00530000000000004e77,4,1,1,True,False
00530000000000004e78,4,1,1,True,False
00530000000000004e83,2,1,1,True,False
00530000000000004e88,2,1,1,True,False
00530000000000004e8b,2,1,1,True,False
00530000000000004e92,3,2,2,True,False
00530000000000004e96,55,3,5,True,False
00530000000000004e9b,6,2,2,True,False
00530000000000004ece,8,1,1,True,False
00530000000000004ecf,48,2,2,True,False
00530000000000004ed2,33,1,2,True,False
00530000000000004ed3,21,1,3,True,False
00530000000000004ed7,4,1,1,True,False
00530000000000004ed9,1,1,1,True,False
00530000000000004edb,34,1,2,True,False
00530000000000004edd,10,1,2,True,False
00530000000000004edf,7,3,3,True,False
00530000000000004ee3,40,1,2,True,False
00530000000000004ee8,1,1,1,True,False
00530000000000004ee9,63,6,6,True,False
00530000000000004eeb,39,3,4,True,False
00530000000000004eed,23,3,4,True,False
00530000000000004eee,33,1,2,True,False
00530000000000004ef3,22,2,3,True,False
00530000000000004ef4,18,1,2,True,False
00530000000000004f17,36,1,2,True,False
00530000000000004f51,57,3,4,True,False
00530000000000004f83,17,1,2,True,False
005300000000000050c0,2,1,1,True,False
005300000000000050c2,8,1,1,True,False
005300000000000050c7,48,2,2,True,False
005300000000000050cc,16,1,1,True,False
005300000000000050ce,32,1,1,True,False
005300000000000050d5,8,1,1,True,False
005300000000000050d8,1,1,1,True,False
005300000000000050de,10,1,2,True,False
005300000000000050df,7,3,3,True,False
005300000000000050e1,6,2,2,True,False
005300000000000050e7,48,2,2,True,False
005300000000000050e8,11,2,3,True,False
005300000000000050e9,54,2,4,True,False
005300000000000050ea,54,2,4,True,False
005300000000000050eb,25,2,3,True,False
005300000000000050f2,30,4,4,True,False
005300000000000050f3,30,4,4,True,False
005300000000000050f6,8,1,1,True,False
005300000000000050f8,1,1,1,True,False
005300000000000050fe,1,1,1,True,False
00530000000000005102,1,1,1,True,False
00530000000000005113,6,2,2,True,False
0053000000000000511b,4,1,1,True,False
00530000000000005121,4,1,1,True,False
00530000000000005126,8,1,1,True,False
00530000000000005141,5,1,2,True,False
0053000000000000514b,32,1,1,True,False
0053000000000000514d,3,2,2,True,False
0053000000000000514f,4,1,1,True,False
00530000000000005150,32,1,1,True,False
00530000000000005151,1,1,1,True,False
00530000000000005153,2,1,1,True,False
00530000000000005155,48,2,2,True,False
00530000000000005156,48,2,2,True,False
00530000000000005157,48,2,2,True,False
0053000000000000515a,8,1,1,True,False
0053000000000000515d,16,1,1,True,False
0053000000000000515e,16,1,1,True,False
00530000000000005161,10,1,2,True,False
00530000000000005162,8,1,1,True,False
00530000000000005166,16,1,1,True,False
0053000000000000516a,4,1,1,True,False
