orch_id,season,season_mid,season_sort,stratum,cluster_role,cluster_role_color,best_soft,best_soft_norm,alpha_0_1,alpha_0_100,streak_len_current,time_since_last_flip,flip_style_last,delta_last,confidence,npts_total,env_z_season,slope_Intensity,r2_Intensity,z_slope_Intensity,label,silhouette,p_cover,county,cover_streak_1y,cover_streak_2y,cover_streak_3y,cover_streak_4y,cover_streak_5y,cover_streak_6y,cover_streak_7y,cover_streak_8y
0053000000000000485d,2018_2019,2019-01-31,2018,Mid,Cover Crops,#2ca25f,0.5321917671598462,0.0,0.0,0,1.0,,,,0.532,3,0.5763802697615296,0.005068768205502717,0.7304758680578949,,Cover,,0.5321917671598462,,1,0,0,0,0,0,0,0
0053000000000000487a,2018_2019,2019-01-31,2018,Mid,Cover Crops,#2ca25f,0.6200745186396088,0.21006203756794364,0.21006203756794364,21,1.0,,,,0.62,5,1.5455840372708372,0.003709893756989605,-0.01446630162851048,,Cover,,0.6200745186396088,,1,0,0,0,0,0,0,0
005300000000000048fd,2018_2019,2019-01-31,2018,Mid,Bare Soil,#8B4513,0.6080116493231736,0.16918108176297433,0.16918108176297433,17,1.0,,,,0.608,5,-1.1154144665136911,0.025239980817308556,0.7620053449026332,,NoCover,,0.39198835067682636,,0,0,0,0,0,0,0,0
005300000000000048ff,2018_2019,2019-01-31,2018,Mid,Bare Soil,#8B4513,0.6471583263202096,0.3018488186211377,0.3018488186211377,30,1.0,,,,0.647,5,-1.4571997860810804,0.00958675736561364,0.47610875484178705,,NoCover,,0.35284167367979036,,0,0,0,0,0,0,0,0
0053000000000000490e,2018_2019,2019-01-31,2018,Mid,Cover Crops,#2ca25f,0.5281424463957642,0.0,0.0,0,1.0,,,,0.528,5,-0.8180206162711751,0.06973482253816321,0.8491094788419562,,Cover,,0.5281424463957642,,1,0,0,0,0,0,0,0
00530000000000004910,2018_2019,2019-01-31,2018,Mid,Cover Crops,#2ca25f,0.5951824837410623,0.12570315479394395,0.12570315479394395,13,1.0,,,,0.595,5,0.06492844781502985,0.0408143245316133,0.6099522067818393,,Cover,,0.5951824837410623,,1,0,0,0,0,0,0,0
00530000000000004911,2018_2019,2019-01-31,2018,Mid,Bare Soil,#8B4513,0.5565975061050621,0.0,0.0,0,1.0,,,,0.557,5,-1.0091069223955595,0.04174296026748535,0.6820456171927272,,NoCover,,0.4434024938949379,,0,0,0,0,0,0,0,0
00530000000000004912,2018_2019,2019-01-31,2018,Mid,Bare Soil,#8B4513,0.5095872860270749,0.0,0.0,0,1.0,,,,0.51,5,-1.1611223017522048,0.057281219195763566,0.9012996932062007,,NoCover,,0.4904127139729251,,0,0,0,0,0,0,0,0
0053000000000000492c,2018_2019,2019-01-31,2018,Mid,Bare Soil,#8B4513,0.7429167828405792,0.6263733679858298,0.6263733679858298,63,1.0,,,,0.743,3,-0.45887139137931726,-0.05359472502022446,0.4321704272542658,,NoCover,,0.25708321715942084,,0,0,0,0,0,0,0,0
00530000000000004932,2018_2019,2019-01-31,2018,Mid,Bare Soil,#8B4513,0.687998909017816,0.4402571866895269,0.4402571866895269,44,1.0,,,,0.688,3,-0.7350656269703767,-0.06192499921873794,0.6211041139032762,,NoCover,,0.312001090982184,,0,0,0,0,0,0,0,0
