orch_id,cluster_role_mapped,best_soft_norm,uncertain,flipped_this_season,streak_len_current,time_since_last_flip,npts_total,env_z_season,stratum
00560000000000002bd1,Cover,0.2447894288082086,False,False,2.0,1.0,5,2.3746807177272506,Mid
005600000000000030ba,Bare,0.10750937591196164,True,False,2.0,1.0,5,0.49356589554874564,Mid
005600000000000030bb,Bare,0.15855428754676051,False,False,3.0,2.0,5,0.4557922505616346,Mid
005600000000000030d5,Bare,0.07322653300348098,True,False,4.0,3.0,5,-0.6062808188474144,Mid
005600000000000030e2,Bare,0.370976978775298,False,False,6.0,,4,-1.702766837817266,Mid
005600000000000030f8,Bare,0.6560332601495746,False,False,5.0,4.0,4,0.08670166650350207,Mid
005600000000000030fb,Bare,0.5912256550998533,False,False,6.0,,4,-0.01472941041540203,Mid
005600000000000030fc,Bare,0.09089504393657025,True,False,6.0,,4,0.3083024018304153,Mid
005600000000000030fd,Bare,0.8541375291377588,False,False,6.0,,5,0.06241744625659177,Mid
00560000000000003107,Bare,0.4589020836378112,False,False,6.0,,4,-1.4041242270642085,Mid
00560000000000003109,Cover,0.0,True,False,2.0,1.0,4,0.4334931210977867,Mid
0056000000000000310f,Bare,0.570007693428513,False,False,6.0,,5,0.27388608605151,Mid
00560000000000003110,Bare,0.3976863834070798,False,True,1.0,0.0,4,-1.6582340200659045,Mid
00560000000000003111,Bare,0.8683367432148021,False,False,6.0,,4,-0.4383251914077397,Mid
00560000000000003112,Bare,0.7321490317011073,False,False,6.0,,5,0.12068695132060514,Mid
00560000000000003114,Bare,1.0,False,False,6.0,,5,-0.36080912715627267,Mid
00560000000000003115,Bare,0.7726781660800592,False,False,6.0,,4,-0.006571634574880553,Mid
00560000000000003116,Bare,1.0,False,False,6.0,,5,-0.4364121456990926,Mid
00560000000000003117,Bare,0.9373968311733504,False,False,6.0,,4,-0.6002516935051603,Mid
0056000000000000311a,Bare,0.824802471279764,False,False,6.0,,4,0.042859342928681085,Mid
0056000000000000312a,Bare,0.814783583707919,False,False,6.0,,5,-0.6715631322580298,Mid
0056000000000000312b,Bare,0.9908277295605347,False,False,6.0,,4,-0.5332439742722153,Mid
0056000000000000312c,Bare,0.9030317612801505,False,False,6.0,,5,-0.1174361636662074,Mid
0056000000000000312e,Bare,0.9096818173235809,False,False,6.0,,5,-0.1115919631279725,Mid
00560000000000003131,Bare,0.9862819760300456,False,False,6.0,,5,-0.06522597707943838,Mid
00560000000000003132,Bare,1.0,False,False,6.0,,5,-0.19621321804991257,Mid
00560000000000003134,Bare,0.7571142706588229,False,False,6.0,,5,-0.4308153695933268,Mid
00560000000000003135,Bare,0.9713935409641951,False,False,6.0,,5,-0.418983743149813,Mid
00560000000000003136,Bare,1.0,False,False,6.0,,5,-0.10497114854537173,Mid
0056000000000000313e,Bare,0.6333777442772386,False,False,6.0,,5,-0.9816827591975376,Mid
0056000000000000313f,Bare,0.9589403234299574,False,False,6.0,,5,-0.18524146217515422,Mid
00560000000000003142,Bare,0.9274786208080033,False,False,5.0,4.0,5,-0.07462437493642801,Mid
00560000000000003144,Bare,0.6289901235052273,False,True,1.0,0.0,5,-0.9903926708295072,Mid
00560000000000003147,Bare,0.5777873602764151,False,False,6.0,,5,-1.0980875289865168,Mid
00560000000000003148,Bare,0.5712150663595583,False,False,4.0,3.0,5,-1.1127944021808867,Mid
00560000000000003149,Bare,0.7238141084209336,False,False,4.0,3.0,5,-0.8168454994017367,Mid
0056000000000000314c,Bare,0.5888267552881977,False,False,6.0,,5,-1.0738631817311806,Mid
0056000000000000314d,Cover,0.49394907518411196,False,True,1.0,0.0,5,0.9892007447303373,Mid
005600000000000031b5,Bare,0.3537960176683906,False,False,6.0,,5,-0.43041157057240387,Mid
005600000000000031ba,Bare,0.0,True,False,6.0,,5,0.5928766233474081,Mid
005600000000000031bc,Bare,0.0,True,False,2.0,1.0,5,0.20738287810062778,Mid
005600000000000031be,Cover,0.0,True,True,1.0,0.0,5,0.33745458146251656,Mid
005600000000000031bf,Cover,0.10972631695304771,True,False,2.0,1.0,5,0.44011913114831214,Mid
005600000000000031c0,Cover,0.21877468771860795,False,False,3.0,2.0,5,0.8416503164555733,Mid
005600000000000031c1,Cover,0.0,True,True,1.0,0.0,5,0.18803943907240564,Mid
005600000000000031c2,Cover,0.293439225874224,False,False,2.0,1.0,5,0.6617014975308175,Mid
005600000000000031c3,Cover,0.832092395924596,False,False,2.0,1.0,5,1.1583397102794182,Mid
005600000000000031c6,Bare,0.8557134625987964,False,False,6.0,,5,-0.1798427826404252,Mid
005600000000000031c7,Bare,0.8992707419569991,False,False,6.0,,5,0.019979235116835664,Mid
005600000000000031c9,Cover,0.027870458941638084,True,False,5.0,4.0,5,0.9752557137274329,Mid
005600000000000031ca,Bare,0.8830890654538818,False,False,2.0,1.0,5,-0.09745050923580093,Mid
005600000000000031cb,Bare,0.06289615024582193,True,False,5.0,4.0,5,0.11680227525708466,Mid
005600000000000031cd,Bare,0.6791996528976769,False,False,6.0,,5,-0.14505153718977434,Mid
005600000000000031cf,Bare,0.0,True,False,3.0,2.0,5,-0.7552224813030509,Mid
005600000000000031d1,Cover,0.12681728688808905,True,True,1.0,0.0,5,0.1121032613900555,Mid
005600000000000031d2,Bare,0.3356565479677583,False,False,2.0,1.0,5,0.3111540877474047,Mid
005600000000000031d3,Bare,0.03343599321738281,True,True,1.0,0.0,5,0.541164133751924,Mid
005600000000000031d4,Cover,0.0,True,False,2.0,1.0,5,0.8666067605363944,Mid
005600000000000031d5,Bare,0.12436583661025365,True,True,1.0,0.0,5,0.5650803745755185,Mid
005600000000000031d6,Cover,0.49828096679684214,False,True,1.0,0.0,5,0.6129957046874305,Mid
005600000000000031d7,Cover,0.27270837631071526,False,False,6.0,,5,1.548377169641679,Mid
005600000000000031d8,Cover,0.0,True,False,3.0,2.0,5,0.8731731946111331,Mid
005600000000000031d9,Bare,0.2740953564168462,False,False,6.0,,5,0.3656623749635349,Mid
005600000000000031da,Cover,0.10288408507967993,True,False,3.0,2.0,5,3.0,Mid
005600000000000031db,Cover,0.7418575502301795,False,True,1.0,0.0,5,1.7989343583637987,Mid
005600000000000031dd,Cover,0.20208095579887148,False,False,3.0,2.0,5,0.3688316273272632,Mid
005600000000000031df,Bare,0.7463091973782224,False,False,6.0,,5,0.0779525477820714,Mid
005600000000000031e0,Bare,0.36786258897971225,False,False,6.0,,5,-0.12479533799709777,Mid
005600000000000031e1,Cover,0.15054962177235678,False,False,3.0,2.0,5,3.0,Mid
005600000000000031e2,Cover,0.12645010404600407,True,False,3.0,2.0,5,3.0,Mid
005600000000000031e3,Cover,0.475024577778496,False,True,1.0,0.0,5,0.576677714524179,Mid
005600000000000031e4,Bare,0.4309164114140843,False,False,6.0,,5,0.31809507790208463,Mid
005600000000000031e5,Cover,0.0,True,False,2.0,1.0,5,0.8829239153882122,Mid
005600000000000031e6,Cover,0.2070911103912689,False,True,1.0,0.0,5,1.1662242028008554,Mid
005600000000000031e7,Cover,0.0,True,False,2.0,1.0,5,-0.38294052679601015,Mid
005600000000000031e8,Bare,0.4843837006983916,False,False,4.0,3.0,5,-1.3304292397365067,Mid
005600000000000031e9,Cover,0.65193843297462,False,False,2.0,1.0,5,0.7042255766384398,Mid
005600000000000031ea,Cover,0.010712682582968907,True,True,1.0,0.0,5,0.35637241173000644,Mid
005600000000000031eb,Cover,0.0,True,True,1.0,0.0,5,1.16646785762258,Mid
005600000000000031ec,Bare,0.07946765072200984,True,False,5.0,4.0,5,0.5074122561273005,Mid
005600000000000031ed,Bare,0.06310812447183993,True,False,5.0,4.0,5,0.3694193944036819,Mid
005600000000000031ee,Cover,0.0,True,True,1.0,0.0,5,0.6563648296251468,Mid
005600000000000031ef,Bare,0.03160544544163861,True,False,5.0,4.0,5,0.4893840072232372,Mid
005600000000000031f0,Cover,0.0049092025541033965,True,False,5.0,4.0,5,0.9473837884546962,Mid
005600000000000031f1,Cover,0.0023478917003532454,True,True,1.0,0.0,5,0.9457442177511098,Mid
005600000000000031f2,Cover,0.11606770940192743,True,False,3.0,2.0,5,3.0,Mid
005600000000000031f3,Bare,0.5386271679920547,False,False,5.0,4.0,5,0.2486843649753186,Mid
005600000000000031f5,Bare,0.0,True,False,3.0,2.0,5,0.5869371248948261,Mid
005600000000000031f6,Cover,0.142778573020208,True,True,1.0,0.0,5,0.3417154841051687,Mid
005600000000000031f7,Cover,0.04727055675205215,True,True,1.0,0.0,5,0.6219667832037074,Mid
005600000000000031f8,Cover,0.28185928567338553,False,False,3.0,2.0,5,1.6368659787099744,Mid
005600000000000031f9,Cover,0.1334121980611033,True,False,3.0,2.0,5,1.3221831800967514,Mid
005600000000000031fa,Cover,0.2596655807412245,False,False,3.0,2.0,5,1.4874776853353815,Mid
005600000000000031fb,Cover,0.34996514823070585,False,False,4.0,3.0,5,1.3271567525207042,Mid
005600000000000031fc,Cover,0.35375741963943585,False,True,1.0,0.0,5,1.1495198402702702,Mid
005600000000000031fd,Cover,0.28077412314990896,False,False,3.0,2.0,5,1.623061989555804,Mid
005600000000000031fe,Cover,0.05153721792377895,True,True,1.0,0.0,5,1.153348066403335,Mid
005600000000000031ff,Cover,0.5162631458832146,False,False,6.0,,5,0.6684511218326075,Mid
00560000000000003200,Cover,0.5508682308229835,False,False,6.0,,5,0.7242801568056475,Mid
