orch_id,season_from,season_to,flip,magnitude,distance
00560000000000002bd1,2018_2019,2019_2020,0,Large,2.0589822351808493
00560000000000002bd1,2019_2020,2020_2021,0,Medium,0.9821447673030597
00560000000000002bd1,2020_2021,2021_2022,1,Medium,0.821865883043044
00560000000000002bd1,2021_2022,2022_2023,1,Large,1.7383172308533759
00560000000000002bd1,2022_2023,2023_2024,0,Small,0.7089506708118454
005600000000000030ba,2018_2019,2019_2020,0,Small,0.37076117660118174
005600000000000030ba,2019_2020,2020_2021,0,Small,0.5703137072114901
005600000000000030ba,2020_2021,2021_2022,1,Small,0.2689166760755894
005600000000000030ba,2021_2022,2022_2023,1,Small,0.35804370314724304
005600000000000030ba,2022_2023,2023_2024,0,Small,0.3052600905156865
005600000000000030bb,2018_2019,2019_2020,0,Small,0.4244133769357239
005600000000000030bb,2019_2020,2020_2021,1,Medium,0.7699281925168501
005600000000000030bb,2020_2021,2021_2022,1,Small,0.18414199390895336
005600000000000030bb,2021_2022,2022_2023,0,Small,0.4246246022863017
005600000000000030bb,2022_2023,2023_2024,0,Small,0.34362668469042384
005600000000000030d5,2018_2019,2019_2020,1,Medium,1.1405175083207804
005600000000000030d5,2019_2020,2020_2021,1,Medium,0.9010495775716675
005600000000000030d5,2020_2021,2021_2022,0,Large,1.5638544886102324
005600000000000030d5,2021_2022,2022_2023,0,Large,1.2623878995292235
005600000000000030d5,2022_2023,2023_2024,0,Medium,0.9203107275253135
005600000000000030e2,2018_2019,2019_2020,0,Medium,0.9146780680292924
005600000000000030e2,2019_2020,2020_2021,0,Medium,0.751414852957686
005600000000000030e2,2020_2021,2021_2022,0,Medium,1.1194076809383666
005600000000000030e2,2021_2022,2022_2023,0,Small,0.2989649121282151
005600000000000030e2,2022_2023,2023_2024,0,Small,0.36441428955701105
005600000000000030f8,2018_2019,2019_2020,1,Large,2.212407298784371
005600000000000030f8,2019_2020,2020_2021,0,Small,0.48877983740500114
005600000000000030f8,2020_2021,2021_2022,0,Small,0.04432538084034427
005600000000000030f8,2021_2022,2022_2023,0,Small,0.6493365264432582
005600000000000030f8,2022_2023,2023_2024,0,Small,0.5571769113699537
005600000000000030fb,2018_2019,2019_2020,0,Small,0.6294662754004373
005600000000000030fb,2019_2020,2020_2021,0,Small,0.27189111236098995
005600000000000030fb,2020_2021,2021_2022,0,Small,0.39342152844603945
005600000000000030fb,2021_2022,2022_2023,0,Medium,1.1475605536101257
005600000000000030fb,2022_2023,2023_2024,0,Medium,0.7553324063765694
005600000000000030fc,2018_2019,2019_2020,0,Medium,0.8518010266129764
005600000000000030fc,2019_2020,2020_2021,0,Small,0.5054576974036501
005600000000000030fc,2020_2021,2021_2022,0,Small,0.36140109664864367
005600000000000030fc,2021_2022,2022_2023,0,Medium,0.8349967770381395
005600000000000030fc,2022_2023,2023_2024,0,Medium,0.7911856110745363
005600000000000030fd,2018_2019,2019_2020,0,Small,0.49503718410947567
005600000000000030fd,2019_2020,2020_2021,0,Large,1.294301767034631
005600000000000030fd,2020_2021,2021_2022,0,Medium,0.7506340361906946
005600000000000030fd,2021_2022,2022_2023,0,Small,0.04889809719129859
005600000000000030fd,2022_2023,2023_2024,0,Small,0.6598834741410768
00560000000000003107,2018_2019,2019_2020,0,Small,0.11697405916182446
00560000000000003107,2019_2020,2020_2021,0,Small,0.12910635686153493
00560000000000003107,2020_2021,2021_2022,0,Small,0.4125106075863071
00560000000000003107,2021_2022,2022_2023,0,Small,0.6782232058667093
00560000000000003107,2022_2023,2023_2024,0,Medium,0.8101890142549409
00560000000000003109,2018_2019,2019_2020,1,Medium,0.9186523708656399
00560000000000003109,2019_2020,2020_2021,0,Small,0.5052075970628074
00560000000000003109,2020_2021,2021_2022,0,Small,0.3546237929614773
00560000000000003109,2021_2022,2022_2023,1,Medium,1.1384686207006998
00560000000000003109,2022_2023,2023_2024,0,Small,0.6304115189122268
0056000000000000310f,2018_2019,2019_2020,0,Medium,1.0234249038335523
0056000000000000310f,2019_2020,2020_2021,0,Medium,1.075086640604762
0056000000000000310f,2020_2021,2021_2022,0,Small,0.46228092647386115
0056000000000000310f,2021_2022,2022_2023,0,Small,0.4079092297250589
0056000000000000310f,2022_2023,2023_2024,0,Small,0.535050824111065
00560000000000003110,2018_2019,2019_2020,0,Small,0.6232022434534932
00560000000000003110,2019_2020,2020_2021,0,Small,0.34854483252803
00560000000000003110,2020_2021,2021_2022,1,Large,1.6369465837181323
00560000000000003110,2021_2022,2022_2023,0,Small,0.2003594021452993
00560000000000003110,2022_2023,2023_2024,1,Large,2.454115568362693
00560000000000003111,2018_2019,2019_2020,0,Small,0.3605962036839542
00560000000000003111,2019_2020,2020_2021,0,Small,0.4764915045337485
00560000000000003111,2020_2021,2021_2022,0,Small,0.558882819307887
00560000000000003111,2021_2022,2022_2023,0,Small,0.4719411117670268
00560000000000003111,2022_2023,2023_2024,0,Small,0.25393946580370214
00560000000000003112,2018_2019,2019_2020,0,Small,0.3256556785619347
00560000000000003112,2019_2020,2020_2021,0,Medium,0.9739061555708877
00560000000000003112,2020_2021,2021_2022,0,Large,1.7953711834490582
00560000000000003112,2021_2022,2022_2023,0,Medium,1.1347820813126983
00560000000000003112,2022_2023,2023_2024,0,Small,0.4043295147089043
00560000000000003114,2018_2019,2019_2020,0,Medium,0.8125602031283239
00560000000000003114,2019_2020,2020_2021,0,Medium,1.071730399072359
00560000000000003114,2020_2021,2021_2022,0,Large,1.6750356323510172
00560000000000003114,2021_2022,2022_2023,0,Medium,0.825522948538641
00560000000000003114,2022_2023,2023_2024,0,Small,0.4431629792264282
00560000000000003115,2018_2019,2019_2020,0,Small,0.5949393287394308
00560000000000003115,2019_2020,2020_2021,0,Medium,1.1904166074320723
00560000000000003115,2020_2021,2021_2022,0,Medium,1.0647675884855219
00560000000000003115,2021_2022,2022_2023,0,Medium,0.8414001850730287
00560000000000003115,2022_2023,2023_2024,0,Small,0.46829826764268107
00560000000000003116,2018_2019,2019_2020,0,Small,0.5108613133620576
00560000000000003116,2019_2020,2020_2021,0,Medium,1.2162955247169729
00560000000000003116,2020_2021,2021_2022,0,Large,1.3272472920772898
00560000000000003116,2021_2022,2022_2023,0,Medium,0.9615634710128452
00560000000000003116,2022_2023,2023_2024,0,Small,0.256853487966767
00560000000000003117,2018_2019,2019_2020,0,Medium,0.8759909950166537
00560000000000003117,2019_2020,2020_2021,0,Small,0.37135788901621275
00560000000000003117,2020_2021,2021_2022,0,Small,0.71834323268562
00560000000000003117,2021_2022,2022_2023,0,Small,0.5876411038187253
00560000000000003117,2022_2023,2023_2024,0,Small,0.35018939541839095
0056000000000000311a,2018_2019,2019_2020,0,Small,0.059573958736611005
0056000000000000311a,2019_2020,2020_2021,0,Small,0.15546579923645049
0056000000000000311a,2020_2021,2021_2022,0,Small,0.3541703051457179
0056000000000000311a,2021_2022,2022_2023,0,Small,0.42063566611437664
0056000000000000311a,2022_2023,2023_2024,0,Small,0.1602388782223345
0056000000000000312a,2018_2019,2019_2020,0,Small,0.259050527915541
0056000000000000312a,2019_2020,2020_2021,0,Small,0.6927700807956586
0056000000000000312a,2020_2021,2021_2022,0,Small,0.08803794528623828
0056000000000000312a,2021_2022,2022_2023,0,Small,0.6915846653940254
0056000000000000312a,2022_2023,2023_2024,0,Medium,0.777295527778788
0056000000000000312b,2018_2019,2019_2020,0,Small,0.7329408007859066
0056000000000000312b,2019_2020,2020_2021,0,Small,0.7091217797028317
0056000000000000312b,2020_2021,2021_2022,0,Small,0.5760227469954176
0056000000000000312b,2021_2022,2022_2023,0,Small,0.33517046624108765
0056000000000000312b,2022_2023,2023_2024,0,Medium,0.9877170747563038
0056000000000000312c,2018_2019,2019_2020,0,Small,0.36968903756841787
0056000000000000312c,2019_2020,2020_2021,0,Small,0.4059480905803525
0056000000000000312c,2020_2021,2021_2022,0,Small,0.4532205888497423
0056000000000000312c,2021_2022,2022_2023,0,Small,0.320330816763341
0056000000000000312c,2022_2023,2023_2024,0,Large,1.286797783427714
0056000000000000312e,2018_2019,2019_2020,0,Medium,1.0649988700542719
0056000000000000312e,2019_2020,2020_2021,0,Small,0.6097266982641464
0056000000000000312e,2020_2021,2021_2022,0,Small,0.12561939524569257
0056000000000000312e,2021_2022,2022_2023,0,Small,0.5404177846874932
0056000000000000312e,2022_2023,2023_2024,0,Medium,0.8171021361114439
00560000000000003131,2018_2019,2019_2020,0,Small,0.4881284285184086
00560000000000003131,2019_2020,2020_2021,0,Small,0.3202936405275706
00560000000000003131,2020_2021,2021_2022,0,Small,0.7199574013364466
00560000000000003131,2021_2022,2022_2023,0,Small,0.5584478162471422
00560000000000003131,2022_2023,2023_2024,0,Small,0.33127243784663774
00560000000000003132,2018_2019,2019_2020,0,Small,0.4458222603733538
00560000000000003132,2019_2020,2020_2021,0,Medium,1.0695192041705721
00560000000000003132,2020_2021,2021_2022,0,Small,0.47345440468108146
00560000000000003132,2021_2022,2022_2023,0,Small,0.22817137535211596
00560000000000003132,2022_2023,2023_2024,0,Medium,1.003526268153556
00560000000000003134,2018_2019,2019_2020,0,Small,0.47103030412952585
00560000000000003134,2019_2020,2020_2021,0,Small,0.35870019872308373
00560000000000003134,2020_2021,2021_2022,0,Small,0.5751329823295726
00560000000000003134,2021_2022,2022_2023,0,Medium,0.9312963255634505
00560000000000003134,2022_2023,2023_2024,0,Small,0.6071121095480145
00560000000000003135,2018_2019,2019_2020,0,Medium,0.8509570929650265
00560000000000003135,2019_2020,2020_2021,0,Small,0.4033258403829536
00560000000000003135,2020_2021,2021_2022,0,Small,0.28871110895308233
00560000000000003135,2021_2022,2022_2023,0,Small,0.6699937443515178
00560000000000003135,2022_2023,2023_2024,0,Small,0.7485782963808891
00560000000000003136,2018_2019,2019_2020,0,Small,0.5471591866593456
00560000000000003136,2019_2020,2020_2021,0,Small,0.26315851418090025
00560000000000003136,2020_2021,2021_2022,0,Small,0.33741312322813427
00560000000000003136,2021_2022,2022_2023,0,Small,0.16295733594656833
00560000000000003136,2022_2023,2023_2024,0,Small,0.3070180917412178
0056000000000000313e,2018_2019,2019_2020,0,Small,0.4406463190015841
0056000000000000313e,2019_2020,2020_2021,0,Small,0.3475682960092863
0056000000000000313e,2020_2021,2021_2022,0,Small,0.48183720807679253
0056000000000000313e,2021_2022,2022_2023,0,Large,1.337375774759531
0056000000000000313e,2022_2023,2023_2024,0,Small,0.7391167215987297
0056000000000000313f,2018_2019,2019_2020,0,Small,0.216338944576036
0056000000000000313f,2019_2020,2020_2021,0,Small,0.6516236622445296
0056000000000000313f,2020_2021,2021_2022,0,Medium,0.9339500803406284
0056000000000000313f,2021_2022,2022_2023,0,Medium,0.7535962615874281
0056000000000000313f,2022_2023,2023_2024,0,Medium,1.233722634389995
00560000000000003142,2018_2019,2019_2020,1,Medium,0.9876722602563868
