orch_id,mask,longest,years_active,ever_cover,never_cover
00560000000000002bd1,39,3,4,True,False
005600000000000030d5,2,1,1,True,False
005600000000000030f8,1,1,1,True,False
00560000000000003110,16,1,1,True,False
00560000000000003149,3,2,2,True,False
0056000000000000314d,43,2,4,True,False
005600000000000031bc,8,1,1,True,False
005600000000000031c0,57,3,4,True,False
005600000000000031c2,48,2,2,True,False
005600000000000031c3,48,2,2,True,False
005600000000000031c9,8,1,1,True,False
005600000000000031cb,1,1,1,True,False
005600000000000031cf,4,1,1,True,False
005600000000000031d2,8,1,1,True,False
005600000000000031d3,8,1,1,True,False
005600000000000031d5,25,2,3,True,False
005600000000000031d6,32,1,1,True,False
005600000000000031d7,47,4,5,True,False
005600000000000031d8,9,1,2,True,False
005600000000000031da,24,2,2,True,False
005600000000000031db,33,1,2,True,False
005600000000000031dd,49,2,3,True,False
005600000000000031e1,56,3,3,True,False
005600000000000031e2,16,1,1,True,False
005600000000000031e3,32,1,1,True,False
005600000000000031e5,20,1,2,True,False
005600000000000031e6,40,1,2,True,False
005600000000000031e7,5,1,2,True,False
005600000000000031e9,33,1,2,True,False
005600000000000031ea,1,1,1,True,False
005600000000000031eb,10,1,2,True,False
005600000000000031ec,1,1,1,True,False
005600000000000031ed,1,1,1,True,False
005600000000000031ee,1,1,1,True,False
005600000000000031ef,1,1,1,True,False
005600000000000031f0,24,2,2,True,False
005600000000000031f1,3,2,2,True,False
005600000000000031f2,24,2,2,True,False
005600000000000031f6,32,1,1,True,False
005600000000000031f7,1,1,1,True,False
005600000000000031f8,56,3,3,True,False
005600000000000031f9,1,1,1,True,False
005600000000000031fa,33,1,2,True,False
005600000000000031fb,49,2,3,True,False
005600000000000031fc,32,1,1,True,False
005600000000000031fd,56,3,3,True,False
005600000000000031fe,2,1,1,True,False
005600000000000031ff,61,4,5,True,False
00560000000000003200,61,4,5,True,False
00560000000000003201,57,3,4,True,False
00560000000000003203,14,3,3,True,False
00560000000000003205,40,1,2,True,False
00560000000000003206,61,4,5,True,False
00560000000000003208,30,4,4,True,False
0056000000000000320b,12,2,2,True,False
0056000000000000320d,12,2,2,True,False
0056000000000000320e,6,2,2,True,False
0056000000000000320f,31,5,5,True,False
00560000000000003210,2,1,1,True,False
00560000000000003211,40,1,2,True,False
00560000000000003212,40,1,2,True,False
00560000000000003213,44,2,3,True,False
00560000000000003214,45,2,4,True,False
00560000000000003215,41,1,3,True,False
00560000000000003216,45,2,4,True,False
00560000000000003218,16,1,1,True,False
0056000000000000321a,32,1,1,True,False
0056000000000000321b,32,1,1,True,False
0056000000000000321c,57,3,4,True,False
0056000000000000321e,8,1,1,True,False
0056000000000000321f,2,1,1,True,False
00560000000000003220,59,3,5,True,False
0056000000000000322d,1,1,1,True,False
0056000000000000322e,1,1,1,True,False
0056000000000000322f,1,1,1,True,False
00560000000000003237,2,1,1,True,False
0056000000000000323e,57,3,4,True,False
0056000000000000323f,57,3,4,True,False
00560000000000003240,25,2,3,True,False
00560000000000003241,32,1,1,True,False
00560000000000003242,3,2,2,True,False
00560000000000003246,1,1,1,True,False
00560000000000003248,3,2,2,True,False
0056000000000000324d,16,1,1,True,False
0056000000000000324f,49,2,3,True,False
00560000000000003257,16,1,1,True,False
