orch_id,cluster_role_mapped,best_soft_norm,uncertain,flipped_this_season,streak_len_current,time_since_last_flip,npts_total,env_z_season,stratum
0053000000000000134f,Cover,0.7794630822635781,False,True,1.0,0.0,4,0.7137979449102889,Old
00530000000000001466,Cover,0.9654284465962368,False,False,5.0,,4,0.27308158236425456,Young
005300000000000015fb,Bare,1.0,False,False,5.0,,4,-0.5876631941360627,Old
00530000000000001a3d,Bare,1.0,False,False,5.0,,4,-0.638206551652233,Old
00530000000000001ec5,Cover,1.0,False,True,1.0,0.0,4,0.4420072802109017,Old
00530000000000001ec6,Bare,0.8030402541799431,False,False,5.0,,4,-0.389062290097165,Old
00530000000000001ec9,Bare,0.6435321937633489,False,True,1.0,0.0,4,1.7242076901514818,Old
00530000000000001ecd,Bare,0.3573848666911276,False,True,1.0,0.0,4,1.0803892364169059,Old
00530000000000001ed0,Bare,0.5833769534919386,False,False,2.0,1.0,4,1.924682114058499,Old
00530000000000001ed1,Cover,0.5463293121705246,False,False,3.0,2.0,4,0.529466783489746,Young
00530000000000001ed2,Cover,0.9223758677148992,False,True,1.0,0.0,4,0.14256010017255336,Young
00530000000000001ed4,Cover,1.0,False,True,1.0,0.0,4,0.7507804312461028,Old
00530000000000001ed5,Cover,0.504417648682811,False,True,1.0,0.0,4,0.8314164197842963,Old
00530000000000001ed7,Cover,0.5296091595294105,False,True,1.0,0.0,4,1.1041996784464645,Young
00530000000000001ed9,Bare,0.072846390404804,True,False,5.0,,4,0.6253189432880678,Old
00530000000000001eda,Bare,0.25132867645717677,False,True,1.0,0.0,4,1.0629673136808107,Old
00530000000000001edb,Bare,0.0,True,True,1.0,0.0,4,0.24265975453213703,Old
00530000000000001edc,Cover,0.11820626613914742,True,False,5.0,,4,2.242340370110744,Old
00530000000000001edd,Cover,0.2868346830920042,False,True,1.0,0.0,4,0.7914587335797999,Old
00530000000000001ede,Cover,0.04895806881457487,True,True,1.0,0.0,4,0.17581979590690774,Old
00530000000000001edf,Bare,0.42211168690980283,False,True,1.0,0.0,4,0.6216498536780051,Old
00530000000000001ee0,Cover,0.27210950076825363,False,True,1.0,0.0,4,0.6792246554085959,Old
00530000000000001ee2,Bare,0.06253565134250436,True,True,1.0,0.0,4,0.26573085138442426,Old
00530000000000001ee3,Bare,0.06107625672613955,True,True,1.0,0.0,4,0.3684850655237774,Old
00530000000000001ee4,Bare,0.5723081967463888,False,True,1.0,0.0,4,0.6837117435430239,Old
00530000000000001ee5,Cover,0.05778393372474583,True,False,5.0,,4,-0.638063825867132,Old
00530000000000001ee6,Bare,0.15032057887970288,False,True,1.0,0.0,4,0.3082911937789229,Old
00530000000000001ee7,Bare,0.019427217668686672,True,False,5.0,,4,0.179088667620926,Old
00530000000000001ee9,Bare,0.35044496236160394,False,True,1.0,0.0,4,-0.5259979061773068,Old
00530000000000001eea,Cover,0.6939271160756353,False,False,2.0,1.0,4,0.92277667930556,Old
005300000000000022e5,Cover,0.6178176591595529,False,False,5.0,,4,1.107329801035671,Old
005300000000000022e6,Bare,0.2617864902085676,False,True,1.0,0.0,4,0.2352694998808971,Old
005300000000000022e7,Cover,0.0,True,False,5.0,,4,-0.4112786522473571,Old
005300000000000022e8,Bare,0.23340385566491065,False,False,3.0,2.0,4,0.1818737969425654,Old
005300000000000022e9,Bare,0.0,True,False,2.0,1.0,4,3.0,Old
005300000000000022ea,Cover,0.8852946969332046,False,True,1.0,0.0,4,0.5078205273123627,Old
005300000000000022eb,Bare,0.6390875557765019,False,True,1.0,0.0,4,1.003415807352493,Old
005300000000000022ec,Cover,0.6667944176749105,False,False,5.0,,4,0.12150626990788434,Old
005300000000000022ee,Bare,0.696123472667677,False,True,1.0,0.0,4,1.0926489174965712,Old
005300000000000022ef,Bare,0.8652309216927406,False,False,2.0,1.0,4,1.813460823814597,Young
005300000000000022f0,Bare,0.0,True,True,1.0,0.0,4,-0.06838530596756745,Old
005300000000000022f1,Bare,0.5166860403970576,False,True,1.0,0.0,4,1.975100403802174,Old
005300000000000022f2,Bare,0.6670316034277214,False,True,1.0,0.0,4,1.3173293488055298,Old
005300000000000022f3,Bare,0.47174076288565187,False,True,1.0,0.0,4,1.6246715189138663,Old
005300000000000022f4,Bare,0.9813496399281613,False,True,1.0,0.0,4,1.305236868087142,Old
0053000000000000243a,Bare,0.33793010439772503,False,False,2.0,1.0,4,0.19916129386118372,Old
0053000000000000243b,Bare,0.4028011642736077,False,False,5.0,,4,-0.47141000603362326,Old
0053000000000000243c,Cover,0.5511472709570169,False,True,1.0,0.0,4,1.478210909823912,Old
00530000000000002441,Bare,0.6131479621468459,False,False,3.0,2.0,4,-0.04851963834465073,Old
00530000000000002444,Bare,0.5177069821128786,False,False,5.0,,4,2.077319953415854,Old
0053000000000000244a,Bare,0.3908744479390486,False,True,1.0,0.0,4,-0.3003444061525974,Young
0053000000000000244f,Bare,0.9578035346649564,False,False,5.0,,4,-0.9183214554610274,Young
00530000000000002450,Bare,0.309835373195746,False,False,3.0,2.0,4,-1.2364516760741893,Young
00530000000000002451,Bare,0.7854757338293964,False,False,5.0,,4,-0.19476570274389426,Old
00530000000000002452,Bare,0.12619191722493694,True,True,1.0,0.0,4,0.3754342243922473,Old
00530000000000002454,Bare,0.7206531552186978,False,True,1.0,0.0,4,-0.05636069108664884,Old
00530000000000002455,Cover,0.6214621224366591,False,True,1.0,0.0,4,1.0367939704573101,Old
00530000000000002459,Cover,0.5215731314261369,False,True,1.0,0.0,4,0.7129561161734274,Young
0053000000000000245b,Cover,0.7057237925888941,False,False,4.0,3.0,4,0.17746467443480143,Old
0053000000000000245f,Bare,0.7012825752313652,False,False,2.0,1.0,4,-1.0417628764552829,Old
00530000000000002460,Bare,0.7962924003783799,False,False,5.0,,4,-0.0901119793779747,Old
00530000000000002467,Bare,0.3285119313086456,False,False,5.0,,4,-0.2506710546648174,Old
00530000000000002468,Cover,0.0007002499975433339,True,True,1.0,0.0,4,0.3936858299526138,Old
00530000000000002469,Bare,0.657976394211607,False,False,5.0,,4,-0.00898000938987116,Old
0053000000000000246b,Bare,0.6435190145582892,False,False,5.0,,4,-1.1370441452068798,Old
0053000000000000246d,Bare,0.6058295265772996,False,True,1.0,0.0,4,0.018866534241711787,Old
0053000000000000246e,Bare,0.4808201296467773,False,False,2.0,1.0,4,2.0857551873010323,Old
0053000000000000246f,Cover,0.0,True,False,4.0,3.0,4,0.027101063989738657,Old
00530000000000002470,Bare,0.0,True,True,1.0,0.0,4,0.5387373802969798,Old
00530000000000002471,Cover,0.0,True,True,1.0,0.0,4,-0.18846435138403364,Old
00530000000000002472,Bare,0.9652251501840637,False,True,1.0,0.0,4,-0.6277403130770856,Old
00530000000000002473,Cover,0.0,True,True,1.0,0.0,4,0.5752457777273449,Old
00530000000000002475,Cover,0.6882418003015358,False,True,1.0,0.0,4,0.47519362513669416,Old
0053000000000000247b,Cover,0.43884076838783104,False,True,1.0,0.0,4,0.17443196121662718,Young
0053000000000000247d,Bare,0.677383298898536,False,False,5.0,,4,-1.4189920199729404,Young
0053000000000000247e,Bare,0.3008059867230713,False,False,5.0,,4,1.0441524189844873,Old
0053000000000000247f,Cover,0.9472316291744287,False,True,1.0,0.0,4,0.13632708440051455,Young
00530000000000002482,Cover,0.7104724244526451,False,True,1.0,0.0,4,0.68736074175658,Old
00530000000000002485,Cover,0.9663861934792957,False,False,4.0,3.0,4,1.145754925766482,Young
00530000000000002486,Bare,0.6151065408009796,False,False,5.0,,4,-0.8549524594900854,Old
005300000000000024a9,Cover,0.48954042678895654,False,True,1.0,0.0,4,1.1001931366628,Old
005300000000000024aa,Bare,0.9888783280060335,False,True,1.0,0.0,4,-1.0299538998949727,Young
005300000000000024ab,Bare,0.5378843829491227,False,False,5.0,,4,-1.6262112779141402,Young
005300000000000024ac,Bare,0.5972523705294974,False,True,1.0,0.0,4,-1.5552054735163126,Young
005300000000000024ad,Bare,0.5287227452464137,False,False,5.0,,4,-1.5077594691023044,Young
005300000000000024ae,Bare,0.6287422376760446,False,False,5.0,,4,-1.5171714403236967,Young
005300000000000024af,Bare,0.7895006912645989,False,False,5.0,,4,-1.2598628487804322,Young
005300000000000024b0,Bare,0.5797252804706864,False,True,1.0,0.0,4,-1.571193441056469,Young
005300000000000024b1,Bare,0.5970706080212882,False,True,1.0,0.0,4,-1.4406569020955746,Young
005300000000000024b2,Bare,0.6135362524438842,False,False,3.0,2.0,4,-1.466605335383177,Young
005300000000000024b3,Bare,0.7005690358079368,False,False,5.0,,4,-1.2885104782494758,Young
005300000000000024b5,Bare,1.0,False,True,1.0,0.0,4,-0.738452599517888,Young
005300000000000024b6,Bare,0.4877373020720403,False,True,1.0,0.0,4,-0.7520279560220864,Old
005300000000000024b7,Bare,1.0,False,True,1.0,0.0,4,-0.3285550683745092,Young
005300000000000024b8,Bare,0.5680117713389216,False,False,3.0,2.0,4,-1.5730418177638528,Young
005300000000000024bb,Bare,0.5330816078087033,False,True,1.0,0.0,4,0.7268479256306266,Old
005300000000000024be,Cover,0.6127226845653138,False,True,1.0,0.0,4,1.3251378801934293,Old
005300000000000024c0,Bare,0.4457598927476648,False,False,4.0,3.0,4,-1.6926367876314825,Young
005300000000000024c2,Bare,0.19679375941340926,False,False,3.0,2.0,4,0.8034148204470174,Old
005300000000000024c3,Bare,0.7649362798665471,False,False,5.0,,4,1.324218583196978,Old
005300000000000024c4,Bare,0.29349533355525714,False,True,1.0,0.0,4,0.6520470696454422,Old
005300000000000024c5,Bare,0.47564847695665663,False,True,1.0,0.0,4,-0.668665992381879,Old
005300000000000024c7,Bare,0.34750886533027087,False,False,5.0,,4,-0.617172894855584,Old
005300000000000024c8,Bare,0.3278307260376802,False,True,1.0,0.0,4,0.4991449456559909,Old
005300000000000024c9,Bare,0.3849482937481839,False,False,5.0,,4,-0.7011508805013074,Old
005300000000000024cb,Bare,1.0,False,False,5.0,,4,-0.5883146580710747,Old
005300000000000024cc,Bare,0.6862587961945937,False,False,2.0,1.0,4,-1.0931034331821787,Old
005300000000000024cd,Bare,0.9320762069386308,False,False,5.0,,4,-0.18112294679866872,Old
005300000000000024ce,Bare,0.876644403095429,False,False,5.0,,4,-0.4152194351335213,Old
005300000000000024cf,Bare,0.5249558850516893,False,False,5.0,,4,0.024644046310915966,Old
005300000000000024d0,Bare,0.3256460365686179,False,False,2.0,1.0,4,0.19236358165964557,Old
005300000000000024d1,Bare,0.34083533182253106,False,True,1.0,0.0,4,0.5244505136440388,Old
005300000000000024d3,Bare,0.0,True,False,3.0,2.0,4,0.5283228368143827,Young
005300000000000024d5,Bare,0.6247592818417651,False,False,3.0,2.0,4,-1.1268165286834921,Young
005300000000000024d6,Bare,0.04554239604758266,True,True,1.0,0.0,4,0.3801612623402177,Old
005300000000000024d7,Bare,0.026539782940322533,True,True,1.0,0.0,4,0.34659797711969415,Old
005300000000000024d8,Bare,0.2595498071258481,False,True,1.0,0.0,4,-0.4129677580666909,Old
005300000000000024d9,Bare,1.0,False,False,5.0,,4,-0.460884596138342,Young
005300000000000024da,Bare,1.0,False,True,1.0,0.0,4,-0.40000189328653885,Old
005300000000000024db,Bare,0.20911677824971311,False,True,1.0,0.0,4,-0.20458915155560767,Old
005300000000000024dc,Bare,1.0,False,True,1.0,0.0,4,-0.40132960604376566,Old
005300000000000024dd,Bare,0.7591447721135121,False,True,1.0,0.0,4,-0.4508869625697464,Old
005300000000000024de,Bare,1.0,False,False,5.0,,4,-0.2703174015387556,Old
005300000000000024df,Cover,0.0,True,True,1.0,0.0,4,-0.16436605557344316,Old
005300000000000024e0,Bare,0.38597213160309524,False,True,1.0,0.0,4,0.03163122370828568,Old
005300000000000024e1,Bare,0.17834994786945224,False,False,5.0,,4,-0.302390216848287,Old
005300000000000024e2,Bare,1.0,False,False,4.0,3.0,4,0.9719214538006712,Old
005300000000000024e3,Bare,0.19265134215231994,False,False,2.0,1.0,4,0.13298374706265512,Old
005300000000000024e4,Cover,0.694222522651061,False,False,3.0,2.0,4,0.7930321279021512,Young
005300000000000024e5,Bare,0.510215807089198,False,True,1.0,0.0,4,-1.5214163152380626,Young
005300000000000024e6,Bare,0.2023244987907443,False,True,1.0,0.0,4,0.14011647618569295,Young
005300000000000024e7,Bare,0.45594506063492496,False,False,5.0,,4,-1.251831809040259,Young
