season,from_cluster,to_cluster,n
2019_2020,0,0,44
2019_2020,0,1,45
2019_2020,0,2,15
2019_2020,1,0,22
2019_2020,1,1,261
2019_2020,1,2,44
2019_2020,2,0,19
2019_2020,2,1,33
2019_2020,2,2,48
2020_2021,0,0,58
2020_2021,0,1,18
2020_2021,0,2,9
2020_2021,1,0,33
2020_2021,1,1,265
2020_2021,1,2,41
2020_2021,2,0,20
2020_2021,2,1,36
2020_2021,2,2,51
2021_2022,0,0,32
2021_2022,0,1,29
2021_2022,0,2,50
2021_2022,1,0,35
2021_2022,1,1,235
2021_2022,1,2,49
2021_2022,2,0,11
2021_2022,2,1,53
2021_2022,2,2,37
2022_2023,0,0,21
2022_2023,0,1,32
2022_2023,0,2,25
2022_2023,1,0,27
2022_2023,1,1,241
2022_2023,1,2,49
2022_2023,2,0,53
2022_2023,2,1,43
2022_2023,2,2,40
2023_2024,0,0,53
2023_2024,0,1,22
2023_2024,0,2,26
2023_2024,1,0,30
2023_2024,1,1,231
2023_2024,1,2,55
2023_2024,2,0,20
2023_2024,2,1,42
2023_2024,2,2,52
