season,orch_id,CMI_z,cmi_cluster,cmi_label
2018_2019,0053000000000000134f,0.35446537999706257,0,Old
2018_2019,00530000000000001466,-1.9735648349036718,1,Young
2018_2019,005300000000000015fb,0.00022127649845200955,0,Old
2018_2019,00530000000000001a3d,0.22114249528444122,0,Old
2018_2019,00530000000000001ec5,-1.9377290116091717,1,Young
2018_2019,00530000000000001ec6,0.04213630662145572,0,Old
2018_2019,00530000000000001ec9,-2.1843116440135497,1,Young
2018_2019,00530000000000001ecd,-2.1706340894105622,1,Young
2018_2019,00530000000000001ed0,-0.44597618429705926,0,Old
2018_2019,00530000000000001ed1,-0.35660257181368543,0,Old
2018_2019,00530000000000001ed2,-2.1031464679204563,1,Young
2018_2019,00530000000000001ed4,-0.011375226704641426,0,Old
2018_2019,00530000000000001ed5,0.2056391714146482,0,Old
2018_2019,00530000000000001ed7,-0.667043637600488,1,Young
2018_2019,00530000000000001ed9,-0.11175208664779963,0,Old
2018_2019,00530000000000001eda,-0.4322596723325923,0,Old
2018_2019,00530000000000001edb,-0.20931345515304423,0,Old
2018_2019,00530000000000001edc,0.11376737629674956,0,Old
2018_2019,00530000000000001edd,-0.11318761313125776,0,Old
2018_2019,00530000000000001ede,0.2346342956776859,0,Old
2018_2019,00530000000000001edf,-0.32467060402063175,0,Old
2018_2019,00530000000000001ee0,-0.1949542066686873,0,Old
2018_2019,00530000000000001ee2,-1.1210583369873472,1,Young
2018_2019,00530000000000001ee3,-0.7707455115022314,1,Young
2018_2019,00530000000000001ee4,-0.5991248381429607,1,Young
2018_2019,00530000000000001ee5,-0.7684132384865322,1,Young
2018_2019,00530000000000001ee6,-0.7150700762647334,1,Young
2018_2019,00530000000000001ee7,-0.7095487789037532,1,Young
2018_2019,00530000000000001ee9,-0.20830245968641775,0,Old
2018_2019,00530000000000001eea,1.9644910005855458,0,Old
2018_2019,005300000000000022e5,-2.052227632147694,1,Young
2018_2019,005300000000000022e6,-2.110723291410941,1,Young
2018_2019,005300000000000022e7,-1.67087290183876,1,Young
2018_2019,005300000000000022e8,-1.0657589597885069,1,Young
2018_2019,005300000000000022e9,-0.6704350021116166,1,Young
2018_2019,005300000000000022ea,-1.5098299726691122,1,Young
2018_2019,005300000000000022eb,-2.063634518978588,1,Young
2018_2019,005300000000000022ec,-1.4963578095423642,1,Young
2018_2019,005300000000000022ee,-0.25170399764515927,0,Old
2018_2019,005300000000000022ef,-0.2805035140941517,0,Old
2018_2019,005300000000000022f0,-0.6997118089862889,1,Young
2018_2019,005300000000000022f1,-0.09832218204333971,0,Old
2018_2019,005300000000000022f2,-1.233745819401424,1,Young
2018_2019,005300000000000022f3,-0.8186412326435203,1,Young
2018_2019,005300000000000022f4,-0.9409353728571637,1,Young
2018_2019,0053000000000000243a,-0.21045479533081404,0,Old
2018_2019,0053000000000000243b,0.39163860407722806,0,Old
2018_2019,0053000000000000243c,-0.14446967718064965,0,Old
2018_2019,00530000000000002441,-0.28922126933279263,0,Old
2018_2019,00530000000000002444,0.10150701990899243,0,Old
2018_2019,0053000000000000244a,-0.5397846845422251,0,Old
2018_2019,0053000000000000244f,-0.7035602652936693,1,Young
2018_2019,00530000000000002450,-0.9962400414899976,1,Young
2018_2019,00530000000000002451,0.8338551476530491,0,Old
2018_2019,00530000000000002452,0.0255433827622631,0,Old
2018_2019,00530000000000002454,0.241438624607616,0,Old
2018_2019,00530000000000002455,0.46952121792571505,0,Old
2018_2019,00530000000000002459,0.2686583981899462,0,Old
