orch_id,season_from,season_to,flip,magnitude,distance
0053000000000000134f,2018_2019,2019_2020,1,Large,2.039128445220401
0053000000000000134f,2019_2020,2020_2021,1,Small,0.6749051999246135
0053000000000000134f,2020_2021,2021_2022,1,Medium,0.8404949103892408
0053000000000000134f,2021_2022,2022_2023,1,Medium,1.1574976114408382
0053000000000000134f,2022_2023,2023_2024,1,Large,1.5568879497651695
00530000000000001466,2018_2019,2019_2020,0,Large,1.696802356154511
00530000000000001466,2019_2020,2020_2021,0,Large,2.0861788003596176
00530000000000001466,2020_2021,2021_2022,0,Small,0.6884526227687296
00530000000000001466,2021_2022,2022_2023,0,Medium,0.7981626713368682
00530000000000001466,2022_2023,2023_2024,0,Small,0.06348021378405266
005300000000000015fb,2018_2019,2019_2020,0,Small,0.25943481223127085
005300000000000015fb,2019_2020,2020_2021,0,Small,0.32212493864946723
005300000000000015fb,2020_2021,2021_2022,0,Small,0.10940521618208722
005300000000000015fb,2021_2022,2022_2023,0,Small,0.21911628487219012
005300000000000015fb,2022_2023,2023_2024,0,Small,0.6534630728508029
00530000000000001a3d,2018_2019,2019_2020,0,Medium,1.1791087342938837
00530000000000001a3d,2019_2020,2020_2021,0,Small,0.7272245467165946
00530000000000001a3d,2020_2021,2021_2022,0,Small,0.5793560638133628
00530000000000001a3d,2021_2022,2022_2023,0,Small,0.5333397891727332
00530000000000001a3d,2022_2023,2023_2024,1,Medium,1.1135986773147775
00530000000000001ec5,2018_2019,2019_2020,1,Large,1.3670673193243612
00530000000000001ec5,2019_2020,2020_2021,0,Medium,1.0924004837290242
00530000000000001ec5,2020_2021,2021_2022,1,Large,1.5901591077016242
00530000000000001ec5,2021_2022,2022_2023,1,Large,1.745627721714171
00530000000000001ec5,2022_2023,2023_2024,0,Medium,0.9319015505601664
00530000000000001ec6,2018_2019,2019_2020,0,Small,0.3676430033729702
00530000000000001ec6,2019_2020,2020_2021,0,Small,0.19702997773944314
00530000000000001ec6,2020_2021,2021_2022,0,Small,0.7213188855450638
00530000000000001ec6,2021_2022,2022_2023,0,Small,0.511339505606917
00530000000000001ec6,2022_2023,2023_2024,1,Medium,0.9386522501715504
