orch_id,n_seasons,majority_cover_label,flip_count,uncertain_rate
0053000000000000134f,6,Baseline,6,0.16666666666666666
00530000000000001466,6,Cover,1,0.16666666666666666
005300000000000015fb,6,NoCover,1,0.0
00530000000000001a3d,6,NoCover,2,0.5
00530000000000001ec5,6,Cover,4,0.3333333333333333
00530000000000001ec6,6,NoCover,2,0.3333333333333333
00530000000000001ec9,6,Baseline,4,0.16666666666666666
00530000000000001ecd,6,Baseline,4,0.0
00530000000000001ed0,6,Baseline,5,0.16666666666666666
00530000000000001ed1,6,NoCover,3,0.3333333333333333
00530000000000001ed2,6,Cover,4,0.3333333333333333
00530000000000001ed4,6,Baseline,4,0.3333333333333333
00530000000000001ed5,6,Baseline,6,0.16666666666666666
00530000000000001ed7,6,Cover,4,0.6666666666666666
00530000000000001ed9,6,Baseline,2,0.3333333333333333
00530000000000001eda,6,Cover,3,0.16666666666666666
00530000000000001edb,6,Baseline,2,0.5
00530000000000001edc,6,Cover,2,0.8333333333333334
00530000000000001edd,6,Cover,5,0.0
00530000000000001ede,6,Cover,5,0.16666666666666666
00530000000000001edf,6,Baseline,6,0.3333333333333333
00530000000000001ee0,6,Baseline,3,0.6666666666666666
00530000000000001ee2,6,NoCover,3,0.5
00530000000000001ee3,6,NoCover,5,0.16666666666666666
00530000000000001ee4,6,Cover,5,0.0
00530000000000001ee5,6,Cover,2,0.6666666666666666
00530000000000001ee6,6,NoCover,5,0.3333333333333333
00530000000000001ee7,6,NoCover,1,0.16666666666666666
00530000000000001ee9,6,NoCover,4,0.16666666666666666
00530000000000001eea,6,NoCover,4,0.16666666666666666
005300000000000022e5,6,Cover,1,0.16666666666666666
005300000000000022e6,6,Cover,2,0.3333333333333333
005300000000000022e7,6,Cover,1,0.3333333333333333
005300000000000022e8,6,NoCover,2,0.16666666666666666
005300000000000022e9,6,Cover,2,0.3333333333333333
005300000000000022ea,6,Cover,3,0.3333333333333333
005300000000000022eb,6,Baseline,4,0.16666666666666666
005300000000000022ec,6,Cover,1,0.0
005300000000000022ee,6,Baseline,5,0.3333333333333333
005300000000000022ef,6,Baseline,5,0.16666666666666666
005300000000000022f0,6,NoCover,5,0.5
005300000000000022f1,6,Cover,2,0.5
005300000000000022f2,6,NoCover,4,0.3333333333333333
005300000000000022f3,6,Baseline,4,0.3333333333333333
005300000000000022f4,6,NoCover,4,0.16666666666666666
0053000000000000243a,6,NoCover,3,0.3333333333333333
0053000000000000243b,6,NoCover,1,0.0
0053000000000000243c,6,Baseline,3,0.0
00530000000000002441,6,NoCover,4,0.3333333333333333
00530000000000002444,6,Baseline,1,0.16666666666666666
0053000000000000244a,6,Baseline,5,0.5
0053000000000000244f,6,NoCover,1,0.0
00530000000000002450,6,NoCover,4,0.16666666666666666
00530000000000002451,6,NoCover,1,0.0
00530000000000002452,6,NoCover,5,0.6666666666666666
00530000000000002454,6,NoCover,4,0.16666666666666666
00530000000000002455,6,Cover,5,0.0
00530000000000002459,6,NoCover,2,0.5
0053000000000000245b,6,Cover,2,0.16666666666666666
0053000000000000245f,6,NoCover,3,0.16666666666666666
00530000000000002460,6,NoCover,1,0.16666666666666666
00530000000000002467,6,NoCover,1,0.0
00530000000000002468,6,Cover,5,0.6666666666666666
00530000000000002469,6,NoCover,1,0.0
0053000000000000246b,6,NoCover,1,0.16666666666666666
0053000000000000246d,6,Baseline,4,0.3333333333333333
0053000000000000246e,6,Baseline,3,0.16666666666666666
0053000000000000246f,6,Cover,3,0.3333333333333333
00530000000000002470,6,Baseline,3,0.16666666666666666
00530000000000002471,6,NoCover,2,0.3333333333333333
00530000000000002472,6,NoCover,3,0.3333333333333333
00530000000000002473,6,Baseline,5,1.0
00530000000000002475,6,NoCover,5,0.3333333333333333
0053000000000000247b,6,Cover,5,0.6666666666666666
0053000000000000247d,6,NoCover,1,0.16666666666666666
0053000000000000247e,6,Baseline,2,0.3333333333333333
0053000000000000247f,6,NoCover,3,0.5
00530000000000002482,6,Baseline,4,0.3333333333333333
00530000000000002485,6,Cover,2,0.5
00530000000000002486,6,NoCover,1,0.0
005300000000000024a9,6,Baseline,4,0.16666666666666666
005300000000000024aa,6,Baseline,5,0.5
005300000000000024ab,6,NoCover,2,0.0
005300000000000024ac,6,NoCover,5,0.6666666666666666
005300000000000024ad,6,NoCover,2,0.0
005300000000000024ae,6,NoCover,2,0.16666666666666666
005300000000000024af,6,NoCover,2,0.16666666666666666
005300000000000024b0,6,NoCover,4,0.6666666666666666
005300000000000024b1,6,NoCover,4,0.3333333333333333
005300000000000024b2,6,NoCover,4,0.3333333333333333
005300000000000024b3,6,NoCover,2,0.16666666666666666
005300000000000024b5,6,Baseline,6,0.6666666666666666
005300000000000024b6,6,NoCover,3,0.16666666666666666
005300000000000024b7,6,Baseline,6,0.5
005300000000000024b8,6,Baseline,3,0.0
005300000000000024bb,6,Baseline,5,0.0
005300000000000024be,6,Baseline,5,0.5
005300000000000024c0,6,NoCover,3,0.16666666666666666
005300000000000024c2,6,Baseline,3,0.16666666666666666
005300000000000024c3,6,Baseline,1,0.16666666666666666
005300000000000024c4,6,Baseline,4,0.3333333333333333
005300000000000024c5,6,NoCover,4,0.6666666666666666
005300000000000024c7,6,NoCover,1,0.0
005300000000000024c8,6,NoCover,5,0.16666666666666666
005300000000000024c9,6,NoCover,1,0.0
005300000000000024cb,6,NoCover,1,0.5
005300000000000024cc,6,NoCover,3,0.16666666666666666
005300000000000024cd,6,NoCover,1,0.0
005300000000000024ce,6,NoCover,1,0.0
005300000000000024cf,6,NoCover,1,0.0
005300000000000024d0,6,NoCover,3,0.16666666666666666
005300000000000024d1,6,NoCover,3,0.3333333333333333
005300000000000024d3,6,NoCover,4,0.3333333333333333
005300000000000024d5,6,NoCover,2,0.5
005300000000000024d6,6,Cover,5,0.6666666666666666
005300000000000024d7,6,Baseline,4,0.3333333333333333
005300000000000024d8,6,NoCover,3,0.5
005300000000000024d9,6,NoCover,2,0.16666666666666666
005300000000000024da,6,NoCover,5,0.3333333333333333
005300000000000024db,6,NoCover,4,0.3333333333333333
005300000000000024dc,6,NoCover,3,0.16666666666666666
005300000000000024dd,6,NoCover,3,0.0
005300000000000024de,6,NoCover,1,0.0
005300000000000024df,6,NoCover,5,0.5
005300000000000024e0,6,Baseline,4,0.6666666666666666
005300000000000024e1,6,NoCover,1,0.0
005300000000000024e2,6,Baseline,2,0.3333333333333333
005300000000000024e3,6,NoCover,3,0.16666666666666666
005300000000000024e4,6,NoCover,3,0.5
005300000000000024e5,6,NoCover,4,0.16666666666666666
005300000000000024e6,6,NoCover,4,0.5
005300000000000024e7,6,NoCover,2,0.16666666666666666
005300000000000024e8,6,NoCover,4,0.5
005300000000000024e9,6,NoCover,4,0.3333333333333333
005300000000000024ea,6,Baseline,6,0.5
005300000000000024eb,6,NoCover,3,0.6666666666666666
005300000000000024ec,6,NoCover,2,0.0
005300000000000024ed,6,NoCover,5,0.5
005300000000000024ee,6,Baseline,2,0.16666666666666666
005300000000000024ef,6,NoCover,1,0.16666666666666666
005300000000000024f0,6,Cover,3,0.5
005300000000000024f1,6,NoCover,1,0.0
005300000000000024f2,6,NoCover,1,0.0
005300000000000024f3,6,NoCover,1,0.16666666666666666
005300000000000024f4,6,NoCover,3,0.3333333333333333
005300000000000024f5,6,NoCover,5,0.3333333333333333
005300000000000024f6,6,NoCover,3,0.16666666666666666
005300000000000024f7,6,Cover,3,0.3333333333333333
005300000000000024f8,6,Baseline,3,1.0
005300000000000024f9,6,NoCover,1,0.0
005300000000000024fa,6,NoCover,1,0.0
005300000000000024fb,6,Cover,4,0.3333333333333333
005300000000000024fc,6,NoCover,3,0.16666666666666666
005300000000000024fd,6,Baseline,4,0.16666666666666666
005300000000000024fe,6,NoCover,1,0.0
005300000000000024ff,6,NoCover,5,0.5
00530000000000002500,6,NoCover,1,0.0
00530000000000002501,6,NoCover,5,0.0
00530000000000002502,6,NoCover,6,0.5
00530000000000002503,6,Cover,6,0.3333333333333333
00530000000000002504,6,NoCover,4,0.16666666666666666
00530000000000002505,6,Baseline,3,0.6666666666666666
00530000000000002506,6,NoCover,1,0.0
00530000000000002507,6,NoCover,1,0.16666666666666666
00530000000000002508,6,NoCover,4,0.5
00530000000000002509,6,NoCover,3,0.5
0053000000000000250a,6,Cover,2,0.3333333333333333
0053000000000000250b,6,NoCover,1,0.3333333333333333
0053000000000000250c,6,Baseline,3,0.3333333333333333
0053000000000000250d,6,Cover,5,0.0
0053000000000000250e,6,Baseline,4,0.5
0053000000000000250f,6,NoCover,3,0.5
00530000000000002510,6,NoCover,5,0.3333333333333333
00530000000000002511,6,NoCover,3,0.16666666666666666
00530000000000002512,6,NoCover,3,0.3333333333333333
00530000000000002513,6,NoCover,1,0.16666666666666666
00530000000000002514,6,Cover,5,0.3333333333333333
00530000000000002515,6,NoCover,1,0.0
00530000000000002516,6,Baseline,6,0.6666666666666666
00530000000000002517,6,Baseline,2,0.6666666666666666
00530000000000002518,6,Baseline,2,0.16666666666666666
00530000000000002519,6,Cover,3,0.8333333333333334
0053000000000000251a,6,NoCover,3,0.3333333333333333
0053000000000000251b,6,NoCover,2,0.0
0053000000000000251c,6,NoCover,3,0.5
0053000000000000251d,6,NoCover,3,0.3333333333333333
0053000000000000251e,6,NoCover,2,0.16666666666666666
0053000000000000251f,6,Cover,4,0.16666666666666666
00530000000000002520,6,Baseline,5,0.6666666666666666
00530000000000002521,6,NoCover,3,0.16666666666666666
00530000000000002522,6,NoCover,3,0.3333333333333333
00530000000000002523,6,Cover,4,0.5
00530000000000002524,6,NoCover,4,0.6666666666666666
00530000000000002525,6,NoCover,1,0.16666666666666666
00530000000000002526,6,NoCover,3,0.3333333333333333
00530000000000002527,6,Baseline,4,0.5
00530000000000002528,6,NoCover,4,0.6666666666666666
00530000000000002529,6,NoCover,4,0.6666666666666666
0053000000000000252a,6,Baseline,3,0.16666666666666666
0053000000000000252b,6,NoCover,1,0.0
0053000000000000252c,6,Baseline,1,0.16666666666666666
0053000000000000252d,6,Baseline,4,0.6666666666666666
0053000000000000252e,6,Baseline,5,0.6666666666666666
0053000000000000252f,6,NoCover,1,0.0
00530000000000002530,6,Cover,5,0.3333333333333333
00530000000000002531,6,NoCover,2,0.3333333333333333
00530000000000002532,6,NoCover,1,0.0
00530000000000002533,6,NoCover,1,0.0
00530000000000002534,6,Baseline,4,0.6666666666666666
00530000000000002535,6,NoCover,2,0.16666666666666666
00530000000000002536,6,NoCover,3,0.5
00530000000000002537,6,NoCover,1,0.0
00530000000000002538,6,NoCover,4,0.5
00530000000000002539,6,NoCover,3,0.3333333333333333
0053000000000000253a,6,NoCover,2,0.0
0053000000000000253b,6,NoCover,4,0.0
0053000000000000253c,6,Baseline,3,0.3333333333333333
0053000000000000253d,6,NoCover,3,0.3333333333333333
0053000000000000253e,6,NoCover,3,0.16666666666666666
0053000000000000253f,6,NoCover,6,0.6666666666666666
00530000000000002540,6,NoCover,1,0.0
00530000000000002541,6,Baseline,3,0.16666666666666666
00530000000000002542,6,NoCover,3,0.6666666666666666
00530000000000002543,6,Baseline,2,0.16666666666666666
00530000000000002544,6,NoCover,3,0.3333333333333333
