orch_id,mask,longest,years_active,ever_cover,never_cover
0053000000000000134f,20,1,2,True,False
00530000000000001466,63,6,6,True,False
00530000000000001ec5,18,1,2,True,False
00530000000000001ec9,12,2,2,True,False
00530000000000001ecd,12,2,2,True,False
00530000000000001ed0,36,1,2,True,False
00530000000000001ed1,20,1,2,True,False
00530000000000001ed2,52,2,3,True,False
00530000000000001ed4,16,1,1,True,False
00530000000000001ed5,20,1,2,True,False
00530000000000001ed7,23,3,4,True,False
00530000000000001eda,47,4,5,True,False
00530000000000001edc,4,1,1,True,False
00530000000000001edd,22,2,3,True,False
00530000000000001ede,6,2,2,True,False
00530000000000001ee0,16,1,1,True,False
00530000000000001ee4,11,2,3,True,False
00530000000000001ee5,7,3,3,True,False
00530000000000001ee9,1,1,1,True,False
00530000000000001eea,24,2,2,True,False
005300000000000022e5,31,5,5,True,False
005300000000000022e6,14,3,3,True,False
005300000000000022e7,43,2,4,True,False
005300000000000022e9,5,1,2,True,False
005300000000000022ea,23,3,4,True,False
005300000000000022eb,12,2,2,True,False
005300000000000022ec,63,6,6,True,False
005300000000000022ee,9,1,2,True,False
005300000000000022ef,36,1,2,True,False
005300000000000022f1,4,1,1,True,False
0053000000000000243c,16,1,1,True,False
00530000000000002441,34,1,2,True,False
0053000000000000244a,12,2,2,True,False
00530000000000002450,32,1,1,True,False
00530000000000002455,52,2,3,True,False
00530000000000002459,16,1,1,True,False
0053000000000000245b,62,5,5,True,False
0053000000000000246e,4,1,1,True,False
0053000000000000246f,14,3,3,True,False
00530000000000002471,32,1,1,True,False
00530000000000002475,16,1,1,True,False
0053000000000000247b,48,2,2,True,False
0053000000000000247f,48,2,2,True,False
00530000000000002482,18,1,2,True,False
00530000000000002485,18,1,2,True,False
005300000000000024a9,52,2,3,True,False
005300000000000024aa,1,1,1,True,False
005300000000000024ac,1,1,1,True,False
005300000000000024b5,1,1,1,True,False
005300000000000024b7,1,1,1,True,False
005300000000000024be,22,2,3,True,False
005300000000000024c2,3,2,2,True,False
005300000000000024c4,3,2,2,True,False
005300000000000024d0,4,1,1,True,False
005300000000000024d1,8,1,1,True,False
005300000000000024d3,34,1,2,True,False
005300000000000024d5,2,1,1,True,False
005300000000000024d6,42,1,3,True,False
005300000000000024d7,9,1,2,True,False
005300000000000024da,9,1,2,True,False
005300000000000024db,8,1,1,True,False
005300000000000024dc,8,1,1,True,False
005300000000000024dd,8,1,1,True,False
005300000000000024e4,20,1,2,True,False
005300000000000024e6,8,1,1,True,False
005300000000000024f0,34,1,2,True,False
005300000000000024f7,2,1,1,True,False
005300000000000024f8,4,1,1,True,False
005300000000000024fb,3,2,2,True,False
00530000000000002503,40,1,2,True,False
00530000000000002504,40,1,2,True,False
00530000000000002508,4,1,1,True,False
00530000000000002509,4,1,1,True,False
0053000000000000250a,14,3,3,True,False
0053000000000000250d,22,2,3,True,False
0053000000000000250e,4,1,1,True,False
00530000000000002514,3,2,2,True,False
00530000000000002519,20,1,2,True,False
0053000000000000251a,8,1,1,True,False
0053000000000000251e,48,2,2,True,False
0053000000000000251f,48,2,2,True,False
00530000000000002521,8,1,1,True,False
00530000000000002522,2,1,1,True,False
00530000000000002523,6,2,2,True,False
00530000000000002526,32,1,1,True,False
00530000000000002527,1,1,1,True,False
0053000000000000252d,48,2,2,True,False
0053000000000000252e,16,1,1,True,False
00530000000000002530,33,1,2,True,False
00530000000000002531,16,1,1,True,False
00530000000000002534,48,2,2,True,False
00530000000000002535,1,1,1,True,False
00530000000000002536,16,1,1,True,False
00530000000000002538,1,1,1,True,False
00530000000000002539,48,2,2,True,False
0053000000000000253b,16,1,1,True,False
0053000000000000253c,33,1,2,True,False
0053000000000000253d,48,2,2,True,False
0053000000000000253f,1,1,1,True,False
00530000000000002542,48,2,2,True,False
00530000000000002543,48,2,2,True,False
00530000000000002544,32,1,1,True,False
00530000000000002548,48,2,2,True,False
00530000000000002549,2,1,1,True,False
0053000000000000254a,8,1,1,True,False
0053000000000000254c,48,2,2,True,False
0053000000000000254d,4,1,1,True,False
0053000000000000254e,36,1,2,True,False
00530000000000002551,12,2,2,True,False
00530000000000002552,12,2,2,True,False
00530000000000002554,12,2,2,True,False
00530000000000002556,16,1,1,True,False
00530000000000002557,48,2,2,True,False
00530000000000002559,32,1,1,True,False
0053000000000000255a,3,2,2,True,False
0053000000000000255b,35,2,3,True,False
00530000000000002561,1,1,1,True,False
00530000000000002562,1,1,1,True,False
0053000000000000257c,52,2,3,True,False
00530000000000002593,9,1,2,True,False
005300000000000025fb,1,1,1,True,False
00530000000000002f22,22,2,3,True,False
00530000000000003799,1,1,1,True,False
0053000000000000379a,32,1,1,True,False
005300000000000037c5,1,1,1,True,False
005300000000000037cd,1,1,1,True,False
005300000000000037cf,1,1,1,True,False
005300000000000037d7,3,2,2,True,False
005300000000000037d8,8,1,1,True,False
005300000000000037da,8,1,1,True,False
005300000000000037db,40,1,2,True,False
005300000000000037dc,8,1,1,True,False
005300000000000037dd,40,1,2,True,False
