orch_id,season_from,season_to,flip,magnitude,distance
005a000000000000b6a7,2018_2019,2019_2020,0,Large,1.4618977447481503
005a000000000000b6a7,2019_2020,2020_2021,0,Large,2.7576999917484413
005a000000000000b6a7,2020_2021,2021_2022,0,Large,2.345121647310059
005a000000000000b6a7,2021_2022,2022_2023,0,Large,1.6397694751516814
005a000000000000b6a7,2022_2023,2023_2024,0,Small,0.13206123535911435
005c00000000000036d2,2018_2019,2019_2020,0,Small,0.639168041150881
005c00000000000036d2,2019_2020,2020_2021,0,Large,1.45155530474136
005c00000000000036d2,2020_2021,2021_2022,0,Large,1.8945037982346726
005c00000000000036d2,2021_2022,2022_2023,1,Large,1.8068632726133433
005c00000000000036d2,2022_2023,2023_2024,1,Medium,0.8581724599769475
005c0000000000003bac,2018_2019,2019_2020,0,Small,0.709568513463958
005c0000000000003bac,2019_2020,2020_2021,0,Small,0.6853834549980629
005c0000000000003bac,2020_2021,2021_2022,0,Small,0.509907879736574
005c0000000000003bac,2021_2022,2022_2023,0,Small,0.38950614703072783
005c0000000000003bac,2022_2023,2023_2024,1,Small,0.4753366447741463
005c0000000000003bad,2018_2019,2019_2020,0,Medium,0.8521572657160353
005c0000000000003bad,2019_2020,2020_2021,0,Small,0.6922108226896154
005c0000000000003bad,2020_2021,2021_2022,0,Small,0.2314391843893446
005c0000000000003bad,2021_2022,2022_2023,0,Small,0.4548733905814474
005c0000000000003bad,2022_2023,2023_2024,1,Small,0.48704566302391
005c0000000000003bae,2018_2019,2019_2020,0,Small,0.3361378368812368
005c0000000000003bae,2019_2020,2020_2021,1,Medium,0.7789443561417624
005c0000000000003bae,2020_2021,2021_2022,0,Small,0.4138695176760357
005c0000000000003bae,2021_2022,2022_2023,0,Medium,0.7865999736664925
005c0000000000003bae,2022_2023,2023_2024,0,Medium,1.066995143256038
005c0000000000003bb0,2018_2019,2019_2020,1,Small,0.5385337500580792
005c0000000000003bb0,2019_2020,2020_2021,1,Small,0.5763164543778869
005c0000000000003bb0,2020_2021,2021_2022,0,Small,0.19251419940548137
005c0000000000003bb0,2021_2022,2022_2023,0,Medium,0.7563187042618149
005c0000000000003bb0,2022_2023,2023_2024,0,Medium,1.132746096718516
005c0000000000003bb8,2018_2019,2019_2020,0,Small,0.3890332619738636
005c0000000000003bb8,2019_2020,2020_2021,0,Small,0.7188228644464785
005c0000000000003bb8,2020_2021,2021_2022,0,Small,0.007826026239209624
005c0000000000003bb8,2021_2022,2022_2023,1,Medium,0.9663375937134382
005c0000000000003bb8,2022_2023,2023_2024,0,Small,0.7240034174582686
005c0000000000003bba,2018_2019,2019_2020,1,Small,0.7274368613179388
005c0000000000003bba,2019_2020,2020_2021,1,Small,0.403507793084689
005c0000000000003bba,2020_2021,2021_2022,0,Small,0.3049877758361522
005c0000000000003bba,2021_2022,2022_2023,0,Medium,0.9989418788191902
005c0000000000003bba,2022_2023,2023_2024,0,Large,1.3393066664090745
005c0000000000003bc8,2018_2019,2019_2020,1,Medium,1.2173086125256345
005c0000000000003bc8,2019_2020,2020_2021,1,Small,0.6350741967735368
005c0000000000003bc8,2020_2021,2021_2022,0,Small,0.15226120884562933
005c0000000000003bc8,2021_2022,2022_2023,0,Medium,0.8904358610300268
005c0000000000003bc8,2022_2023,2023_2024,0,Medium,0.7726867347647614
005c0000000000003bc9,2018_2019,2019_2020,1,Medium,0.9642372938277628
005c0000000000003bc9,2019_2020,2020_2021,0,Small,0.6079427594936109
005c0000000000003bc9,2020_2021,2021_2022,0,Small,0.06578543912860586
005c0000000000003bc9,2021_2022,2022_2023,1,Medium,1.1354832282089282
005c0000000000003bc9,2022_2023,2023_2024,0,Medium,0.8492737642300854
005c0000000000003bcb,2018_2019,2019_2020,0,Small,0.5592242646707217
005c0000000000003bcb,2019_2020,2020_2021,0,Medium,0.8320782762401872
005c0000000000003bcb,2020_2021,2021_2022,0,Small,0.45052194906056453
005c0000000000003bcb,2021_2022,2022_2023,1,Medium,0.8410098618698674
005c0000000000003bcb,2022_2023,2023_2024,0,Small,0.35290737782593806
005c0000000000003beb,2018_2019,2019_2020,0,Large,1.350950845148771
005c0000000000003beb,2019_2020,2020_2021,1,Small,0.6490587101809787
005c0000000000003beb,2020_2021,2021_2022,0,Small,0.3853708473164524
005c0000000000003beb,2021_2022,2022_2023,1,Large,2.242053801619949
005c0000000000003beb,2022_2023,2023_2024,1,Medium,1.2266140868474047
005c0000000000003c20,2018_2019,2019_2020,1,Medium,1.1455893430018107
005c0000000000003c20,2019_2020,2020_2021,1,Small,0.564768433073264
005c0000000000003c20,2020_2021,2021_2022,1,Medium,0.9777634448045356
005c0000000000003c20,2021_2022,2022_2023,1,Large,1.2883972279814346
005c0000000000003c20,2022_2023,2023_2024,0,Small,0.7186516172079979
005c0000000000003c21,2018_2019,2019_2020,0,Small,0.18122442004856473
005c0000000000003c21,2019_2020,2020_2021,0,Small,0.33261123657690694
005c0000000000003c21,2020_2021,2021_2022,0,Medium,0.8098618988847863
005c0000000000003c21,2021_2022,2022_2023,0,Small,0.7300815224949186
005c0000000000003c21,2022_2023,2023_2024,0,Large,1.8815720568737402
005c0000000000003c22,2018_2019,2019_2020,0,Small,0.43419447590277394
005c0000000000003c22,2019_2020,2020_2021,0,Small,0.24970587961179952
005c0000000000003c22,2020_2021,2021_2022,0,Small,0.3750638277974166
005c0000000000003c22,2021_2022,2022_2023,0,Medium,0.7964595442813927
005c0000000000003c22,2022_2023,2023_2024,0,Large,1.494449403663254
005c0000000000003c23,2018_2019,2019_2020,0,Small,0.28197464016836643
005c0000000000003c23,2019_2020,2020_2021,0,Small,0.1588950725570593
005c0000000000003c23,2020_2021,2021_2022,0,Small,0.34252837567412975
005c0000000000003c23,2021_2022,2022_2023,0,Small,0.506666113048089
005c0000000000003c23,2022_2023,2023_2024,1,Small,0.6280233874204111
005c0000000000003c24,2018_2019,2019_2020,0,Small,0.4814644856679084
005c0000000000003c24,2019_2020,2020_2021,0,Small,0.741872011503303
005c0000000000003c24,2020_2021,2021_2022,0,Small,0.7367702979853997
005c0000000000003c24,2021_2022,2022_2023,0,Medium,0.837298383008416
005c0000000000003c24,2022_2023,2023_2024,1,Medium,1.1745390256787303
005c0000000000003c25,2018_2019,2019_2020,0,Large,1.3685474013303875
