orch_id,n_seasons,majority_cover_label,flip_count,uncertain_rate
005a000000000000b6a7,6,NoCover,1,0.3333333333333333
005c00000000000036d2,6,Cover,3,0.3333333333333333
005c0000000000003bac,6,NoCover,2,0.5
005c0000000000003bad,6,NoCover,2,0.5
005c0000000000003bae,6,Cover,2,0.3333333333333333
005c0000000000003bb0,6,Cover,3,0.3333333333333333
005c0000000000003bb8,6,NoCover,2,0.0
005c0000000000003bba,6,Cover,3,0.16666666666666666
005c0000000000003bc8,6,Cover,3,0.3333333333333333
005c0000000000003bc9,6,Cover,3,0.16666666666666666
005c0000000000003bcb,6,NoCover,2,0.0
005c0000000000003beb,6,NoCover,4,0.3333333333333333
005c0000000000003c20,6,Cover,5,0.3333333333333333
005c0000000000003c21,6,NoCover,1,0.0
005c0000000000003c22,6,NoCover,1,0.0
005c0000000000003c23,6,NoCover,2,0.16666666666666666
005c0000000000003c24,6,Cover,2,0.6666666666666666
005c0000000000003c25,6,Cover,3,0.5
005c0000000000003c26,6,Cover,4,0.5
005c0000000000003c27,6,Cover,3,0.3333333333333333
005c0000000000003c28,6,NoCover,2,0.6666666666666666
005c0000000000003c29,6,NoCover,2,0.6666666666666666
005c0000000000003c2a,6,Cover,4,0.6666666666666666
005c0000000000003c2b,6,NoCover,2,0.16666666666666666
005c0000000000003c2c,6,Cover,2,0.16666666666666666
005c0000000000003c2e,6,NoCover,3,0.3333333333333333
005c0000000000003c30,6,NoCover,3,0.16666666666666666
005c0000000000003c35,6,NoCover,5,0.16666666666666666
005c0000000000003c36,6,NoCover,1,0.0
005c0000000000003c37,6,NoCover,3,0.16666666666666666
005c0000000000003c38,6,Cover,3,0.3333333333333333
005c0000000000003c39,6,NoCover,3,0.3333333333333333
005c0000000000003c3a,6,NoCover,3,0.16666666666666666
005c0000000000003c3b,6,NoCover,3,0.5
005c0000000000003c3c,6,NoCover,5,0.6666666666666666
005c0000000000003c3d,6,NoCover,2,0.3333333333333333
005c0000000000003c3e,6,NoCover,3,0.3333333333333333
005c0000000000003c3f,6,NoCover,3,0.6666666666666666
005c0000000000003c40,6,NoCover,3,0.5
005c0000000000003c41,6,NoCover,2,0.5
005c0000000000003c42,6,NoCover,1,0.0
005c0000000000003c44,6,NoCover,1,0.0
005c0000000000003c45,6,NoCover,2,0.5
005c0000000000003c46,6,NoCover,5,0.3333333333333333
005c0000000000003c47,6,NoCover,3,0.0
005c0000000000003c48,6,NoCover,3,0.5
005c0000000000003c49,6,NoCover,3,0.6666666666666666
005c0000000000003c4b,6,NoCover,3,0.16666666666666666
005c0000000000003c4c,6,NoCover,1,0.6666666666666666
005c0000000000003c4d,6,NoCover,3,0.16666666666666666
005c0000000000003c4e,6,NoCover,3,0.5
005c0000000000003c4f,6,NoCover,3,0.6666666666666666
005c0000000000003c50,6,NoCover,2,0.16666666666666666
005c0000000000003c51,6,NoCover,1,0.16666666666666666
005c0000000000003c52,6,Cover,5,0.6666666666666666
005c0000000000003c53,6,NoCover,3,0.5
005c0000000000003c54,6,NoCover,3,0.5
005c0000000000003c55,6,NoCover,3,0.8333333333333334
005c0000000000003c56,6,NoCover,3,0.8333333333333334
005c0000000000003c57,6,NoCover,1,0.16666666666666666
