orch_id,mask,longest,years_active,ever_cover,never_cover
005c00000000000036d2,15,4,4,True,False
005c0000000000003bae,52,2,3,True,False
005c0000000000003bb0,61,4,5,True,False
005c0000000000003bb8,48,2,2,True,False
005c0000000000003bba,61,4,5,True,False
005c0000000000003bc8,49,2,3,True,False
005c0000000000003bc9,48,2,2,True,False
005c0000000000003bcb,48,2,2,True,False
005c0000000000003beb,36,1,2,True,False
005c0000000000003c20,53,2,4,True,False
005c0000000000003c24,5,1,2,True,False
005c0000000000003c25,59,3,5,True,False
005c0000000000003c26,17,1,2,True,False
005c0000000000003c27,49,2,3,True,False
005c0000000000003c28,48,2,2,True,False
005c0000000000003c29,48,2,2,True,False
005c0000000000003c2a,21,1,3,True,False
005c0000000000003c2b,16,1,1,True,False
005c0000000000003c2c,62,5,5,True,False
005c0000000000003c2e,16,1,1,True,False
005c0000000000003c30,16,1,1,True,False
005c0000000000003c35,18,1,2,True,False
005c0000000000003c37,12,2,2,True,False
005c0000000000003c38,12,2,2,True,False
005c0000000000003c39,4,1,1,True,False
005c0000000000003c3a,24,2,2,True,False
005c0000000000003c3b,4,1,1,True,False
005c0000000000003c3e,6,2,2,True,False
005c0000000000003c3f,16,1,1,True,False
005c0000000000003c40,4,1,1,True,False
005c0000000000003c41,16,1,1,True,False
005c0000000000003c45,16,1,1,True,False
005c0000000000003c47,8,1,1,True,False
005c0000000000003c4b,4,1,1,True,False
005c0000000000003c4d,8,1,1,True,False
005c0000000000003c4e,2,1,1,True,False
005c0000000000003c4f,8,1,1,True,False
005c0000000000003c52,5,1,2,True,False
005c0000000000003c53,8,1,1,True,False
005c0000000000003c54,8,1,1,True,False
005c0000000000003c55,8,1,1,True,False
005c0000000000003c56,8,1,1,True,False
005c0000000000003c58,4,1,1,True,False
005c0000000000003c59,8,1,1,True,False
005c0000000000003c5a,8,1,1,True,False
005c0000000000003c5e,61,4,5,True,False
005c0000000000003c5f,36,1,2,True,False
005c0000000000003c60,40,1,2,True,False
005c0000000000003c61,40,1,2,True,False
005c0000000000003c62,40,1,2,True,False
005c0000000000003c63,36,1,2,True,False
005c0000000000003c64,40,1,2,True,False
005c0000000000003c67,20,1,2,True,False
005c0000000000003c68,14,3,3,True,False
005c0000000000003c6a,2,1,1,True,False
005c0000000000003c6c,15,4,4,True,False
005c0000000000003c6f,10,1,2,True,False
005c0000000000003c70,2,1,1,True,False
005c0000000000003c72,26,2,3,True,False
005c0000000000003c77,4,1,1,True,False
005c0000000000003c78,4,1,1,True,False
005c0000000000003c79,48,2,2,True,False
005c0000000000003c7b,12,2,2,True,False
005c0000000000003c7c,6,2,2,True,False
005c0000000000003c7d,2,1,1,True,False
005c0000000000003c7e,2,1,1,True,False
005c0000000000003c7f,11,2,3,True,False
005c0000000000003c80,3,2,2,True,False
005c0000000000003c81,11,2,3,True,False
005c0000000000003c82,43,2,4,True,False
005c0000000000003c83,40,1,2,True,False
005c0000000000003c84,40,1,2,True,False
005c0000000000003c85,6,2,2,True,False
005c0000000000003c86,32,1,1,True,False
005c0000000000003c87,56,3,3,True,False
005c0000000000003c88,16,1,1,True,False
005c0000000000003c89,56,3,3,True,False
005c0000000000003c8d,32,1,1,True,False
005c0000000000003c8e,16,1,1,True,False
005c0000000000003c8f,56,3,3,True,False
005c0000000000003c90,32,1,1,True,False
005c0000000000003c91,56,3,3,True,False
005c0000000000003c97,16,1,1,True,False
005c0000000000003c98,32,1,1,True,False
005c0000000000003c99,13,2,3,True,False
005c0000000000003c9a,6,2,2,True,False
005c0000000000003c9b,32,1,1,True,False
005c0000000000003c9c,32,1,1,True,False
005c0000000000003c9d,20,1,2,True,False
005c0000000000003ca0,1,1,1,True,False
005c0000000000003ca1,16,1,1,True,False
005c0000000000003ca2,49,2,3,True,False
005c0000000000003ca3,48,2,2,True,False
005c0000000000003ca5,34,1,2,True,False
005c0000000000003ca8,1,1,1,True,False
005c0000000000003cae,55,3,5,True,False
005c0000000000003cb0,32,1,1,True,False
005c0000000000003cb4,48,2,2,True,False
005c0000000000003cb5,49,2,3,True,False
005c0000000000003cb6,1,1,1,True,False
005c0000000000003cb7,1,1,1,True,False
005c0000000000003cbb,1,1,1,True,False
005c0000000000003cbd,49,2,3,True,False
005c0000000000003cbe,49,2,3,True,False
005c0000000000003cc2,49,2,3,True,False
005c0000000000003cc5,33,1,2,True,False
005c0000000000003cc6,48,2,2,True,False
005c0000000000003cc7,32,1,1,True,False
005c0000000000003cc8,32,1,1,True,False
005c0000000000003cca,49,2,3,True,False
005c0000000000003ccd,32,1,1,True,False
005c0000000000003cd2,49,2,3,True,False
005c0000000000003cd3,51,2,4,True,False
005c0000000000003cd8,16,1,1,True,False
005c0000000000003cd9,56,3,3,True,False
005c0000000000003cdb,44,2,3,True,False
005c0000000000003cdc,60,4,4,True,False
005c0000000000003cdd,60,4,4,True,False
005c0000000000003cde,48,2,2,True,False
005c0000000000003ce2,48,2,2,True,False
005c0000000000003ce7,1,1,1,True,False
005c0000000000003ce8,47,4,5,True,False
005c0000000000003cea,56,3,3,True,False
005c0000000000003ceb,56,3,3,True,False
005c0000000000003cec,40,1,2,True,False
005c0000000000003ced,56,3,3,True,False
005c0000000000003cee,31,5,5,True,False
005c0000000000003cf0,16,1,1,True,False
005c0000000000003cf5,20,1,2,True,False
005c0000000000003cf6,1,1,1,True,False
005c0000000000003cf8,5,1,2,True,False
005c0000000000003cf9,57,3,4,True,False
005c0000000000003d01,2,1,1,True,False
005c0000000000003d08,8,1,1,True,False
005c0000000000003d0a,9,1,2,True,False
005c0000000000003d0e,32,1,1,True,False
005c0000000000003d11,15,4,4,True,False
005c0000000000003d12,14,3,3,True,False
005c0000000000003d15,48,2,2,True,False
005c0000000000003d17,40,1,2,True,False
005c0000000000003d19,16,1,1,True,False
005c0000000000003d1a,12,2,2,True,False
005c0000000000003d1b,46,3,4,True,False
005c0000000000003d1c,44,2,3,True,False
005c0000000000003d1d,52,2,3,True,False
005c0000000000003d1e,54,2,4,True,False
005c0000000000003d24,46,3,4,True,False
005c0000000000003d25,48,2,2,True,False
005c0000000000003d26,12,2,2,True,False
005c0000000000003d27,16,1,1,True,False
005c0000000000003d28,6,2,2,True,False
005c0000000000003d2c,30,4,4,True,False
005c0000000000003d2d,8,1,1,True,False
005c0000000000003d2e,4,1,1,True,False
005c0000000000003d2f,14,3,3,True,False
005c0000000000003d31,8,1,1,True,False
005c0000000000003d32,48,2,2,True,False
005c0000000000003d33,6,2,2,True,False
005c0000000000003d34,14,3,3,True,False
005c0000000000003d35,48,2,2,True,False
005c0000000000003d39,6,2,2,True,False
005c0000000000003d3b,4,1,1,True,False
005c0000000000003d3c,6,2,2,True,False
005c0000000000003d3f,6,2,2,True,False
005c0000000000003d40,4,1,1,True,False
005c0000000000003d41,14,3,3,True,False
005c0000000000003d43,12,2,2,True,False
005c0000000000003d45,6,2,2,True,False
005c0000000000003d46,4,1,1,True,False
005c0000000000003d47,6,2,2,True,False
005c0000000000003d4d,48,2,2,True,False
005c0000000000003d50,52,2,3,True,False
005c0000000000003d52,23,3,4,True,False
005c0000000000003d53,6,2,2,True,False
005c0000000000003d54,6,2,2,True,False
005c0000000000003d55,18,1,2,True,False
005c0000000000003d59,60,4,4,True,False
005c0000000000003d5b,20,1,2,True,False
005c0000000000003d5d,31,5,5,True,False
005c0000000000003d5e,31,5,5,True,False
005c0000000000003d61,56,3,3,True,False
005c0000000000003d63,48,2,2,True,False
005c0000000000003d69,15,4,4,True,False
005c0000000000003d6a,1,1,1,True,False
005c0000000000003d6b,32,1,1,True,False
005c0000000000003d6c,48,2,2,True,False
005c0000000000003d6d,1,1,1,True,False
005c0000000000003d6e,16,1,1,True,False
005c0000000000003d6f,1,1,1,True,False
005c0000000000003d70,1,1,1,True,False
005c0000000000003d71,16,1,1,True,False
005c0000000000003d72,1,1,1,True,False
005c0000000000003d75,4,1,1,True,False
005c0000000000003d7a,8,1,1,True,False
005c0000000000003d7c,59,3,5,True,False
005c0000000000003d7d,2,1,1,True,False
005c0000000000003d82,63,6,6,True,False
005c0000000000003d83,63,6,6,True,False
005c0000000000003d85,1,1,1,True,False
005c0000000000003d87,63,6,6,True,False
005c0000000000003d88,4,1,1,True,False
005c0000000000003d8a,35,2,3,True,False
005c0000000000003d8e,10,1,2,True,False
005c0000000000003d8f,2,1,1,True,False
005c0000000000003d90,2,1,1,True,False
005c0000000000003d92,2,1,1,True,False
005c0000000000003d97,10,1,2,True,False
005c0000000000003d99,59,3,5,True,False
005c0000000000003d9a,48,2,2,True,False
005c0000000000003d9b,27,2,4,True,False
005c0000000000003d9d,62,5,5,True,False
005c0000000000003da0,1,1,1,True,False
