orch_id,n_seasons,majority_cover_label,flip_count,uncertain_rate
005600000000000030e9,6,NoCover,1,0.16666666666666666
005600000000000030ea,6,NoCover,1,0.16666666666666666
005600000000000030eb,6,NoCover,1,0.16666666666666666
005600000000000030ec,6,NoCover,1,0.0
005600000000000030ed,6,NoCover,1,0.16666666666666666
005600000000000030ee,6,NoCover,1,0.0
005600000000000030ef,6,NoCover,1,0.0
005600000000000030f0,6,NoCover,1,0.0
005600000000000030f1,6,NoCover,1,0.16666666666666666
005600000000000030f2,6,NoCover,1,0.0
005600000000000030f3,6,NoCover,1,0.0
005600000000000030f4,6,NoCover,1,0.16666666666666666
005600000000000030f6,6,NoCover,1,0.0
005600000000000030f7,6,NoCover,1,0.0
005600000000000030f9,6,NoCover,1,0.0
005600000000000030fa,6,NoCover,1,0.16666666666666666
005600000000000030fe,6,NoCover,1,0.0
005600000000000030ff,6,NoCover,1,0.0
00560000000000003100,6,NoCover,1,0.0
00560000000000003101,6,NoCover,1,0.0
00560000000000003102,6,NoCover,1,0.16666666666666666
00560000000000003103,6,NoCover,1,0.0
00560000000000003104,6,NoCover,1,0.0
00560000000000003105,6,NoCover,1,0.0
00560000000000003106,6,NoCover,1,0.0
00560000000000003108,6,NoCover,1,0.0
0056000000000000310a,6,NoCover,1,0.0
0056000000000000310b,6,NoCover,1,0.0
0056000000000000310c,6,NoCover,1,0.0
0056000000000000310d,6,NoCover,1,0.0
0056000000000000310e,6,NoCover,1,0.0
00560000000000003110,6,NoCover,3,0.5
00560000000000003113,6,NoCover,1,0.0
00560000000000003118,6,NoCover,1,0.0
00560000000000003119,6,NoCover,1,0.0
0056000000000000311b,6,NoCover,1,0.0
0056000000000000311c,6,NoCover,1,0.0
0056000000000000311d,6,NoCover,1,0.0
0056000000000000311e,6,NoCover,1,0.0
0056000000000000311f,6,NoCover,1,0.0
00560000000000003120,6,NoCover,1,0.0
00560000000000003121,6,NoCover,1,0.0
00560000000000003122,6,NoCover,1,0.0
00560000000000003123,6,NoCover,1,0.0
00560000000000003124,6,NoCover,1,0.0
00560000000000003125,6,NoCover,1,0.0
00560000000000003126,6,NoCover,1,0.16666666666666666
00560000000000003127,6,NoCover,1,0.0
00560000000000003128,6,NoCover,1,0.0
00560000000000003129,6,NoCover,1,0.0
