orch_id,mask,longest,years_active,ever_cover,never_cover
0056000000000000313c,1,1,1,True,False
00560000000000003150,16,1,1,True,False
00560000000000003151,56,3,3,True,False
00560000000000003154,48,2,2,True,False
00560000000000003155,56,3,3,True,False
00560000000000003156,8,1,1,True,False
0056000000000000315b,32,1,1,True,False
0056000000000000315d,8,1,1,True,False
0056000000000000315f,4,1,1,True,False
00560000000000003165,16,1,1,True,False
0056000000000000316a,9,1,2,True,False
0056000000000000317b,56,3,3,True,False
0056000000000000317c,2,1,1,True,False
00560000000000003189,8,1,1,True,False
0056000000000000318b,8,1,1,True,False
0056000000000000318e,8,1,1,True,False
00560000000000003191,8,1,1,True,False
00560000000000003194,8,1,1,True,False
00560000000000003198,8,1,1,True,False
0056000000000000319e,27,2,4,True,False
0056000000000000319f,4,1,1,True,False
005600000000000031a2,17,1,2,True,False
005600000000000031a6,32,1,1,True,False
005600000000000031ab,2,1,1,True,False
005600000000000031b9,8,1,1,True,False
005600000000000031c5,9,1,2,True,False
005600000000000031c8,1,1,1,True,False
005600000000000031cb,1,1,1,True,False
005600000000000031ce,1,1,1,True,False
005600000000000031d0,33,1,2,True,False
005600000000000032b7,56,3,3,True,False
0056000000000000369b,24,2,2,True,False
0056000000000000369c,56,3,3,True,False
0056000000000000369d,48,2,2,True,False
00570000000000000733,2,1,1,True,False
0057000000000000075a,20,1,2,True,False
00570000000000000768,1,1,1,True,False
00570000000000000769,1,1,1,True,False
0057000000000000076a,1,1,1,True,False
0057000000000000076f,1,1,1,True,False
00570000000000000770,1,1,1,True,False
00570000000000000771,1,1,1,True,False
00570000000000000775,1,1,1,True,False
00570000000000000776,1,1,1,True,False
0057000000000000077f,1,1,1,True,False
00570000000000000780,32,1,1,True,False
00570000000000000783,1,1,1,True,False
0057000000000000078a,23,3,4,True,False
00570000000000000792,1,1,1,True,False
00570000000000000797,26,2,3,True,False
00570000000000000798,30,4,4,True,False
0057000000000000079a,32,1,1,True,False
0057000000000000079c,30,4,4,True,False
005700000000000007a2,62,5,5,True,False
005700000000000007a9,54,2,4,True,False
005700000000000007aa,30,4,4,True,False
005700000000000007ab,26,2,3,True,False
005700000000000007ac,16,1,1,True,False
005700000000000007ae,8,1,1,True,False
005700000000000007af,16,1,1,True,False
005700000000000007b1,30,4,4,True,False
005700000000000007b2,62,5,5,True,False
005700000000000007b6,54,2,4,True,False
005700000000000007b7,52,2,3,True,False
005700000000000007b8,28,3,3,True,False
005700000000000007b9,16,1,1,True,False
005700000000000007ba,30,4,4,True,False
005700000000000007bb,16,1,1,True,False
00570000000000000807,16,1,1,True,False
0057000000000000080d,1,1,1,True,False
0057000000000000080f,1,1,1,True,False
00570000000000000814,1,1,1,True,False
0057000000000000081a,32,1,1,True,False
00570000000000000853,40,1,2,True,False
00570000000000000855,2,1,1,True,False
00570000000000000858,32,1,1,True,False
0057000000000000085c,52,2,3,True,False
0057000000000000085d,32,1,1,True,False
0057000000000000085e,32,1,1,True,False
0057000000000000087c,32,1,1,True,False
0057000000000000088e,4,1,1,True,False
00570000000000000897,40,1,2,True,False
00570000000000000898,1,1,1,True,False
005700000000000008b1,4,1,1,True,False
005700000000000008be,4,1,1,True,False
005700000000000008ca,4,1,1,True,False
005700000000000008cd,4,1,1,True,False
005700000000000008dc,12,2,2,True,False
005700000000000008f4,1,1,1,True,False
005700000000000008f6,1,1,1,True,False
005700000000000008f7,1,1,1,True,False
005700000000000008f9,1,1,1,True,False
005700000000000008fa,1,1,1,True,False
005700000000000008fb,1,1,1,True,False
005700000000000008fd,1,1,1,True,False
005700000000000008fe,1,1,1,True,False
005700000000000008ff,1,1,1,True,False
00570000000000000abd,4,1,1,True,False
00570000000000000abe,6,2,2,True,False
00570000000000000abf,32,1,1,True,False
00570000000000000ac2,5,1,2,True,False
00570000000000000ac3,5,1,2,True,False
00570000000000000ac4,6,2,2,True,False
00570000000000000ac5,1,1,1,True,False
00570000000000000ac7,28,3,3,True,False
00570000000000000ac8,4,1,1,True,False
00570000000000000ac9,28,3,3,True,False
00570000000000000aca,28,3,3,True,False
00570000000000000acb,3,2,2,True,False
00570000000000000acd,6,2,2,True,False
00570000000000000ace,20,1,2,True,False
00570000000000000acf,12,2,2,True,False
00570000000000000ad0,12,2,2,True,False
00570000000000000ad1,20,1,2,True,False
00570000000000000ad3,4,1,1,True,False
00570000000000000ad4,24,2,2,True,False
00570000000000000ad5,59,3,5,True,False
00570000000000000ad7,2,1,1,True,False
00570000000000000ad8,16,1,1,True,False
00570000000000000ada,16,1,1,True,False
00570000000000000adb,32,1,1,True,False
00570000000000000adc,6,2,2,True,False
00570000000000000add,4,1,1,True,False
00570000000000000ade,56,3,3,True,False
00570000000000000ae3,38,2,3,True,False
00570000000000000ae4,16,1,1,True,False
00570000000000000ae5,53,2,4,True,False
00570000000000000aea,12,2,2,True,False
00570000000000000aeb,28,3,3,True,False
00570000000000000aec,8,1,1,True,False
00570000000000000aed,2,1,1,True,False
00570000000000000aee,26,2,3,True,False
00570000000000000aef,16,1,1,True,False
00570000000000000af0,28,3,3,True,False
00570000000000000af1,8,1,1,True,False
00570000000000000af2,63,6,6,True,False
00570000000000000af3,28,3,3,True,False
00570000000000000af4,16,1,1,True,False
00570000000000000af8,30,4,4,True,False
00570000000000000afb,24,2,2,True,False
00570000000000000afd,24,2,2,True,False
00570000000000000aff,4,1,1,True,False
00570000000000000b00,12,2,2,True,False
00570000000000000b01,12,2,2,True,False
00570000000000000b03,16,1,1,True,False
00570000000000000b04,26,2,3,True,False
00570000000000000b05,4,1,1,True,False
00570000000000000b06,20,1,2,True,False
00570000000000000b07,20,1,2,True,False
00570000000000000b0a,26,2,3,True,False
00570000000000000b0b,30,4,4,True,False
00570000000000000b0f,18,1,2,True,False
00570000000000000b16,29,3,4,True,False
00570000000000000b19,1,1,1,True,False
00570000000000000b1c,4,1,1,True,False
00570000000000000b1d,29,3,4,True,False
00570000000000000b1e,30,4,4,True,False
00570000000000000b23,24,2,2,True,False
00570000000000000b24,55,3,5,True,False
00570000000000000b25,39,3,4,True,False
00570000000000000b26,6,2,2,True,False
00570000000000000b28,54,2,4,True,False
00570000000000000b29,28,3,3,True,False
00570000000000000b2a,28,3,3,True,False
00570000000000000b2b,28,3,3,True,False
00570000000000000b2c,29,3,4,True,False
00570000000000000b2d,32,1,1,True,False
00570000000000000b2f,63,6,6,True,False
00570000000000000b30,3,2,2,True,False
00570000000000000b31,28,3,3,True,False
00570000000000000b32,8,1,1,True,False
00570000000000000b33,8,1,1,True,False
00570000000000000b34,28,3,3,True,False
00570000000000000b35,30,4,4,True,False
00570000000000000b36,9,1,2,True,False
00570000000000000b37,19,2,3,True,False
00570000000000000b3a,24,2,2,True,False
00570000000000000b3b,2,1,1,True,False
00570000000000000b3d,16,1,1,True,False
00570000000000000b44,31,5,5,True,False
00570000000000000b45,31,5,5,True,False
00570000000000000b49,8,1,1,True,False
00570000000000000b4a,8,1,1,True,False
00570000000000000b4d,4,1,1,True,False
00570000000000000b4e,18,1,2,True,False
00570000000000000b4f,10,1,2,True,False
00570000000000000b51,31,5,5,True,False
00570000000000000b54,23,3,4,True,False
00570000000000000b55,19,2,3,True,False
00570000000000000b56,1,1,1,True,False
00570000000000000b57,1,1,1,True,False
00570000000000000b58,16,1,1,True,False
00570000000000000b59,22,2,3,True,False
00570000000000000b5a,10,1,2,True,False
00570000000000000b5d,1,1,1,True,False
00570000000000000b5f,16,1,1,True,False
00570000000000000b60,10,1,2,True,False
00570000000000000b61,4,1,1,True,False
00570000000000000b62,29,3,4,True,False
00570000000000000b66,4,1,1,True,False
00570000000000000b67,4,1,1,True,False
00570000000000000b68,2,1,1,True,False
00570000000000000b69,4,1,1,True,False
00570000000000000b6a,2,1,1,True,False
00570000000000000b6c,8,1,1,True,False
00570000000000000b6d,18,1,2,True,False
00570000000000000b6f,20,1,2,True,False
00570000000000000b70,6,2,2,True,False
00570000000000000b71,10,1,2,True,False
00570000000000000b72,32,1,1,True,False
00570000000000000b75,31,5,5,True,False
00570000000000000b76,16,1,1,True,False
00570000000000000b77,13,2,3,True,False
00570000000000000b78,32,1,1,True,False
00570000000000000b7f,15,4,4,True,False
00570000000000000b81,5,1,2,True,False
00570000000000000b83,36,1,2,True,False
00570000000000000b85,14,3,3,True,False
00570000000000000b87,6,2,2,True,False
00570000000000000b88,4,1,1,True,False
00570000000000000b89,2,1,1,True,False
00570000000000000b8b,9,1,2,True,False
00570000000000000b8e,11,2,3,True,False
00570000000000000b8f,10,1,2,True,False
00570000000000000b93,11,2,3,True,False
00570000000000000b96,7,3,3,True,False
00570000000000000b97,30,4,4,True,False
00570000000000000b98,4,1,1,True,False
00570000000000000b99,1,1,1,True,False
00570000000000000b9a,7,3,3,True,False
00570000000000000b9b,15,4,4,True,False
00570000000000000b9c,7,3,3,True,False
00570000000000000b9e,3,2,2,True,False
00570000000000000b9f,31,5,5,True,False
00570000000000000ba0,16,1,1,True,False
00570000000000000ba1,3,2,2,True,False
00570000000000000ba2,31,5,5,True,False
00570000000000000ba5,16,1,1,True,False
00570000000000000ba9,23,3,4,True,False
00570000000000000bac,31,5,5,True,False
00570000000000000bb4,2,1,1,True,False
00570000000000000bb5,2,1,1,True,False
00570000000000000bb6,3,2,2,True,False
00570000000000000bb7,19,2,3,True,False
00570000000000000bb8,27,2,4,True,False
00570000000000000bb9,19,2,3,True,False
00570000000000000bba,19,2,3,True,False
00570000000000000bbd,12,2,2,True,False
00570000000000000bbe,12,2,2,True,False
00570000000000000bc0,62,5,5,True,False
00570000000000000bc1,62,5,5,True,False
00570000000000000bc2,12,2,2,True,False
00570000000000000bc3,24,2,2,True,False
00570000000000000bc4,5,1,2,True,False
00570000000000000bc5,8,1,1,True,False
00570000000000000bc6,12,2,2,True,False
00570000000000000bc7,12,2,2,True,False
00570000000000000bc8,3,2,2,True,False
00570000000000000bca,3,2,2,True,False
00570000000000000bcb,19,2,3,True,False
00570000000000000bce,20,1,2,True,False
00570000000000000bcf,16,1,1,True,False
00570000000000000bd2,16,1,1,True,False
00570000000000000bd5,2,1,1,True,False
00570000000000000bd8,2,1,1,True,False
00570000000000000bda,1,1,1,True,False
00570000000000000bdb,19,2,3,True,False
00570000000000000bdd,2,1,1,True,False
00570000000000000be9,2,1,1,True,False
00570000000000000bea,32,1,1,True,False
00570000000000000beb,1,1,1,True,False
00570000000000000bec,18,1,2,True,False
00570000000000000bf5,8,1,1,True,False
00570000000000000bf7,18,1,2,True,False
00570000000000000bfc,18,1,2,True,False
00570000000000000bfd,16,1,1,True,False
00570000000000000bfe,18,1,2,True,False
00570000000000000bff,46,3,4,True,False
00570000000000000c00,16,1,1,True,False
00570000000000000c05,18,1,2,True,False
00570000000000000c09,24,2,2,True,False
00570000000000000c0b,2,1,1,True,False
00570000000000000c0c,3,2,2,True,False
00570000000000000c0d,3,2,2,True,False
00570000000000000c0e,30,4,4,True,False
00570000000000000c0f,2,1,1,True,False
00570000000000000c13,17,1,2,True,False
00570000000000000c15,2,1,1,True,False
00570000000000000c16,2,1,1,True,False
00570000000000000c17,18,1,2,True,False
00570000000000000c18,16,1,1,True,False
00570000000000000c19,2,1,1,True,False
00570000000000000c1a,2,1,1,True,False
