orch_id,mask,longest,years_active,ever_cover,never_cover
00550000000000002d55,8,1,1,True,False
00550000000000002d56,8,1,1,True,False
00550000000000002d57,8,1,1,True,False
00550000000000002d5a,8,1,1,True,False
00550000000000002d5d,8,1,1,True,False
00550000000000002d5e,8,1,1,True,False
00550000000000002d63,8,1,1,True,False
00550000000000002d67,12,2,2,True,False
00550000000000002d69,33,1,2,True,False
00550000000000002d6a,56,3,3,True,False
00550000000000002d6b,4,1,1,True,False
00550000000000002d6c,4,1,1,True,False
00550000000000002d6e,40,1,2,True,False
00550000000000002d6f,41,1,3,True,False
00550000000000002d71,18,1,2,True,False
00550000000000002d74,6,2,2,True,False
00550000000000002d75,4,1,1,True,False
00550000000000002d77,4,1,1,True,False
00550000000000002d79,2,1,1,True,False
00550000000000002d7a,6,2,2,True,False
00550000000000002d7c,4,1,1,True,False
00550000000000002d80,11,2,3,True,False
00550000000000002d82,1,1,1,True,False
00550000000000002d83,32,1,1,True,False
00550000000000002d84,17,1,2,True,False
00550000000000002d85,1,1,1,True,False
00550000000000002d86,17,1,2,True,False
00550000000000002d87,37,1,3,True,False
00550000000000002d88,36,1,2,True,False
00550000000000002d93,20,1,2,True,False
00550000000000002d94,6,2,2,True,False
0055000000000000307e,17,1,2,True,False
00550000000000003080,2,1,1,True,False
00550000000000003082,29,3,4,True,False
00550000000000003083,54,2,4,True,False
00550000000000003501,16,1,1,True,False
00550000000000003504,32,1,1,True,False
00550000000000003508,50,2,3,True,False
00550000000000003509,50,2,3,True,False
00550000000000003bcb,55,3,5,True,False
00550000000000003bcd,15,4,4,True,False
00550000000000003bcf,35,2,3,True,False
00550000000000003bdf,49,2,3,True,False
00550000000000003be1,59,3,5,True,False
00550000000000003be2,2,1,1,True,False
00550000000000003be4,13,2,3,True,False
00550000000000003be7,16,1,1,True,False
0055000000000000400d,32,1,1,True,False
0055000000000000400f,32,1,1,True,False
00550000000000004014,30,4,4,True,False
00550000000000004016,61,4,5,True,False
00550000000000004017,57,3,4,True,False
00550000000000004db0,2,1,1,True,False
00550000000000004db2,3,2,2,True,False
00550000000000004db4,38,2,3,True,False
00550000000000004dba,16,1,1,True,False
00550000000000004dbb,24,2,2,True,False
00550000000000004dbc,24,2,2,True,False
00550000000000004dbe,16,1,1,True,False
