season,from_cluster,to_cluster,n
2018_2019,1,2,1
2018_2019,2,0,2
2019_2020,0,0,279
2019_2020,0,1,185
2019_2020,0,2,212
2019_2020,1,0,169
2019_2020,1,1,1450
2019_2020,1,2,245
2019_2020,2,0,205
2019_2020,2,1,342
2019_2020,2,2,524
2020_2021,0,0,313
2020_2021,0,1,241
2020_2021,0,2,99
2020_2021,1,0,200
2020_2021,1,1,1445
2020_2021,1,2,332
2020_2021,2,0,227
2020_2021,2,1,341
2020_2021,2,2,413
2021_2022,0,0,260
2021_2022,0,1,180
2021_2022,0,2,300
2021_2022,1,0,223
2021_2022,1,1,1457
2021_2022,1,2,347
2021_2022,2,0,143
2021_2022,2,1,313
2021_2022,2,2,388
2022_2023,0,0,291
2022_2023,0,1,181
2022_2023,0,2,154
2022_2023,1,0,189
2022_2023,1,1,1467
2022_2023,1,2,294
2022_2023,2,0,300
2022_2023,2,1,288
2022_2023,2,2,447
2023_2024,0,0,341
2023_2024,0,1,155
2023_2024,0,2,284
2023_2024,1,0,268
2023_2024,1,1,1420
2023_2024,1,2,248
2023_2024,2,0,121
2023_2024,2,1,357
2023_2024,2,2,417
