orch_id,season_from,season_to,flip,magnitude,distance
00550000000000000190,2018_2019,2019_2020,0,Large,1.3477768805490615
00550000000000000190,2019_2020,2020_2021,0,Medium,0.8945661916232801
00550000000000000190,2020_2021,2021_2022,0,Large,2.152760304810474
00550000000000000190,2021_2022,2022_2023,0,Large,2.1690398178136228
00550000000000000190,2022_2023,2023_2024,0,Small,0.46707146970285646
00550000000000000194,2018_2019,2019_2020,1,Large,1.9752690683900522
00550000000000000194,2019_2020,2020_2021,0,Large,1.7330164200229177
00550000000000000194,2020_2021,2021_2022,1,Large,2.801060686919328
00550000000000000194,2021_2022,2022_2023,1,Large,2.6790625377778636
00550000000000000194,2022_2023,2023_2024,1,Large,1.2556805586725717
00550000000000000195,2018_2019,2019_2020,1,Large,2.3950548847952557
00550000000000000195,2019_2020,2020_2021,0,Medium,1.0515306164176246
00550000000000000195,2020_2021,2021_2022,1,Large,1.8341816925349979
00550000000000000195,2021_2022,2022_2023,1,Large,1.5364117377007775
00550000000000000195,2022_2023,2023_2024,1,Large,1.4723123861496412
0055000000000000019e,2018_2019,2019_2020,1,Large,1.5802121913880565
0055000000000000019e,2019_2020,2020_2021,0,Medium,0.8087983108825381
0055000000000000019e,2020_2021,2021_2022,1,Medium,0.7582360114706331
0055000000000000019e,2021_2022,2022_2023,1,Large,1.2805616781816542
0055000000000000019e,2022_2023,2023_2024,1,Large,1.4874247405780483
00550000000000000832,2018_2019,2019_2020,1,Small,0.6434111550421714
00550000000000000832,2019_2020,2020_2021,1,Small,0.41458295801345046
00550000000000000832,2020_2021,2021_2022,0,Small,0.31950648148783806
00550000000000000832,2021_2022,2022_2023,1,Small,0.3604354075036088
00550000000000000832,2022_2023,2023_2024,1,Small,0.3761157351380706
00550000000000000833,2018_2019,2019_2020,1,Large,1.552957727327905
00550000000000000833,2019_2020,2020_2021,1,Medium,1.022339627172251
00550000000000000833,2020_2021,2021_2022,1,Large,1.6631462909076093
00550000000000000833,2021_2022,2022_2023,0,Medium,0.8660344682286377
00550000000000000833,2022_2023,2023_2024,1,Large,1.321614468276701
00550000000000000834,2018_2019,2019_2020,1,Large,1.5547387533201236
00550000000000000834,2019_2020,2020_2021,1,Medium,1.129207404122876
00550000000000000834,2020_2021,2021_2022,0,Small,0.6099429614759201
00550000000000000834,2021_2022,2022_2023,0,Small,0.3448997416636932
00550000000000000834,2022_2023,2023_2024,0,Small,0.34175591118835447
00550000000000000837,2018_2019,2019_2020,0,Small,0.10300204684632173
00550000000000000837,2019_2020,2020_2021,0,Small,0.39586669525889717
00550000000000000837,2020_2021,2021_2022,0,Small,0.3493555436898132
00550000000000000837,2021_2022,2022_2023,0,Small,0.2976216680693049
00550000000000000837,2022_2023,2023_2024,0,Small,0.26869655620203753
00550000000000000838,2018_2019,2019_2020,0,Small,0.11724812676473
00550000000000000838,2019_2020,2020_2021,0,Small,0.4067002080911892
00550000000000000838,2020_2021,2021_2022,0,Small,0.3503282053407666
00550000000000000838,2021_2022,2022_2023,0,Small,0.38678989389135326
00550000000000000838,2022_2023,2023_2024,0,Small,0.08592600047385769
00550000000000000839,2018_2019,2019_2020,0,Small,0.5973872368224911
00550000000000000839,2019_2020,2020_2021,0,Small,0.7354232152268517
00550000000000000839,2020_2021,2021_2022,0,Small,0.29855291632582814
00550000000000000839,2021_2022,2022_2023,1,Small,0.6805473184003362
00550000000000000839,2022_2023,2023_2024,1,Large,1.3256275735940302
0055000000000000083a,2018_2019,2019_2020,0,Small,0.45329799799757325
0055000000000000083a,2019_2020,2020_2021,0,Small,0.6180252736549838
0055000000000000083a,2020_2021,2021_2022,0,Small,0.3962855991238778
0055000000000000083a,2021_2022,2022_2023,0,Small,0.244798117197045
0055000000000000083a,2022_2023,2023_2024,0,Small,0.7422557814635299
0055000000000000083b,2018_2019,2019_2020,0,Small,0.21766496036351696
0055000000000000083b,2019_2020,2020_2021,0,Small,0.41472841177677205
0055000000000000083b,2020_2021,2021_2022,0,Small,0.5060886198380353
0055000000000000083b,2021_2022,2022_2023,0,Small,0.5434249840317077
0055000000000000083b,2022_2023,2023_2024,0,Small,0.08298158126435663
0055000000000000083c,2018_2019,2019_2020,0,Small,0.48486039319381014
0055000000000000083c,2019_2020,2020_2021,0,Small,0.37396738871124025
0055000000000000083c,2020_2021,2021_2022,0,Small,0.29581055759859876
0055000000000000083c,2021_2022,2022_2023,0,Small,0.401364985712888
0055000000000000083c,2022_2023,2023_2024,0,Medium,1.1165018965681026
0055000000000000083d,2018_2019,2019_2020,0,Small,0.3023679560387429
0055000000000000083d,2019_2020,2020_2021,0,Small,0.6398223919752873
0055000000000000083d,2020_2021,2021_2022,1,Small,0.3408557850297268
0055000000000000083d,2021_2022,2022_2023,1,Small,0.7161777937563526
0055000000000000083d,2022_2023,2023_2024,1,Medium,1.046081125452388
0055000000000000083e,2018_2019,2019_2020,1,Large,2.4809367448605846
0055000000000000083e,2019_2020,2020_2021,1,Large,1.4591942479711846
0055000000000000083e,2020_2021,2021_2022,1,Medium,0.7653028183409382
0055000000000000083e,2021_2022,2022_2023,1,Large,1.5995693067789345
0055000000000000083e,2022_2023,2023_2024,0,Small,0.490692829351002
00550000000000000840,2018_2019,2019_2020,1,Large,1.5618512346636262
00550000000000000840,2019_2020,2020_2021,0,Small,0.1779059696954211
00550000000000000840,2020_2021,2021_2022,0,Small,0.6023941955572324
00550000000000000840,2021_2022,2022_2023,0,Medium,0.8873922932061952
00550000000000000840,2022_2023,2023_2024,1,Small,0.2758054600063244
00550000000000000841,2018_2019,2019_2020,0,Small,0.11069600860222639
00550000000000000841,2019_2020,2020_2021,1,Small,0.6511630379295017
00550000000000000841,2020_2021,2021_2022,0,Large,1.913564084538796
00550000000000000841,2021_2022,2022_2023,1,Large,2.7342428967424746
00550000000000000841,2022_2023,2023_2024,1,Large,1.7635888917007057
00550000000000000842,2018_2019,2019_2020,0,Small,0.2835404335530943
00550000000000000842,2019_2020,2020_2021,0,Small,0.3308245447363059
00550000000000000842,2020_2021,2021_2022,1,Large,1.347703551332089
00550000000000000842,2021_2022,2022_2023,1,Large,1.4872567035639273
00550000000000000842,2022_2023,2023_2024,0,Small,0.3149347422771574
00550000000000000844,2018_2019,2019_2020,0,Small,0.4304340759867963
00550000000000000844,2019_2020,2020_2021,0,Small,0.16263104399218997
00550000000000000844,2020_2021,2021_2022,0,Small,0.24264833836938737
00550000000000000844,2021_2022,2022_2023,0,Small,0.5333132662392669
00550000000000000844,2022_2023,2023_2024,0,Large,1.2665513231322894
00550000000000000846,2018_2019,2019_2020,0,Medium,1.0253772334291058
00550000000000000846,2019_2020,2020_2021,0,Small,0.30784039419864057
00550000000000000846,2020_2021,2021_2022,0,Medium,0.9027045760342569
00550000000000000846,2021_2022,2022_2023,0,Large,1.8289122265161186
00550000000000000846,2022_2023,2023_2024,0,Medium,1.0832497630928244
00550000000000000847,2018_2019,2019_2020,1,Large,1.6723610281193737
00550000000000000847,2019_2020,2020_2021,1,Large,1.473514972674294
00550000000000000847,2020_2021,2021_2022,1,Large,2.790240595279868
00550000000000000847,2021_2022,2022_2023,0,Large,1.519731139222639
00550000000000000847,2022_2023,2023_2024,1,Large,1.5435275097437344
00550000000000000848,2018_2019,2019_2020,0,Large,1.2805823744053841
00550000000000000848,2019_2020,2020_2021,0,Large,1.310132390187461
00550000000000000848,2020_2021,2021_2022,0,Medium,1.2032672857864937
00550000000000000848,2021_2022,2022_2023,0,Medium,0.805190611522548
00550000000000000848,2022_2023,2023_2024,1,Large,1.4154835943695785
00550000000000000849,2018_2019,2019_2020,0,Small,0.20561895605365713
00550000000000000849,2019_2020,2020_2021,0,Small,0.3936282206832238
00550000000000000849,2020_2021,2021_2022,0,Medium,0.8018588251171355
00550000000000000849,2021_2022,2022_2023,0,Medium,0.7530613250895757
00550000000000000849,2022_2023,2023_2024,0,Small,0.26102689713149496
0055000000000000084a,2018_2019,2019_2020,0,Medium,0.8127356787877649
0055000000000000084a,2019_2020,2020_2021,0,Medium,0.8331619626738432
0055000000000000084a,2020_2021,2021_2022,0,Small,0.051035378746564324
0055000000000000084a,2021_2022,2022_2023,0,Medium,1.1735232270463296
0055000000000000084a,2022_2023,2023_2024,0,Large,1.2827535600040807
0055000000000000084b,2018_2019,2019_2020,1,Large,1.9419919622267927
0055000000000000084b,2019_2020,2020_2021,1,Large,1.605751590644875
0055000000000000084b,2020_2021,2021_2022,1,Large,2.558951610057757
0055000000000000084b,2021_2022,2022_2023,0,Small,0.7170690877842566
0055000000000000084b,2022_2023,2023_2024,0,Large,2.248679145822472
0055000000000000084e,2018_2019,2019_2020,1,Large,1.7039298264016118
0055000000000000084e,2019_2020,2020_2021,1,Large,1.305984199998534
0055000000000000084e,2020_2021,2021_2022,1,Large,1.5587864672347214
0055000000000000084e,2021_2022,2022_2023,1,Large,1.3980309226999825
0055000000000000084e,2022_2023,2023_2024,0,Medium,0.9222490151131509
0055000000000000084f,2018_2019,2019_2020,0,Small,0.34023442308055685
0055000000000000084f,2019_2020,2020_2021,0,Small,0.25028375953955206
0055000000000000084f,2020_2021,2021_2022,0,Medium,0.9638564446815083
0055000000000000084f,2021_2022,2022_2023,0,Small,0.7466929163266889
0055000000000000084f,2022_2023,2023_2024,0,Small,0.43593034249304846
00550000000000000850,2018_2019,2019_2020,0,Small,0.19135197036772994
00550000000000000850,2019_2020,2020_2021,0,Small,0.6581814074611415
00550000000000000850,2020_2021,2021_2022,0,Small,0.49017079243832296
00550000000000000850,2021_2022,2022_2023,0,Small,0.466531280329793
00550000000000000850,2022_2023,2023_2024,0,Small,0.21723715706483737
00550000000000000851,2018_2019,2019_2020,0,Small,0.3759693687831985
00550000000000000851,2019_2020,2020_2021,0,Small,0.21267163127905064
00550000000000000851,2020_2021,2021_2022,0,Small,0.2664621972853147
00550000000000000851,2021_2022,2022_2023,0,Small,0.33980408415962204
00550000000000000851,2022_2023,2023_2024,0,Small,0.1895594292558191
00550000000000000855,2018_2019,2019_2020,0,Small,0.310839017736076
00550000000000000855,2019_2020,2020_2021,0,Small,0.10073738132255605
00550000000000000855,2020_2021,2021_2022,0,Small,0.508786869350848
00550000000000000855,2021_2022,2022_2023,0,Small,0.38769130752931075
00550000000000000855,2022_2023,2023_2024,0,Small,0.17627568817835088
00550000000000000857,2018_2019,2019_2020,1,Large,1.2869252850414108
00550000000000000857,2019_2020,2020_2021,1,Medium,0.8419230137654907
00550000000000000857,2020_2021,2021_2022,0,Large,1.4714342889491885
00550000000000000857,2021_2022,2022_2023,0,Small,0.32704035725709774
00550000000000000857,2022_2023,2023_2024,0,Small,0.6371640732735332
00550000000000000858,2018_2019,2019_2020,1,Large,1.3917950768642409
00550000000000000858,2019_2020,2020_2021,1,Large,1.5395670825616459
00550000000000000858,2020_2021,2021_2022,0,Small,0.19921639012395986
00550000000000000858,2021_2022,2022_2023,0,Small,0.42438366320384563
00550000000000000858,2022_2023,2023_2024,0,Small,0.5459697461890042
00550000000000000859,2018_2019,2019_2020,1,Large,1.443970021110077
00550000000000000859,2019_2020,2020_2021,1,Large,1.6300810079628651
00550000000000000859,2020_2021,2021_2022,0,Small,0.034649408045739793
00550000000000000859,2021_2022,2022_2023,0,Medium,0.7880773701371342
00550000000000000859,2022_2023,2023_2024,0,Small,0.5454121639678675
0055000000000000085b,2018_2019,2019_2020,1,Large,1.4458464475705661
0055000000000000085b,2019_2020,2020_2021,0,Medium,1.1250126267595246
0055000000000000085b,2020_2021,2021_2022,1,Large,1.4115162460385386
0055000000000000085b,2021_2022,2022_2023,1,Large,1.4538101301867816
0055000000000000085b,2022_2023,2023_2024,0,Small,0.7330849761902587
00550000000000000872,2018_2019,2019_2020,0,Small,0.6229323054727781
00550000000000000872,2019_2020,2020_2021,0,Small,0.7020368328594393
00550000000000000872,2020_2021,2021_2022,1,Large,2.2316022081899924
00550000000000000872,2021_2022,2022_2023,1,Small,0.7191281493106518
00550000000000000872,2022_2023,2023_2024,0,Large,1.6517163567783697
00550000000000000873,2018_2019,2019_2020,0,Medium,1.0358645256628156
00550000000000000873,2019_2020,2020_2021,0,Small,0.26520110308965394
00550000000000000873,2020_2021,2021_2022,1,Large,2.0126809329602504
00550000000000000873,2021_2022,2022_2023,0,Medium,0.9905406850407225
00550000000000000873,2022_2023,2023_2024,1,Small,0.3214113598564813
00550000000000000874,2018_2019,2019_2020,0,Medium,0.7533443894809284
00550000000000000874,2019_2020,2020_2021,0,Small,0.7171536798478362
00550000000000000874,2020_2021,2021_2022,1,Large,2.252782991480667
00550000000000000874,2021_2022,2022_2023,1,Medium,0.9125656392776906
00550000000000000874,2022_2023,2023_2024,0,Medium,1.2193837345111918
00550000000000000875,2018_2019,2019_2020,1,Small,0.5407046139780693
00550000000000000875,2019_2020,2020_2021,0,Large,2.131217891066064
00550000000000000875,2020_2021,2021_2022,0,Small,0.6354137649066831
00550000000000000875,2021_2022,2022_2023,1,Large,1.8449389145619552
00550000000000000875,2022_2023,2023_2024,1,Large,1.563534388416488
00550000000000000876,2018_2019,2019_2020,0,Medium,0.8621292342118241
00550000000000000876,2019_2020,2020_2021,1,Small,0.6680933637915645
00550000000000000876,2020_2021,2021_2022,1,Large,1.3724934200260834
00550000000000000876,2021_2022,2022_2023,1,Large,3.0366777198399153
00550000000000000876,2022_2023,2023_2024,0,Medium,0.9958546561134357
00550000000000000877,2018_2019,2019_2020,1,Medium,0.9206675456312943
00550000000000000877,2019_2020,2020_2021,1,Medium,0.77152341879921
00550000000000000877,2020_2021,2021_2022,0,Small,0.6768317890540951
00550000000000000877,2021_2022,2022_2023,1,Large,2.940040723562222
00550000000000000877,2022_2023,2023_2024,1,Large,1.764217366220153
00550000000000000878,2018_2019,2019_2020,1,Medium,0.8640978393740372
00550000000000000878,2019_2020,2020_2021,1,Small,0.4784291211970756
00550000000000000878,2020_2021,2021_2022,1,Large,1.7241404784350929
00550000000000000878,2021_2022,2022_2023,1,Large,2.1808618146742074
00550000000000000878,2022_2023,2023_2024,0,Small,0.679274032453291
00550000000000000879,2018_2019,2019_2020,1,Large,1.3725178797422202
00550000000000000879,2019_2020,2020_2021,0,Medium,0.7527226232154771
00550000000000000879,2020_2021,2021_2022,0,Large,2.2343207255852704
00550000000000000879,2021_2022,2022_2023,1,Large,2.7044734932864305
00550000000000000879,2022_2023,2023_2024,0,Medium,0.8349498620063285
0055000000000000087c,2018_2019,2019_2020,0,Small,0.5315934926932904
0055000000000000087c,2019_2020,2020_2021,1,Medium,1.1347911516971518
0055000000000000087c,2020_2021,2021_2022,1,Large,1.3984026572488268
0055000000000000087c,2021_2022,2022_2023,1,Large,1.5129508702799859
0055000000000000087c,2022_2023,2023_2024,0,Medium,0.8852640425616641
00550000000000000887,2018_2019,2019_2020,1,Medium,1.2492522142947415
00550000000000000887,2019_2020,2020_2021,1,Large,1.7799901301528285
00550000000000000887,2020_2021,2021_2022,1,Large,1.303835387114973
00550000000000000887,2021_2022,2022_2023,0,Small,0.5726668070594986
00550000000000000887,2022_2023,2023_2024,0,Small,0.517381298721759
00550000000000000888,2018_2019,2019_2020,1,Large,1.31268362065821
00550000000000000888,2019_2020,2020_2021,1,Medium,0.9354469118285135
00550000000000000888,2020_2021,2021_2022,0,Small,0.4486476923532557
00550000000000000888,2021_2022,2022_2023,1,Medium,1.0129488757445153
00550000000000000888,2022_2023,2023_2024,1,Small,0.38947086671624287
0055000000000000089a,2018_2019,2019_2020,0,Small,0.7050071315214242
0055000000000000089a,2019_2020,2020_2021,0,Small,0.6443256121621674
0055000000000000089a,2020_2021,2021_2022,1,Medium,0.7811408953184229
0055000000000000089a,2021_2022,2022_2023,1,Large,1.476121283381111
0055000000000000089a,2022_2023,2023_2024,0,Medium,1.2300656226649602
0055000000000000089c,2018_2019,2019_2020,0,Small,0.4803985413910769
0055000000000000089c,2019_2020,2020_2021,0,Small,0.3498579629028684
0055000000000000089c,2020_2021,2021_2022,0,Small,0.4325339788961376
0055000000000000089c,2021_2022,2022_2023,1,Small,0.5154970191012299
0055000000000000089c,2022_2023,2023_2024,0,Small,0.4742515395802109
0055000000000000089d,2018_2019,2019_2020,1,Medium,1.0619911875547525
0055000000000000089d,2019_2020,2020_2021,1,Medium,0.8070568614535303
0055000000000000089d,2020_2021,2021_2022,1,Large,1.5067251701756614
0055000000000000089d,2021_2022,2022_2023,1,Large,1.589126866392564
0055000000000000089d,2022_2023,2023_2024,0,Small,0.6879563529645524
005500000000000008a7,2018_2019,2019_2020,0,Small,0.4418106233771488
005500000000000008a7,2019_2020,2020_2021,0,Small,0.15140291978438658
005500000000000008a7,2020_2021,2021_2022,0,Small,0.306244189589344
005500000000000008a7,2021_2022,2022_2023,0,Small,0.21549022046916005
005500000000000008a7,2022_2023,2023_2024,0,Small,0.3281227595065318
005500000000000008ab,2018_2019,2019_2020,0,Small,0.4149688737211192
005500000000000008ab,2019_2020,2020_2021,0,Small,0.3549097975885124
005500000000000008ab,2020_2021,2021_2022,0,Small,0.12362942936788014
005500000000000008ab,2021_2022,2022_2023,0,Small,0.373628363591241
005500000000000008ab,2022_2023,2023_2024,0,Small,0.4428855490333497
005500000000000008ae,2018_2019,2019_2020,1,Large,1.9083738279182247
005500000000000008ae,2019_2020,2020_2021,1,Large,1.9295768722292188
005500000000000008ae,2020_2021,2021_2022,0,Small,0.23478847205534759
005500000000000008ae,2021_2022,2022_2023,1,Large,1.4811864560408485
005500000000000008ae,2022_2023,2023_2024,1,Medium,0.7710817711797748
005500000000000008ba,2018_2019,2019_2020,1,Small,0.18894306314003198
005500000000000008ba,2019_2020,2020_2021,0,Small,0.5159115142640794
005500000000000008ba,2020_2021,2021_2022,0,Small,0.6806812795893784
005500000000000008ba,2021_2022,2022_2023,0,Small,0.49622314108785753
005500000000000008ba,2022_2023,2023_2024,0,Medium,0.8575810022719442
005500000000000008bb,2018_2019,2019_2020,0,Small,0.3587726074990221
005500000000000008bb,2019_2020,2020_2021,0,Small,0.201949412431951
005500000000000008bb,2020_2021,2021_2022,1,Small,0.5824804720840003
005500000000000008bb,2021_2022,2022_2023,1,Medium,0.9415631147419598
005500000000000008bb,2022_2023,2023_2024,0,Small,0.16628676935573122
005500000000000008c8,2018_2019,2019_2020,1,Large,1.7179260085482435
005500000000000008c8,2019_2020,2020_2021,0,Large,1.4967237669226963
