orch_id,n_seasons,majority_cover_label,flip_count,uncertain_rate
00550000000000000190,6,NoCover,1,0.3333333333333333
00550000000000000194,6,Baseline,5,0.3333333333333333
00550000000000000195,6,NoCover,5,0.5
0055000000000000019e,6,NoCover,5,0.0
00550000000000000832,6,NoCover,5,0.5
00550000000000000833,6,Baseline,5,0.5
00550000000000000834,6,NoCover,3,0.0
00550000000000000837,6,NoCover,1,0.0
00550000000000000838,6,NoCover,1,0.0
00550000000000000839,6,NoCover,3,0.3333333333333333
0055000000000000083a,6,NoCover,1,0.0
0055000000000000083b,6,NoCover,1,0.0
0055000000000000083c,6,NoCover,1,0.0
0055000000000000083d,6,NoCover,4,0.5
0055000000000000083e,6,NoCover,5,0.5
00550000000000000840,6,NoCover,3,0.6666666666666666
00550000000000000841,6,Baseline,4,0.0
00550000000000000842,6,NoCover,3,0.16666666666666666
00550000000000000844,6,NoCover,1,0.16666666666666666
00550000000000000846,6,NoCover,1,0.16666666666666666
00550000000000000847,6,Cover,5,0.3333333333333333
00550000000000000848,6,Cover,2,0.16666666666666666
00550000000000000849,6,NoCover,1,0.0
0055000000000000084a,6,NoCover,1,0.16666666666666666
0055000000000000084b,6,Cover,4,0.5
0055000000000000084e,6,NoCover,5,0.16666666666666666
0055000000000000084f,6,NoCover,1,0.3333333333333333
00550000000000000850,6,NoCover,1,0.0
00550000000000000851,6,NoCover,1,0.0
00550000000000000855,6,NoCover,1,0.0
00550000000000000857,6,NoCover,3,0.16666666666666666
00550000000000000858,6,NoCover,3,0.5
00550000000000000859,6,NoCover,3,0.16666666666666666
0055000000000000085b,6,Baseline,4,0.0
00550000000000000872,6,Baseline,3,0.3333333333333333
00550000000000000873,6,Baseline,3,0.3333333333333333
00550000000000000874,6,Baseline,3,0.3333333333333333
00550000000000000875,6,NoCover,4,0.5
00550000000000000876,6,Baseline,4,0.5
00550000000000000877,6,NoCover,5,0.3333333333333333
00550000000000000878,6,NoCover,5,0.3333333333333333
00550000000000000879,6,Cover,3,0.3333333333333333
0055000000000000087c,6,Baseline,4,0.16666666666666666
00550000000000000887,6,Baseline,4,0.5
00550000000000000888,6,NoCover,5,0.3333333333333333
0055000000000000089a,6,NoCover,3,0.6666666666666666
0055000000000000089c,6,NoCover,2,0.3333333333333333
0055000000000000089d,6,NoCover,5,0.0
005500000000000008a7,6,NoCover,1,0.0
005500000000000008ab,6,NoCover,1,0.0
005500000000000008ae,6,Baseline,5,0.16666666666666666
005500000000000008ba,6,NoCover,2,0.3333333333333333
005500000000000008bb,6,NoCover,3,0.16666666666666666
005500000000000008c8,6,Baseline,3,0.16666666666666666
005500000000000008cc,6,NoCover,2,0.16666666666666666
005500000000000008ce,6,Baseline,3,0.3333333333333333
005500000000000008d1,6,NoCover,1,0.3333333333333333
005500000000000008dc,6,NoCover,6,0.16666666666666666
005500000000000008dd,6,NoCover,1,0.0
00550000000000000a46,6,NoCover,1,0.0
00550000000000000a6b,6,NoCover,1,0.5
00550000000000000acb,6,Cover,2,0.16666666666666666
00550000000000000b5d,6,NoCover,6,0.16666666666666666
00550000000000000b63,6,NoCover,5,0.16666666666666666
00550000000000000b70,6,NoCover,3,0.5
00550000000000000bcd,6,NoCover,3,0.6666666666666666
00550000000000000bf9,6,NoCover,1,0.16666666666666666
00550000000000000d61,6,NoCover,1,0.16666666666666666
00550000000000000d62,6,NoCover,3,0.5
00550000000000000d63,6,NoCover,5,0.5
00550000000000000d64,6,Baseline,4,0.8333333333333334
00550000000000000d65,6,NoCover,3,0.5
00550000000000000d66,6,NoCover,1,0.0
00550000000000000d67,6,Baseline,3,0.3333333333333333
00550000000000000d68,6,Baseline,4,0.3333333333333333
00550000000000000d69,6,Baseline,5,0.6666666666666666
00550000000000000d6a,6,Baseline,5,0.8333333333333334
00550000000000000d6b,6,NoCover,5,0.6666666666666666
00550000000000000d6c,6,Baseline,2,0.6666666666666666
00550000000000000d6d,6,Cover,5,0.5
00550000000000000d6e,6,Cover,3,0.5
00550000000000000d6f,6,NoCover,3,0.16666666666666666
00550000000000000d70,6,Baseline,4,0.3333333333333333
00550000000000000d71,6,Cover,3,0.6666666666666666
00550000000000000d72,6,NoCover,4,0.5
00550000000000000d73,6,NoCover,4,0.5
00550000000000000d74,6,NoCover,2,0.5
00550000000000000d75,6,NoCover,2,0.5
00550000000000000d76,6,Cover,4,0.5
00550000000000000d77,6,Baseline,3,0.5
00550000000000000d78,6,NoCover,3,0.5
00550000000000000d79,6,Cover,4,0.6666666666666666
00550000000000000d7a,6,Baseline,3,0.16666666666666666
00550000000000000d7b,6,NoCover,4,0.6666666666666666
00550000000000000d7c,6,NoCover,4,0.16666666666666666
00550000000000000d7d,6,Baseline,4,0.16666666666666666
00550000000000000d7e,6,Baseline,3,0.3333333333333333
00550000000000000d7f,6,NoCover,5,0.3333333333333333
00550000000000000d80,6,NoCover,5,0.5
00550000000000000d81,6,NoCover,5,0.3333333333333333
00550000000000000d82,6,Baseline,3,0.3333333333333333
00550000000000000d83,6,Cover,1,0.3333333333333333
00550000000000000d84,6,NoCover,1,0.0
00550000000000000d85,6,NoCover,3,0.5
00550000000000000d86,6,NoCover,1,0.16666666666666666
00550000000000000d87,6,Cover,3,0.3333333333333333
00550000000000000d88,6,Cover,3,0.3333333333333333
00550000000000000d89,6,Cover,2,0.3333333333333333
00550000000000000d8a,6,Baseline,3,0.5
00550000000000000d8b,6,NoCover,2,0.16666666666666666
00550000000000000d8c,6,NoCover,5,0.16666666666666666
00550000000000000d8d,6,NoCover,5,0.16666666666666666
00550000000000000d8e,6,NoCover,6,0.6666666666666666
00550000000000000d8f,6,NoCover,3,0.16666666666666666
00550000000000000d90,6,NoCover,1,0.3333333333333333
00550000000000000d91,6,Cover,6,0.0
00550000000000000d92,6,NoCover,2,0.0
00550000000000000d93,6,NoCover,3,0.16666666666666666
00550000000000000d94,6,NoCover,1,0.0
00550000000000000d95,6,NoCover,1,0.16666666666666666
00550000000000000d96,6,Baseline,3,0.3333333333333333
00550000000000000d97,6,NoCover,3,0.0
00550000000000000d98,6,NoCover,1,0.16666666666666666
00550000000000000d99,6,NoCover,3,0.16666666666666666
00550000000000000d9a,6,NoCover,1,0.0
00550000000000000d9b,6,Cover,2,0.3333333333333333
00550000000000000d9c,6,Cover,6,0.8333333333333334
00550000000000000d9d,6,Cover,5,0.3333333333333333
00550000000000000d9e,6,NoCover,1,0.0
00550000000000000d9f,6,NoCover,2,0.16666666666666666
00550000000000000da0,6,NoCover,3,0.3333333333333333
00550000000000000da1,6,Baseline,3,0.0
00550000000000000da2,6,NoCover,5,0.3333333333333333
00550000000000000da3,6,Baseline,4,0.5
00550000000000000da4,6,NoCover,2,0.16666666666666666
00550000000000000da5,6,NoCover,1,0.0
00550000000000000da6,6,NoCover,1,0.3333333333333333
00550000000000000da7,6,NoCover,1,0.0
00550000000000000da8,6,NoCover,3,0.3333333333333333
00550000000000000da9,6,NoCover,1,0.0
00550000000000000daa,6,Baseline,4,0.3333333333333333
00550000000000000dab,6,Baseline,4,0.3333333333333333
00550000000000000dac,6,NoCover,2,0.16666666666666666
00550000000000000daf,6,Baseline,4,0.3333333333333333
00550000000000000db0,6,NoCover,1,0.0
00550000000000000db1,6,Baseline,4,0.3333333333333333
00550000000000000db2,6,NoCover,1,0.0
00550000000000000db3,6,NoCover,1,0.0
00550000000000000db4,6,NoCover,3,0.3333333333333333
00550000000000000db5,6,NoCover,1,0.0
00550000000000000db6,6,Baseline,4,0.16666666666666666
00550000000000000db7,6,NoCover,4,0.16666666666666666
00550000000000000db8,6,NoCover,3,0.3333333333333333
00550000000000000db9,6,NoCover,1,0.0
00550000000000000dba,6,NoCover,2,0.5
00550000000000000dbb,6,Baseline,5,0.3333333333333333
00550000000000000dbc,6,Baseline,4,0.16666666666666666
00550000000000000dbd,6,NoCover,1,0.0
00550000000000000dbe,6,NoCover,3,0.3333333333333333
00550000000000000dc0,6,NoCover,1,0.0
00550000000000000dc1,6,Cover,2,0.0
00550000000000000dc2,6,NoCover,3,0.16666666666666666
00550000000000000dc3,6,NoCover,3,0.16666666666666666
00550000000000000dc4,6,Baseline,4,0.6666666666666666
00550000000000000dc5,6,Baseline,5,0.3333333333333333
00550000000000000dc6,6,Cover,3,0.3333333333333333
00550000000000000dc7,6,NoCover,1,0.0
00550000000000000dc8,6,NoCover,1,0.0
