orch_id,mask,longest,years_active,ever_cover,never_cover
00550000000000000194,16,1,1,True,False
00550000000000000833,8,1,1,True,False
00550000000000000841,24,2,2,True,False
00550000000000000847,52,2,3,True,False
00550000000000000848,58,3,4,True,False
0055000000000000084b,48,2,2,True,False
0055000000000000084e,20,1,2,True,False
00550000000000000877,24,2,2,True,False
00550000000000000879,28,3,3,True,False
0055000000000000087c,8,1,1,True,False
00550000000000000887,8,1,1,True,False
00550000000000000888,24,2,2,True,False
0055000000000000089d,4,1,1,True,False
005500000000000008ae,4,1,1,True,False
005500000000000008cc,2,1,1,True,False
005500000000000008dc,36,1,2,True,False
00550000000000000acb,14,3,3,True,False
00550000000000000b5d,8,1,1,True,False
00550000000000000d62,32,1,1,True,False
00550000000000000d67,64,1,1,True,False
00550000000000000d68,6,2,2,True,False
00550000000000000d6c,4,1,1,True,False
00550000000000000d6d,66,1,2,True,False
00550000000000000d6e,70,2,3,True,False
00550000000000000d6f,96,2,2,True,False
00550000000000000d71,2,1,1,True,False
00550000000000000d73,2,1,1,True,False
00550000000000000d75,2,1,1,True,False
00550000000000000d76,34,1,2,True,False
00550000000000000d77,8,1,1,True,False
00550000000000000d78,64,1,1,True,False
00550000000000000d79,50,2,3,True,False
00550000000000000d7c,32,1,1,True,False
00550000000000000d7d,76,2,3,True,False
00550000000000000d7e,2,1,1,True,False
00550000000000000d81,10,1,2,True,False
00550000000000000d82,32,1,1,True,False
00550000000000000d83,108,2,4,True,False
00550000000000000d87,48,2,2,True,False
00550000000000000d88,22,2,3,True,False
00550000000000000d89,30,4,4,True,False
00550000000000000d8c,20,1,2,True,False
00550000000000000d8f,12,2,2,True,False
00550000000000000d91,74,1,3,True,False
00550000000000000d92,2,1,1,True,False
00550000000000000d93,4,1,1,True,False
00550000000000000d97,8,1,1,True,False
00550000000000000d99,16,1,1,True,False
00550000000000000d9b,22,2,3,True,False
00550000000000000d9c,84,1,3,True,False
00550000000000000d9d,10,1,2,True,False
00550000000000000da1,8,1,1,True,False
00550000000000000da2,16,1,1,True,False
00550000000000000da8,16,1,1,True,False
00550000000000000daa,16,1,1,True,False
00550000000000000dac,64,1,1,True,False
00550000000000000db4,32,1,1,True,False
00550000000000000dbb,32,1,1,True,False
00550000000000000dbc,8,1,1,True,False
00550000000000000dc1,62,5,5,True,False
00550000000000000dc2,32,1,1,True,False
00550000000000000dc4,8,1,1,True,False
00550000000000000dc5,16,1,1,True,False
00550000000000000dc6,14,3,3,True,False
00550000000000000dca,8,1,1,True,False
00550000000000000dcf,2,1,1,True,False
