season,from_cluster,to_cluster,n
2019_2020,0,0,12
2019_2020,0,1,10
2019_2020,0,2,13
2019_2020,1,0,9
2019_2020,1,1,103
2019_2020,1,2,4
2019_2020,2,0,6
2019_2020,2,1,9
2019_2020,2,2,26
2020_2021,0,0,18
2020_2021,0,1,3
2020_2021,0,2,6
2020_2021,1,0,13
2020_2021,1,1,92
2020_2021,1,2,17
2020_2021,2,0,5
2020_2021,2,1,13
2020_2021,2,2,25
2021_2022,0,0,7
2021_2022,0,1,8
2021_2022,0,2,21
2021_2022,1,0,5
2021_2022,1,1,86
2021_2022,1,2,17
2021_2022,2,0,10
2021_2022,2,1,23
2021_2022,2,2,15
2022_2023,0,0,8
2022_2023,0,1,11
2022_2023,0,2,3
2022_2023,1,0,10
2022_2023,1,1,92
2022_2023,1,2,15
2022_2023,2,0,22
2022_2023,2,1,13
2022_2023,2,2,18
2023_2024,0,0,15
2023_2024,0,1,11
2023_2024,0,2,14
2023_2024,1,0,15
2023_2024,1,1,94
2023_2024,1,2,7
2023_2024,2,0,3
2023_2024,2,1,13
2023_2024,2,2,20
