orch_id,mask,longest,years_active,ever_cover,never_cover
00530000000000001ea7,55,3,5,True,False
00530000000000001ea8,1,1,1,True,False
00530000000000001eac,1,1,1,True,False
005300000000000023e3,33,1,2,True,False
005300000000000023e6,16,1,1,True,False
005300000000000023f0,32,1,1,True,False
005300000000000023f3,21,1,3,True,False
005300000000000023f9,24,2,2,True,False
005300000000000023fa,5,1,2,True,False
005300000000000023fb,1,1,1,True,False
005300000000000023fd,24,2,2,True,False
005300000000000023ff,55,3,5,True,False
00530000000000002401,2,1,1,True,False
00530000000000002405,8,1,1,True,False
00530000000000002406,6,2,2,True,False
00530000000000002407,2,1,1,True,False
00530000000000002408,1,1,1,True,False
00530000000000002409,2,1,1,True,False
0053000000000000240a,55,3,5,True,False
0053000000000000240d,54,2,4,True,False
0053000000000000240e,5,1,2,True,False
00530000000000002410,18,1,2,True,False
00530000000000002411,37,1,3,True,False
00530000000000002423,53,2,4,True,False
00530000000000002425,32,1,1,True,False
00530000000000002428,4,1,1,True,False
0053000000000000242c,20,1,2,True,False
0053000000000000242d,8,1,1,True,False
0053000000000000242e,62,5,5,True,False
00530000000000002430,31,5,5,True,False
00530000000000002436,38,2,3,True,False
00530000000000002437,32,1,1,True,False
00530000000000002438,32,1,1,True,False
0053000000000000243c,16,1,1,True,False
00530000000000002495,8,1,1,True,False
00530000000000002498,32,1,1,True,False
0053000000000000249b,7,3,3,True,False
0053000000000000249e,24,2,2,True,False
005300000000000024a3,24,2,2,True,False
005300000000000024a4,32,1,1,True,False
005300000000000024a6,8,1,1,True,False
005300000000000024a8,16,1,1,True,False
0053000000000000256e,32,1,1,True,False
0053000000000000256f,3,2,2,True,False
00530000000000002570,54,2,4,True,False
00530000000000002574,38,2,3,True,False
00530000000000002575,32,1,1,True,False
00530000000000002f1f,32,1,1,True,False
005300000000000030fb,17,1,2,True,False
00530000000000003783,8,1,1,True,False
00530000000000003784,8,1,1,True,False
00530000000000003787,32,1,1,True,False
00530000000000003788,4,1,1,True,False
0053000000000000378b,23,3,4,True,False
0053000000000000378c,23,3,4,True,False
0053000000000000378d,23,3,4,True,False
00530000000000003794,4,1,1,True,False
00530000000000003795,62,5,5,True,False
005300000000000037a7,1,1,1,True,False
005300000000000037b2,8,1,1,True,False
00530000000000004244,8,1,1,True,False
00530000000000004245,16,1,1,True,False
00530000000000004246,16,1,1,True,False
00530000000000004247,24,2,2,True,False
00530000000000004248,4,1,1,True,False
00530000000000004249,36,1,2,True,False
0053000000000000424a,36,1,2,True,False
00530000000000004403,1,1,1,True,False
