system:index,ACRES,CNTY,endyear,orch_id,orchard_bsi_fill,orchard_bsi_mean,orchard_bsi_stddev,orchard_savi_fill,orchard_savi_mean,orchard_savi_stddev,period_end_date,period_start_date,season,stability_score,startyear,time_period,.geo
0_005a000000000000b6a7,15.37,Kern,2023,005a000000000000b6a7,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c7c,5.81,Kern,2023,005c0000000000003c7c,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c7d,7.01,Kern,2023,005c0000000000003c7d,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c7f,5.36,Kern,2023,005c0000000000003c7f,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c80,5.33,Kern,2023,005c0000000000003c80,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c81,7.19,Kern,2023,005c0000000000003c81,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c82,3.4,Kern,2023,005c0000000000003c82,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003ea0,2.88,Kern,2023,005c0000000000003ea0,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003ea2,27.31,Kern,2023,005c0000000000003ea2,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003ea3,13.5,Kern,2023,005c0000000000003ea3,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003ec2,10.76,Kern,2023,005c0000000000003ec2,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003ee3,13.26,Kern,2023,005c0000000000003ee3,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003ee6,22.94,Kern,2023,005c0000000000003ee6,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003f0f,119.08,Kern,2023,005c0000000000003f0f,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
