orch_id,season,time_period,period_start_date,period_end_date,orchard_savi_mean,orchard_savi_stddev,orchard_savi_fill,orchard_bsi_mean,orchard_bsi_stddev,orchard_bsi_fill,ACRES,CNTY,stability_score,startyear,endyear
0056000000000000318b,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,4.9,Madera,7.0,2016,2023
0056000000000000318c,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,5.34,Madera,7.0,2016,2023
00560000000000003158,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,4.35,Madera,7.0,2016,2023
0056000000000000315a,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,6.36,Madera,7.0,2016,2023
0056000000000000315e,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,22.19,Madera,7.0,2016,2023
0056000000000000318f,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,10.11,Madera,7.0,2016,2023
00560000000000003192,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,9.34,Madera,7.0,2016,2023
00560000000000003194,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,8.57,Madera,7.0,2016,2023
00560000000000003197,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,5.25,Madera,7.0,2016,2023
005600000000000031ab,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,3.61,Madera,7.0,2016,2023
005600000000000031ae,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,11.6,Madera,7.0,2016,2023
005600000000000031b0,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,29.02,Madera,7.0,2016,2023
005600000000000031b9,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,6.9,Madera,7.0,2016,2023
005600000000000031bd,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,8.2,Madera,7.0,2016,2023
005600000000000031cb,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,12.55,Madera,7.0,2016,2023
005600000000000031ce,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,23.06,Madera,7.0,2016,2023
005600000000000031d0,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,8.3,Madera,7.0,2016,2023
00560000000000003110,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,49.02,Fresno,8.0,2016,2023
0056000000000000312e,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,4.51,Fresno,7.0,2016,2023
005600000000000030e9,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,150.06,Madera,8.0,2016,2023
005600000000000030ea,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,147.82,Madera,8.0,2016,2023
005600000000000030eb,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,120.36,Madera,8.0,2016,2023
005600000000000030ec,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,197.36,Madera,8.0,2016,2023
005600000000000030ed,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,63.92,Madera,8.0,2016,2023
005600000000000030ef,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,186.99,Madera,8.0,2016,2023
005600000000000030f0,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,203.13,Madera,8.0,2016,2023
005600000000000030f1,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,94.29,Madera,8.0,2016,2023
005600000000000030f6,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,622.2,Madera,8.0,2016,2023
005600000000000030f7,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,704.25,Madera,8.0,2016,2023
005600000000000030fe,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,136.43,Madera,8.0,2016,2023
005600000000000030ff,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,174.32,Madera,8.0,2016,2023
00560000000000003100,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,2.87,Madera,8.0,2016,2023
00560000000000003101,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,169.91,Madera,8.0,2016,2023
00560000000000003102,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,180.89,Madera,8.0,2016,2023
00560000000000003104,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,361.37,Madera,8.0,2016,2023
00560000000000003105,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,26.19,Madera,8.0,2016,2023
00560000000000003106,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,311.93,Madera,8.0,2016,2023
00560000000000003108,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,3.56,Madera,8.0,2016,2023
0056000000000000310a,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,2.33,Madera,7.0,2016,2023
0056000000000000310b,2018_2019,1,2018-11-16,2018-11-30,0,0,0,0,0,0,377.23,Madera,8.0,2016,2023
