orch_id,season,time_period,period_start_date,period_end_date,orchard_savi_mean,orchard_savi_stddev,orchard_savi_fill,orchard_bsi_mean,orchard_bsi_stddev,orchard_bsi_fill,ACRES,CNTY,stability_score,startyear,endyear
00550000000000007536,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,4.43,Merced,7.0,2016,2023
00550000000000007b7b,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,5.32,Merced,7.0,2016,2023
00550000000000007cff,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,15.05,Merced,7.0,2016,2023
00550000000000007d29,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,15.46,Merced,7.0,2016,2023
00550000000000007d60,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,5.54,Merced,7.0,2016,2023
00550000000000007d62,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,7.02,Merced,7.0,2016,2023
00550000000000002d55,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,3.76,Merced,7.0,2016,2023
00550000000000002d56,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,4.81,Merced,7.0,2016,2023
00550000000000002d57,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,10.4,Merced,7.0,2016,2023
00550000000000002d59,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,3.0,Merced,7.0,2016,2023
00550000000000002d5a,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,2.69,Merced,7.0,2016,2023
00550000000000002d5b,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,10.83,Merced,7.0,2016,2023
00550000000000002d5c,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,3.2,Merced,7.0,2016,2023
00550000000000002d5d,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,4.88,Merced,7.0,2016,2023
00550000000000002d5e,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,6.55,Merced,7.0,2016,2023
00550000000000002d5f,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,4.15,Merced,7.0,2016,2023
00550000000000002d60,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,4.89,Merced,7.0,2016,2023
00550000000000002d62,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,5.0,Merced,7.0,2016,2023
00550000000000002d63,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,21.12,Merced,7.0,2016,2023
00550000000000002d64,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,7.83,Merced,7.0,2016,2023
00550000000000002d65,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,9.75,Merced,7.0,2016,2023
00550000000000002d66,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,14.29,Merced,7.0,2016,2023
00550000000000002d67,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,3.08,Merced,7.0,2016,2023
00550000000000002d68,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,2.81,Merced,7.0,2016,2023
00550000000000002d69,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,3.16,Merced,7.0,2016,2023
00550000000000002d6a,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,5.69,Merced,7.0,2016,2023
00550000000000002d6b,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,3.91,Merced,7.0,2016,2023
00550000000000002d6c,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,3.53,Merced,7.0,2016,2023
00550000000000002d6e,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,4.25,Merced,7.0,2016,2023
00550000000000002d6f,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,9.15,Merced,7.0,2016,2023
00550000000000002d72,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,5.38,Merced,7.0,2016,2023
00550000000000002d73,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,9.72,Merced,7.0,2016,2023
00550000000000002d74,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,52.67,Merced,7.0,2016,2023
00550000000000002d75,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,18.33,Merced,7.0,2016,2023
00550000000000002d77,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,16.38,Merced,7.0,2016,2023
