orch_id,season,time_period,period_start_date,period_end_date,orchard_savi_mean,orchard_savi_stddev,orchard_savi_fill,orchard_bsi_mean,orchard_bsi_stddev,orchard_bsi_fill,ACRES,CNTY,stability_score,startyear,endyear
005500000000000075e2,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,13.6,Stanislaus,7.0,2016,2023
005500000000000078b0,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,6.06,Stanislaus,7.0,2016,2023
005500000000000078e5,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,7.22,Stanislaus,7.0,2016,2023
00550000000000000db8,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,123.61,Stanislaus,7.0,2016,2023
00550000000000002d65,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,9.75,Merced,7.0,2016,2023
00550000000000006b4f,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,6.94,Merced,7.0,2016,2023
005500000000000077d8,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,9.45,Merced,8.0,2016,2023
005500000000000077dd,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,7.46,Merced,8.0,2016,2023
00550000000000007854,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,53.48,Merced,8.0,2016,2023
00550000000000007872,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,377.1,Merced,8.0,2016,2023
005500000000000078c7,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,4067.76,Merced,8.0,2016,2023
005500000000000078c9,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,1852.36,Merced,8.0,2016,2023
005500000000000078d0,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,12.93,Merced,8.0,2016,2023
005500000000000078d2,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,22.24,Merced,8.0,2016,2023
005500000000000078d4,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,12.02,Merced,8.0,2016,2023
005500000000000078f1,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,137.08,Merced,8.0,2016,2023
00550000000000007914,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,20.75,Merced,8.0,2016,2023
0055000000000000791a,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,241.68,Merced,8.0,2016,2023
0055000000000000791b,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,416.56,Merced,8.0,2016,2023
005500000000000079a5,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,97.44,Merced,8.0,2016,2023
005500000000000079ab,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,14.92,Merced,8.0,2016,2023
00550000000000008c5a,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,29.58,Merced,7.0,2016,2023
00550000000000008c5e,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,271.13,Merced,7.0,2016,2023
00550000000000008c70,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,44.68,Merced,7.0,2016,2023
00550000000000008c74,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,31.73,Merced,7.0,2016,2023
00550000000000008cb0,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,67.88,Merced,7.0,2016,2023
00550000000000008cb1,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,83.37,Merced,7.0,2016,2023
00550000000000008cb2,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,77.76,Merced,7.0,2016,2023
00550000000000008cd5,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,58.33,Merced,7.0,2016,2023
00550000000000008ce7,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,222.23,Merced,7.0,2016,2023
00550000000000008cef,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,41.41,Merced,7.0,2016,2023
00550000000000008cfe,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,57.58,Merced,7.0,2016,2023
00550000000000008d07,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,125.64,Merced,7.0,2016,2023
00550000000000008d0b,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,17.44,Merced,7.0,2016,2023
00550000000000008d0c,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,46.55,Merced,7.0,2016,2023
00550000000000008d29,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,9.48,Merced,7.0,2016,2023
00550000000000008d2a,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,102.53,Merced,7.0,2016,2023
00550000000000008dfd,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,55.09,Merced,7.0,2016,2023
0055000000000000a1c5,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,45.9,Merced,7.0,2016,2023
00550000000000000e53,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,987.65,San Joaquin,8.0,2016,2023
00550000000000000e56,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,218.59,San Joaquin,8.0,2016,2023
00550000000000000e96,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,253.85,San Joaquin,8.0,2016,2023
00550000000000000ea4,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,323.79,San Joaquin,8.0,2016,2023
00550000000000000ea6,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,19.0,San Joaquin,8.0,2016,2023
00550000000000000eaa,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,3.3,San Joaquin,8.0,2016,2023
00550000000000000ead,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,98.42,San Joaquin,8.0,2016,2023
00550000000000000fdd,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,38.94,San Joaquin,8.0,2016,2023
0055000000000000104f,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,531.94,San Joaquin,8.0,2016,2023
005500000000000010b6,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,24.39,San Joaquin,8.0,2016,2023
005500000000000012ff,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,14.5,San Joaquin,7.0,2016,2023
00550000000000000190,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,3.75,Stanislaus,7.0,2016,2023
00550000000000000194,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,3.95,Stanislaus,7.0,2016,2023
00550000000000000195,2017_2018,1,2017-11-16,2017-11-30,0,0,0,0,0,0,39.49,Stanislaus,7.0,2016,2023
